,x
A,ncp
AL,jinshu
AU,jinshu
B,ncp
C,ncp
CF,ncp
CU,jinshu
ER,ncp
FU,NY
J,NY
L,NY
M,ncp
ME,NY
P,ncp
PB,jinshu
RB,jinshu
RO,ncp
RU,NY
SR,ncp
TA,NY
V,NY
WR,jinshu
WS,ncp
WT,ncp
Y,ncp
ZN,jinshu
PM,ncp
AG,jinshu
OI,ncp
RI,ncp
WH,ncp
FG,0
RM,ncp
RS,ncp
JM,NY
TC,NY
BU,NY
I,jinshu
JD,ncp
JR,ncp
BB,ncp
FB,ncp
PP,NY
HC,jinshu
MA,NY
LR,ncp
SF,jinshu
SM,ncp
CS,ncp
NI,jinshu
SN,jinshu
ZC,NY
CY,ncp
AP,ncp
SC,NY
SP,NY
EG,NY
CJ,ncp
UR,NY
NR,NY
RR,ncp
SS,jinshu
EB,NY
SA,NY
PG,NY
LU,NY
PF,NY
BC,jinshu
LH,ncp
PK,ncp
