证券代码,证券简称,最后交割日
CS2111.DCE,玉米淀粉2111,2021-11-17
CS2201.DCE,玉米淀粉2201,2022-01-20
CS2203.DCE,玉米淀粉2203,2022-03-17
CS2205.DCE,玉米淀粉2205,2022-05-23
CS2207.DCE,玉米淀粉2207,2022-07-19
CS2209.DCE,玉米淀粉2209,2022-09-20
CS2211.DCE,玉米淀粉2211,2022-11-17
CS2301.DCE,玉米淀粉2301,2023-01-20
CS2303.DCE,玉米淀粉2303,2023-03-17
CS2305.DCE,玉米淀粉2305,2023-05-23
CS2307.DCE,玉米淀粉2307,2023-07-19
CS2309.DCE,玉米淀粉2309,2023-09-21
CU0001.SHF,沪铜0001,2000-01-24
CU0002.SHF,沪铜0002,2000-02-22
CU0003.SHF,沪铜0003,2000-03-22
CU0004.SHF,沪铜0004,2000-04-24
CU0005.SHF,沪铜0005,2000-05-22
CU0006.SHF,沪铜0006,2000-06-22
CU0007.SHF,沪铜0007,2000-07-24
CU0008.SHF,沪铜0008,2000-08-22
CU0009.SHF,沪铜0009,2000-09-22
CU0010.SHF,沪铜0010,2000-10-23
CU0011.SHF,沪铜0011,2000-11-22
CU0012.SHF,沪铜0012,2000-12-22
CU0101.SHF,沪铜0101,2001-02-05
CU0102.SHF,沪铜0102,2001-02-22
CU0103.SHF,沪铜0103,2001-03-22
CU0104.SHF,沪铜0104,2001-04-23
CU0105.SHF,沪铜0105,2001-05-22
CU0106.SHF,沪铜0106,2001-06-22
CU0107.SHF,沪铜0107,2001-07-23
CU0108.SHF,沪铜0108,2001-08-22
CU0109.SHF,沪铜0109,2001-09-24
CU0110.SHF,沪铜0110,2001-10-22
CU0111.SHF,沪铜0111,2001-11-22
CU0112.SHF,沪铜0112,2001-12-24
CU0201.SHF,沪铜0201,2002-01-22
CU0202.SHF,沪铜0202,2002-03-04
CU0203.SHF,沪铜0203,2002-03-22
CU0204.SHF,沪铜0204,2002-04-22
CU0205.SHF,沪铜0205,2002-05-22
CU0206.SHF,沪铜0206,2002-06-24
CU0207.SHF,沪铜0207,2002-07-22
CU0208.SHF,沪铜0208,2002-08-22
CU0209.SHF,沪铜0209,2002-09-23
CU0210.SHF,沪铜0210,2002-10-22
CU0211.SHF,沪铜0211,2002-11-22
CU0212.SHF,沪铜0212,2002-12-23
CU0301.SHF,沪铜0301,2003-01-22
CU0302.SHF,沪铜0302,2003-02-24
CU0303.SHF,沪铜0303,2003-03-24
CU0304.SHF,沪铜0304,2003-04-22
CU0305.SHF,沪铜0305,2003-05-22
CU0306.SHF,沪铜0306,2003-06-23
CU0307.SHF,沪铜0307,2003-07-22
CU0308.SHF,沪铜0308,2003-08-22
CU0309.SHF,沪铜0309,2003-09-22
CU0310.SHF,沪铜0310,2003-10-22
CU0311.SHF,沪铜0311,2003-11-24
CU0312.SHF,沪铜0312,2003-12-22
CU0401.SHF,沪铜0401,2004-02-03
CU0402.SHF,沪铜0402,2004-02-23
CU0403.SHF,沪铜0403,2004-03-22
CU0404.SHF,沪铜0404,2004-04-22
CU0405.SHF,沪铜0405,2004-05-24
CU0406.SHF,沪铜0406,2004-06-22
CU0407.SHF,沪铜0407,2004-07-22
CU0408.SHF,沪铜0408,2004-08-23
CU0409.SHF,沪铜0409,2004-09-22
CU0410.SHF,沪铜0410,2004-10-22
CU0411.SHF,沪铜0411,2004-11-22
CU0412.SHF,沪铜0412,2004-12-22
CU0501.SHF,沪铜0501,2005-01-24
CU0502.SHF,沪铜0502,2005-02-22
CU0503.SHF,沪铜0503,2005-03-22
CU0504.SHF,沪铜0504,2005-04-22
CU0505.SHF,沪铜0505,2005-05-23
CU0506.SHF,沪铜0506,2005-06-22
CU0507.SHF,沪铜0507,2005-07-22
CU0508.SHF,沪铜0508,2005-08-22
CU0509.SHF,沪铜0509,2005-09-22
CU0510.SHF,沪铜0510,2005-10-24
CU0511.SHF,沪铜0511,2005-11-22
CU0512.SHF,沪铜0512,2005-12-22
CU0601.SHF,沪铜0601,2006-01-23
CU0602.SHF,沪铜0602,2006-02-22
CU0603.SHF,沪铜0603,2006-03-22
CU0604.SHF,沪铜0604,2006-04-24
CU0605.SHF,沪铜0605,2006-05-22
CU0606.SHF,沪铜0606,2006-06-22
CU0607.SHF,沪铜0607,2006-07-24
CU0608.SHF,沪铜0608,2006-08-22
CU0609.SHF,沪铜0609,2006-09-22
CU0610.SHF,沪铜0610,2006-10-23
CU0611.SHF,沪铜0611,2006-11-22
CU0612.SHF,沪铜0612,2006-12-22
CU0701.SHF,沪铜0701,2007-01-22
CU0702.SHF,沪铜0702,2007-02-26
CU0703.SHF,沪铜0703,2007-03-22
CU0704.SHF,沪铜0704,2007-04-23
CU0705.SHF,沪铜0705,2007-05-22
CU0706.SHF,沪铜0706,2007-06-22
CU0707.SHF,沪铜0707,2007-07-23
CU0708.SHF,沪铜0708,2007-08-22
CU0709.SHF,沪铜0709,2007-09-24
CU0710.SHF,沪铜0710,2007-10-22
CU0711.SHF,沪铜0711,2007-11-22
CU0712.SHF,沪铜0712,2007-12-24
CU0801.SHF,沪铜0801,2008-01-22
CU0802.SHF,沪铜0802,2008-02-20
CU0803.SHF,沪铜0803,2008-03-24
CU0804.SHF,沪铜0804,2008-04-22
CU0805.SHF,沪铜0805,2008-05-22
CU0806.SHF,沪铜0806,2008-06-23
CU0807.SHF,沪铜0807,2008-07-22
CU0808.SHF,沪铜0808,2008-08-22
CU0809.SHF,沪铜0809,2008-09-23
CU0810.SHF,沪铜0810,2008-10-22
CU0811.SHF,沪铜0811,2008-11-24
CU0812.SHF,沪铜0812,2008-12-22
CU0901.SHF,沪铜0901,2009-01-22
CU0902.SHF,沪铜0902,2009-02-23
CU0903.SHF,沪铜0903,2009-03-23
CU0904.SHF,沪铜0904,2009-04-22
CU0905.SHF,沪铜0905,2009-05-22
CU0906.SHF,沪铜0906,2009-06-22
CU0907.SHF,沪铜0907,2009-07-22
CU0908.SHF,沪铜0908,2009-08-24
CU0909.SHF,沪铜0909,2009-09-22
CU0910.SHF,沪铜0910,2009-10-22
CU0911.SHF,沪铜0911,2009-11-23
CU0912.SHF,沪铜0912,2009-12-22
CU1001.SHF,沪铜1001,2010-01-22
CU1002.SHF,沪铜1002,2010-02-23
CU1003.SHF,沪铜1003,2010-03-22
CU1004.SHF,沪铜1004,2010-04-22
CU1005.SHF,沪铜1005,2010-05-24
CU1006.SHF,沪铜1006,2010-06-24
CU1007.SHF,沪铜1007,2010-07-22
CU1008.SHF,沪铜1008,2010-08-23
CU1009.SHF,沪铜1009,2010-09-27
CU1010.SHF,沪铜1010,2010-10-22
CU1011.SHF,沪铜1011,2010-11-22
CU1012.SHF,沪铜1012,2010-12-22
CU1101.SHF,沪铜1101,2011-01-24
CU1102.SHF,沪铜1102,2011-02-22
CU1103.SHF,沪铜1103,2011-03-22
CU1104.SHF,沪铜1104,2011-04-22
CU1105.SHF,沪铜1105,2011-05-23
CU1106.SHF,沪铜1106,2011-06-22
CU1107.SHF,沪铜1107,2011-07-22
CU1108.SHF,沪铜1108,2011-08-22
CU1109.SHF,沪铜1109,2011-09-22
CU1110.SHF,沪铜1110,2011-10-24
CU1111.SHF,沪铜1111,2011-11-22
CU1112.SHF,沪铜1112,2011-12-22
CU1201.SHF,沪铜1201,2012-01-20
CU1202.SHF,沪铜1202,2012-02-22
CU1203.SHF,沪铜1203,2012-03-22
CU1204.SHF,沪铜1204,2012-04-23
CU1205.SHF,沪铜1205,2012-05-22
CU1206.SHF,沪铜1206,2012-06-25
CU1207.SHF,沪铜1207,2012-07-23
CU1208.SHF,沪铜1208,2012-08-22
CU1209.SHF,沪铜1209,2012-09-24
CU1210.SHF,沪铜1210,2012-10-22
CU1211.SHF,沪铜1211,2012-11-22
CU1212.SHF,沪铜1212,2012-12-24
CU1301.SHF,沪铜1301,2013-01-22
CU1302.SHF,沪铜1302,2013-02-25
CU1303.SHF,沪铜1303,2013-03-22
CU1304.SHF,沪铜1304,2013-04-22
CU1305.SHF,沪铜1305,2013-05-22
CU1306.SHF,沪铜1306,2013-06-24
CU1307.SHF,沪铜1307,2013-07-22
CU1308.SHF,沪铜1308,2013-08-22
CU1309.SHF,沪铜1309,2013-09-25
CU1310.SHF,沪铜1310,2013-10-22
CU1311.SHF,沪铜1311,2013-11-22
CU1312.SHF,沪铜1312,2013-12-23
CU1401.SHF,沪铜1401,2014-01-22
CU1402.SHF,沪铜1402,2014-02-24
CU1403.SHF,沪铜1403,2014-03-24
CU1404.SHF,沪铜1404,2014-04-22
CU1405.SHF,沪铜1405,2014-05-22
CU1406.SHF,沪铜1406,2014-06-23
CU1407.SHF,沪铜1407,2014-07-22
CU1408.SHF,沪铜1408,2014-08-22
CU1409.SHF,沪铜1409,2014-09-22
CU1410.SHF,沪铜1410,2014-10-22
CU1411.SHF,沪铜1411,2014-11-24
CU1412.SHF,沪铜1412,2014-12-22
CU1501.SHF,沪铜1501,2015-01-22
CU1502.SHF,沪铜1502,2015-02-17
CU1503.SHF,沪铜1503,2015-03-23
CU1504.SHF,沪铜1504,2015-04-22
CU1505.SHF,沪铜1505,2015-05-22
CU1506.SHF,沪铜1506,2015-06-23
CU1507.SHF,沪铜1507,2015-07-22
CU1508.SHF,沪铜1508,2015-08-24
CU1509.SHF,沪铜1509,2015-09-22
CU1510.SHF,沪铜1510,2015-10-22
CU1511.SHF,沪铜1511,2015-11-23
CU1512.SHF,沪铜1512,2015-12-22
CU1601.SHF,沪铜1601,2016-01-22
CU1602.SHF,沪铜1602,2016-02-22
CU1603.SHF,沪铜1603,2016-03-22
CU1604.SHF,沪铜1604,2016-04-22
CU1605.SHF,沪铜1605,2016-05-23
CU1606.SHF,沪铜1606,2016-06-22
CU1607.SHF,沪铜1607,2016-07-22
CU1608.SHF,沪铜1608,2016-08-22
CU1609.SHF,沪铜1609,2016-09-26
CU1610.SHF,沪铜1610,2016-10-24
CU1611.SHF,沪铜1611,2016-11-22
CU1612.SHF,沪铜1612,2016-12-22
CU1701.SHF,沪铜1701,2017-01-23
CU1702.SHF,沪铜1702,2017-02-22
CU1703.SHF,沪铜1703,2017-03-22
CU1704.SHF,沪铜1704,2017-04-24
CU1705.SHF,沪铜1705,2017-05-22
CU1706.SHF,沪铜1706,2017-06-22
CU1707.SHF,沪铜1707,2017-07-24
CU1708.SHF,沪铜1708,2017-08-22
CU1709.SHF,沪铜1709,2017-09-22
CU1710.SHF,沪铜1710,2017-10-23
CU1711.SHF,沪铜1711,2017-11-22
CU1712.SHF,沪铜1712,2017-12-22
CU1801.SHF,沪铜1801,2018-01-22
CU1802.SHF,沪铜1802,2018-02-23
CU1803.SHF,沪铜1803,2018-03-22
CU1804.SHF,沪铜1804,2018-04-23
CU1805.SHF,沪铜1805,2018-05-22
CU1806.SHF,沪铜1806,2018-06-25
CU1807.SHF,沪铜1807,2018-07-23
CU1808.SHF,沪铜1808,2018-08-22
CU1809.SHF,沪铜1809,2018-09-25
CU1810.SHF,沪铜1810,2018-10-22
CU1811.SHF,沪铜1811,2018-11-22
CU1812.SHF,沪铜1812,2018-12-24
CU1901.SHF,沪铜1901,2019-01-22
CU1902.SHF,沪铜1902,2019-02-22
CU1903.SHF,沪铜1903,2019-03-22
CU1904.SHF,沪铜1904,2019-04-22
CU1905.SHF,沪铜1905,2019-05-22
CU1906.SHF,沪铜1906,2019-06-24
CU1907.SHF,沪铜1907,2019-07-22
CU1908.SHF,沪铜1908,2019-08-22
CU1909.SHF,沪铜1909,2019-09-23
CU1910.SHF,沪铜1910,2019-10-22
CU1911.SHF,沪铜1911,2019-11-22
CU1912.SHF,沪铜1912,2019-12-23
CU2001.SHF,沪铜2001,2020-01-22
CU2002.SHF,沪铜2002,2020-02-24
CU2003.SHF,沪铜2003,2020-03-23
CU2004.SHF,沪铜2004,2020-04-22
CU2005.SHF,沪铜2005,2020-05-22
CU2006.SHF,沪铜2006,2020-06-22
CU2007.SHF,沪铜2007,2020-07-22
CU2008.SHF,沪铜2008,2020-08-24
CU2009.SHF,沪铜2009,2020-09-18
CU2010.SHF,沪铜2010,2020-10-20
CU2011.SHF,沪铜2011,2020-11-19
CU2012.SHF,沪铜2012,2020-12-18
CU2101.SHF,沪铜2101,2021-01-20
CU2102.SHF,沪铜2102,2021-02-10
CU2103.SHF,沪铜2103,2021-03-18
CU2104.SHF,沪铜2104,2021-04-20
CU2105.SHF,沪铜2105,2021-05-20
CU2106.SHF,沪铜2106,2021-06-18
CU2107.SHF,沪铜2107,2021-07-20
CU2108.SHF,沪铜2108,2021-08-19
CU2109.SHF,沪铜2109,2021-09-22
CU2110.SHF,沪铜2110,2021-10-20
CU2111.SHF,沪铜2111,2021-11-18
CU2112.SHF,沪铜2112,2021-12-20
CU2201.SHF,沪铜2201,2022-01-20
CU2202.SHF,沪铜2202,2022-02-18
CU2203.SHF,沪铜2203,2022-03-18
CU2204.SHF,沪铜2204,2022-04-20
CU2205.SHF,沪铜2205,2022-05-19
CU2206.SHF,沪铜2206,2022-06-20
CU2207.SHF,沪铜2207,2022-07-20
CU2208.SHF,沪铜2208,2022-08-18
CU2209.SHF,沪铜2209,2022-09-20
CU2210.SHF,沪铜2210,2022-10-20
CU2211.SHF,沪铜2211,2022-11-18
CU2212.SHF,沪铜2212,2022-12-20
CU2301.SHF,沪铜2301,2023-01-19
CU2302.SHF,沪铜2302,2023-02-20
CU2303.SHF,沪铜2303,2023-03-20
CU2304.SHF,沪铜2304,2023-04-20
CU2305.SHF,沪铜2305,2023-05-18
CU2306.SHF,沪铜2306,2023-06-20
CU2307.SHF,沪铜2307,2023-07-20
CU2308.SHF,沪铜2308,2023-08-18
CU2309.SHF,沪铜2309,2023-09-20
CU9505.SHF,沪铜9505,1995-05-22
CU9506.SHF,沪铜9506,1995-06-22
CU9507.SHF,沪铜9507,1995-07-21
CU9508.SHF,沪铜9508,1995-08-22
CU9509.SHF,沪铜9509,1995-09-22
CU9510.SHF,沪铜9510,1995-10-20
CU9511.SHF,沪铜9511,1995-11-22
CU9512.SHF,沪铜9512,1995-12-22
CU9601.SHF,沪铜9601,1996-01-22
CU9602.SHF,沪铜9602,1996-03-07
CU9603.SHF,沪铜9603,1996-03-22
CU9604.SHF,沪铜9604,1996-04-22
CU9605.SHF,沪铜9605,1996-05-22
CU9606.SHF,沪铜9606,1996-06-21
CU9607.SHF,沪铜9607,1996-07-22
CU9608.SHF,沪铜9608,1996-08-22
CU9609.SHF,沪铜9609,1996-09-20
CU9610.SHF,沪铜9610,1996-10-22
CU9611.SHF,沪铜9611,1996-11-22
CU9612.SHF,沪铜9612,1996-12-20
CU9701.SHF,沪铜9701,1997-01-22
CU9702.SHF,沪铜9702,1997-02-24
CU9703.SHF,沪铜9703,1997-03-21
CU9704.SHF,沪铜9704,1997-04-22
CU9705.SHF,沪铜9705,1997-05-22
CU9706.SHF,沪铜9706,1997-06-20
CU9707.SHF,沪铜9707,1997-07-22
CU9708.SHF,沪铜9708,1997-08-22
CU9709.SHF,沪铜9709,1997-09-22
CU9710.SHF,沪铜9710,1997-10-22
CU9711.SHF,沪铜9711,1997-11-21
CU9712.SHF,沪铜9712,1997-12-22
CU9801.SHF,沪铜9801,1998-01-22
CU9802.SHF,沪铜9802,1998-02-20
CU9803.SHF,沪铜9803,1998-03-20
CU9804.SHF,沪铜9804,1998-04-22
CU9805.SHF,沪铜9805,1998-05-22
CU9806.SHF,沪铜9806,1998-06-22
CU9807.SHF,沪铜9807,1998-07-22
CU9808.SHF,沪铜9808,1998-08-21
CU9809.SHF,沪铜9809,1998-09-22
CU9810.SHF,沪铜9810,1998-10-22
CU9811.SHF,沪铜9811,1998-11-20
CU9812.SHF,沪铜9812,1998-12-22
CU9901.SHF,沪铜9901,1999-01-22
CU9902.SHF,沪铜9902,1999-03-01
CU9903.SHF,沪铜9903,1999-03-22
CU9904.SHF,沪铜9904,1999-04-22
CU9905.SHF,沪铜9905,1999-05-21
CU9906.SHF,沪铜9906,1999-06-22
CU9907.SHF,沪铜9907,1999-07-22
CU9908.SHF,沪铜9908,1999-08-20
CU9909.SHF,沪铜9909,1999-09-22
CU9910.SHF,沪铜9910,1999-10-22
CU9911.SHF,沪铜9911,1999-11-22
CU9912.SHF,沪铜9912,1999-12-23
CY001.CZC,棉纱2001,2020-01-17
CY002.CZC,棉纱2002,2020-02-18
CY003.CZC,棉纱2003,2020-03-17
CY004.CZC,棉纱2004,2020-04-17
CY005.CZC,棉纱2005,2020-05-21
CY006.CZC,棉纱2006,2020-06-16
CY007.CZC,棉纱2007,2020-07-16
CY008.CZC,棉纱2008,2020-08-18
CY009.CZC,棉纱2009,2020-09-16
CY010.CZC,棉纱2010,2020-10-26
CY011.CZC,棉纱2011,2020-11-18
CY012.CZC,棉纱2012,2020-12-17
CY101.CZC,棉纱2101,2021-01-20
CY102.CZC,棉纱2102,2021-02-24
CY103.CZC,棉纱2103,2021-03-17
CY104.CZC,棉纱2104,2021-04-20
CY105.CZC,棉纱2105,2021-05-24
CY106.CZC,棉纱2106,2021-06-18
CY107.CZC,棉纱2107,2021-07-19
CY108.CZC,棉纱2108,2021-08-18
CY109.CZC,棉纱2109,2021-09-17
CY110.CZC,棉纱2110,2021-10-26
CY111.CZC,棉纱2111,2021-11-17
CY112.CZC,棉纱2112,2021-12-17
CY201.CZC,棉纱2201,2022-01-20
CY202.CZC,棉纱2202,2022-02-23
CY203.CZC,棉纱2203,2022-03-17
CY204.CZC,棉纱2204,2022-04-21
CY205.CZC,棉纱2205,2022-05-23
CY206.CZC,棉纱2206,2022-06-20
CY207.CZC,棉纱2207,2022-07-19
CY208.CZC,棉纱2208,2022-08-17
CY209.CZC,棉纱2209,2022-09-20
CY210.CZC,棉纱2210,2022-10-26
CY211.CZC,棉纱2211,2022-11-17
CY212.CZC,棉纱2212,2022-12-19
CY301.CZC,棉纱2301,2023-01-18
CY302.CZC,棉纱2302,2023-02-17
CY303.CZC,棉纱2303,2023-03-17
CY304.CZC,棉纱2304,2023-04-19
CY305.CZC,棉纱2305,2023-05-17
CY306.CZC,棉纱2306,2023-06-19
CY307.CZC,棉纱2307,2023-07-19
CY308.CZC,棉纱2308,2023-08-17
CY309.CZC,棉纱2309,2023-09-19
CY801.CZC,棉纱1801,2018-01-17
CY802.CZC,棉纱1802,2018-02-23
CY803.CZC,棉纱1803,2018-03-16
CY804.CZC,棉纱1804,2018-04-19
CY805.CZC,棉纱1805,2018-05-17
CY806.CZC,棉纱1806,2018-06-21
CY807.CZC,棉纱1807,2018-07-17
CY808.CZC,棉纱1808,2018-08-16
CY809.CZC,棉纱1809,2018-09-18
CY810.CZC,棉纱1810,2018-10-23
CY811.CZC,棉纱1811,2018-11-16
CY812.CZC,棉纱1812,2018-12-18
CY901.CZC,棉纱1901,2019-01-17
CY902.CZC,棉纱1902,2019-02-25
CY903.CZC,棉纱1903,2019-03-18
CY904.CZC,棉纱1904,2019-04-17
CY905.CZC,棉纱1905,2019-05-21
CY906.CZC,棉纱1906,2019-06-19
CY907.CZC,棉纱1907,2019-07-16
CY908.CZC,棉纱1908,2019-08-16
CY909.CZC,棉纱1909,2019-09-18
CY910.CZC,棉纱1910,2019-10-23
CY911.CZC,棉纱1911,2019-11-18
CY912.CZC,棉纱1912,2019-12-17
EB2004.DCE,苯乙烯2004,2020-04-30
EB2005.DCE,苯乙烯2005,2020-05-29
EB2006.DCE,苯乙烯2006,2020-06-30
EB2007.DCE,苯乙烯2007,2020-07-31
EB2008.DCE,苯乙烯2008,2020-08-31
EB2009.DCE,苯乙烯2009,2020-09-30
EB2010.DCE,苯乙烯2010,2020-10-30
EB2011.DCE,苯乙烯2011,2020-11-30
EB2012.DCE,苯乙烯2012,2020-12-31
EB2101.DCE,苯乙烯2101,2021-01-29
EB2102.DCE,苯乙烯2102,2021-02-26
EB2103.DCE,苯乙烯2103,2021-03-31
EB2104.DCE,苯乙烯2104,2021-04-30
EB2105.DCE,苯乙烯2105,2021-05-31
EB2106.DCE,苯乙烯2106,2021-06-30
EB2107.DCE,苯乙烯2107,2021-07-30
EB2108.DCE,苯乙烯2108,2021-08-31
EB2109.DCE,苯乙烯2109,2021-09-30
EB2110.DCE,苯乙烯2110,2021-10-29
EB2111.DCE,苯乙烯2111,2021-11-30
EB2112.DCE,苯乙烯2112,2021-12-31
EB2201.DCE,苯乙烯2201,2022-01-28
EB2202.DCE,苯乙烯2202,2022-02-28
EB2203.DCE,苯乙烯2203,2022-03-31
EB2204.DCE,苯乙烯2204,2022-04-29
EB2205.DCE,苯乙烯2205,2022-05-31
EB2206.DCE,苯乙烯2206,2022-06-30
EB2207.DCE,苯乙烯2207,2022-07-29
EB2208.DCE,苯乙烯2208,2022-08-31
EB2209.DCE,苯乙烯2209,2022-09-30
EB2210.DCE,苯乙烯2210,2022-10-31
EB2211.DCE,苯乙烯2211,2022-11-30
EB2212.DCE,苯乙烯2212,2022-12-30
EB2301.DCE,苯乙烯2301,2023-01-30
EB2302.DCE,苯乙烯2302,2023-02-28
EB2303.DCE,苯乙烯2303,2023-03-31
EB2304.DCE,苯乙烯2304,2023-04-28
EB2305.DCE,苯乙烯2305,2023-05-31
EB2306.DCE,苯乙烯2306,2023-06-30
EB2307.DCE,苯乙烯2307,2023-07-31
EB2308.DCE,苯乙烯2308,2023-08-31
EB2309.DCE,苯乙烯2309,2023-09-29
EF1411-S.CFE,EF1411(仿真),2014-11-19
EF1412-S.CFE,EF1412(仿真),2014-12-17
EF1501-S.CFE,EF1501(仿真),2015-01-21
EF1502-S.CFE,EF1502(仿真),2015-02-25
EF1503-S.CFE,EF1503(仿真),2015-03-18
EF1504-S.CFE,EF1504(仿真),2015-04-15
EF1505-S.CFE,EF1505(仿真),2015-05-20
EF1506-S.CFE,EF1506(仿真),2015-06-17
EF1507-S.CFE,EF1507(仿真),2015-07-15
EF1508-S.CFE,EF1508(仿真),2015-08-19
EF1509-S.CFE,EF1509(仿真),2015-09-16
EF1510-S.CFE,EF1510(仿真),2015-10-21
EF1511-S.CFE,EF1511(仿真),2015-11-18
EF1512-S.CFE,EF1512(仿真),2015-12-16
EF1601-S.CFE,EF1601(仿真),2016-01-20
EF1602-S.CFE,EF1602(仿真),2016-02-17
EF1603-S.CFE,EF1603(仿真),2016-03-16
EF1604-S.CFE,EF1604(仿真),2016-04-20
EF1605-S.CFE,EF1605(仿真),2016-05-18
EF1606-S.CFE,EF1606(仿真),2016-06-15
EF1607-S.CFE,EF1607(仿真),2016-07-20
EF1608-S.CFE,EF1608(仿真),2016-08-17
EF1609-S.CFE,EF1609(仿真),2016-09-21
EF1610-S.CFE,EF1610(仿真),2016-10-19
EF1611-S.CFE,EF1611(仿真),2016-11-16
EF1612-S.CFE,EF1612(仿真),2016-12-21
EF1701-S.CFE,EF1701(仿真),2017-01-18
EF1702-S.CFE,EF1702(仿真),2017-02-15
EF1703-S.CFE,EF1703(仿真),2017-03-15
EF1704-S.CFE,EF1704(仿真),2017-04-19
EF1705-S.CFE,EF1705(仿真),2017-05-17
EF1706-S.CFE,EF1706(仿真),2017-06-21
EF1707-S.CFE,EF1707(仿真),2017-07-19
EF1708-S.CFE,EF1708(仿真),2017-08-16
EF1709-S.CFE,EF1709(仿真),2017-09-20
EF1710-S.CFE,EF1710(仿真),2017-10-18
EF1711-S.CFE,EF1711(仿真),2017-11-15
EF1712-S.CFE,EF1712(仿真),2017-12-20
EF1801-S.CFE,EF1801(仿真),2018-01-17
EF1802-S.CFE,EF1802(仿真),2018-02-22
EF1803-S.CFE,EF1803(仿真),2018-03-21
EF1804-S.CFE,EF1804(仿真),2018-04-18
EF1805-S.CFE,EF1805(仿真),2018-05-16
EF1806-S.CFE,EF1806(仿真),2018-06-20
EF1807-S.CFE,EF1807(仿真),2018-07-18
EF1808-S.CFE,EF1808(仿真),2018-08-15
EF1809-S.CFE,EF1809(仿真),2018-09-19
EF1810-S.CFE,EF1810(仿真),2018-10-17
EF1811-S.CFE,EF1811(仿真),2018-11-21
EF1812-S.CFE,EF1812(仿真),2018-12-19
EF1901-S.CFE,EF1901(仿真),2019-01-16
EF1902-S.CFE,EF1902(仿真),2019-02-20
EF1903-S.CFE,EF1903(仿真),2019-03-20
EF1904-S.CFE,EF1904(仿真),2019-04-17
EF1905-S.CFE,EF1905(仿真),2019-05-15
EF1906-S.CFE,EF1906(仿真),2019-06-19
EF1907-S.CFE,EF1907(仿真),2019-07-17
EF1908-S.CFE,EF1908(仿真),2019-08-21
EF1909-S.CFE,EF1909(仿真),2019-09-18
EF1910-S.CFE,EF1910(仿真),2019-10-16
EF1911-S.CFE,EF1911(仿真),2019-11-20
EF1912-S.CFE,EF1912(仿真),2019-12-18
EF2001-S.CFE,EF2001(仿真),2020-01-15
EF2002-S.CFE,EF2002(仿真),2020-02-19
EF2003-S.CFE,EF2003(仿真),2020-03-18
EF2004-S.CFE,EF2004(仿真),2020-04-15
EF2005-S.CFE,EF2005(仿真),2020-05-20
EF2006-S.CFE,EF2006(仿真),2020-06-17
EF2007-S.CFE,EF2007(仿真),2020-07-15
EF2008-S.CFE,EF2008(仿真),2020-08-19
EF2009-S.CFE,EF2009(仿真),2020-09-16
EF2010-S.CFE,EF2010(仿真),2020-10-21
EF2011-S.CFE,EF2011(仿真),2020-11-18
EF2012-S.CFE,EF2012(仿真),2020-12-16
EF2101-S.CFE,EF2101(仿真),2021-01-20
EF2102-S.CFE,EF2102(仿真),2021-02-18
EF2103-S.CFE,EF2103(仿真),2021-03-17
EF2104-S.CFE,EF2104(仿真),2021-04-21
EF2105-S.CFE,EF2105(仿真),2021-05-19
EF2106-S.CFE,EF2106(仿真),2021-06-16
EF2107-S.CFE,EF2107(仿真),2021-07-21
EF2109-S.CFE,EF2109(仿真),2021-09-15
EF2110-S.CFE,EF2110(仿真),2021-10-20
EF2112-S.CFE,EF2112(仿真),2021-12-15
EF2203-S.CFE,EF2203(仿真),2022-03-16
EF2206-S.CFE,EF2206(仿真),2022-06-15
EG1906.DCE,乙二醇1906,2019-06-28
EG1907.DCE,乙二醇1907,2019-07-31
EG1908.DCE,乙二醇1908,2019-08-30
EG1909.DCE,乙二醇1909,2019-09-30
EG1910.DCE,乙二醇1910,2019-10-31
EG1911.DCE,乙二醇1911,2019-11-29
EG1912.DCE,乙二醇1912,2019-12-31
EG2001.DCE,乙二醇2001,2020-02-03
EG2002.DCE,乙二醇2002,2020-02-28
EG2003.DCE,乙二醇2003,2020-03-31
EG2004.DCE,乙二醇2004,2020-04-30
EG2005.DCE,乙二醇2005,2020-05-29
EG2006.DCE,乙二醇2006,2020-06-30
EG2007.DCE,乙二醇2007,2020-07-31
EG2008.DCE,乙二醇2008,2020-08-31
EG2009.DCE,乙二醇2009,2020-09-30
EG2010.DCE,乙二醇2010,2020-10-30
EG2011.DCE,乙二醇2011,2020-11-30
EG2012.DCE,乙二醇2012,2020-12-31
EG2101.DCE,乙二醇2101,2021-01-29
EG2102.DCE,乙二醇2102,2021-02-26
EG2103.DCE,乙二醇2103,2021-03-31
EG2104.DCE,乙二醇2104,2021-04-30
EG2105.DCE,乙二醇2105,2021-05-31
EG2106.DCE,乙二醇2106,2021-06-30
EG2107.DCE,乙二醇2107,2021-07-30
EG2108.DCE,乙二醇2108,2021-08-31
EG2109.DCE,乙二醇2109,2021-09-30
EG2110.DCE,乙二醇2110,2021-10-29
EG2111.DCE,乙二醇2111,2021-11-30
EG2112.DCE,乙二醇2112,2021-12-31
EG2201.DCE,乙二醇2201,2022-01-28
EG2202.DCE,乙二醇2202,2022-02-28
EG2203.DCE,乙二醇2203,2022-03-31
EG2204.DCE,乙二醇2204,2022-04-29
EG2205.DCE,乙二醇2205,2022-05-31
EG2206.DCE,乙二醇2206,2022-06-30
EG2207.DCE,乙二醇2207,2022-07-29
EG2208.DCE,乙二醇2208,2022-08-31
