证券代码,证券简称,最后交割日
AL0109.SHF,沪铝0109,2001-09-24
AL0110.SHF,沪铝0110,2001-10-22
AL0111.SHF,沪铝0111,2001-11-22
AL0112.SHF,沪铝0112,2001-12-24
AL0201.SHF,沪铝0201,2002-01-22
AL0202.SHF,沪铝0202,2002-03-04
AL0203.SHF,沪铝0203,2002-03-22
AL0204.SHF,沪铝0204,2002-04-22
AL0205.SHF,沪铝0205,2002-05-22
AL0206.SHF,沪铝0206,2002-06-24
AL0207.SHF,沪铝0207,2002-07-22
AL0208.SHF,沪铝0208,2002-08-22
AL0209.SHF,沪铝0209,2002-09-23
AL0210.SHF,沪铝0210,2002-10-22
AL0211.SHF,沪铝0211,2002-11-22
AL0212.SHF,沪铝0212,2002-12-23
AL0301.SHF,沪铝0301,2003-01-22
AL0302.SHF,沪铝0302,2003-02-24
AL0303.SHF,沪铝0303,2003-03-24
AL0304.SHF,沪铝0304,2003-04-22
AL0305.SHF,沪铝0305,2003-05-22
AL0306.SHF,沪铝0306,2003-06-23
AL0307.SHF,沪铝0307,2003-07-22
AL0308.SHF,沪铝0308,2003-08-22
AL0309.SHF,沪铝0309,2003-09-22
AL0310.SHF,沪铝0310,2003-10-22
AL0311.SHF,沪铝0311,2003-11-24
AL0312.SHF,沪铝0312,2003-12-22
AL0401.SHF,沪铝0401,2004-02-03
AL0402.SHF,沪铝0402,2004-02-23
AL0403.SHF,沪铝0403,2004-03-22
AL0404.SHF,沪铝0404,2004-04-22
AL0405.SHF,沪铝0405,2004-05-24
AL0406.SHF,沪铝0406,2004-06-22
AL0407.SHF,沪铝0407,2004-07-22
AL0408.SHF,沪铝0408,2004-08-23
AL0409.SHF,沪铝0409,2004-09-22
AL0410.SHF,沪铝0410,2004-10-22
AL0411.SHF,沪铝0411,2004-11-22
AL0412.SHF,沪铝0412,2004-12-22
AL0501.SHF,沪铝0501,2005-01-24
AL0502.SHF,沪铝0502,2005-02-22
AL0503.SHF,沪铝0503,2005-03-22
AL0504.SHF,沪铝0504,2005-04-22
AL0505.SHF,沪铝0505,2005-05-23
AL0506.SHF,沪铝0506,2005-06-22
AL0507.SHF,沪铝0507,2005-07-22
AL0508.SHF,沪铝0508,2005-08-22
AL0509.SHF,沪铝0509,2005-09-22
AL0510.SHF,沪铝0510,2005-10-24
AL0511.SHF,沪铝0511,2005-11-22
AL0512.SHF,沪铝0512,2005-12-22
AL0601.SHF,沪铝0601,2006-01-23
AL0602.SHF,沪铝0602,2006-02-22
AL0603.SHF,沪铝0603,2006-03-22
AL0604.SHF,沪铝0604,2006-04-24
AL0605.SHF,沪铝0605,2006-05-22
AL0606.SHF,沪铝0606,2006-06-22
AL0607.SHF,沪铝0607,2006-07-24
AL0608.SHF,沪铝0608,2006-08-22
AL0609.SHF,沪铝0609,2006-09-22
AL0610.SHF,沪铝0610,2006-10-23
AL0611.SHF,沪铝0611,2006-11-22
AL0612.SHF,沪铝0612,2006-12-22
AL0701.SHF,沪铝0701,2007-01-22
AL0702.SHF,沪铝0702,2007-02-26
AL0703.SHF,沪铝0703,2007-03-22
AL0704.SHF,沪铝0704,2007-04-23
