ts_code,futu_code,exchange,name,delist_date,last_ddate
AL9710.SHF,AL9710,SHFE,沪铝9710,19971015,19971022
RU9710.SHF,RU9710,SHFE,橡胶9710,19971015,19971022
CU9710.SHF,CU9710,SHFE,沪铜9710,19971015,19971022
CU9711.SHF,CU9711,SHFE,沪铜9711,19971114,19971121
AL9711.SHF,AL9711,SHFE,沪铝9711,19971114,19971121
RU9711.SHF,RU9711,SHFE,橡胶9711,19971117,19971124
AL9712.SHF,AL9712,SHFE,沪铝9712,19971215,19971222
RU9712.SHF,RU9712,SHFE,橡胶9712,19971215,19971222
CU9712.SHF,CU9712,SHFE,沪铜9712,19971215,19971222
RU9802.SHF,RU9802,SHFE,橡胶9802,19971224,19971231
AL9801.SHF,AL9801,SHFE,沪铝9801,19980115,19980122
RU9801.SHF,RU9801,SHFE,橡胶9801,19980115,19980122
CU9801.SHF,CU9801,SHFE,沪铜9801,19980115,19980122
CU9802.SHF,CU9802,SHFE,沪铜9802,19980213,19980220
AL9802.SHF,AL9802,SHFE,沪铝9802,19980213,19980220
RU9803.SHF,RU9803,SHFE,橡胶9803,19980304,19980311
CU9803.SHF,CU9803,SHFE,沪铜9803,19980313,19980320
AL9803.SHF,AL9803,SHFE,沪铝9803,19980313,19980320
AL9804.SHF,AL9804,SHFE,沪铝9804,19980415,19980422
RU9804.SHF,RU9804,SHFE,橡胶9804,19980415,19980422
CU9804.SHF,CU9804,SHFE,沪铜9804,19980415,19980422
AL9805.SHF,AL9805,SHFE,沪铝9805,19980515,19980522
CU9805.SHF,CU9805,SHFE,沪铜9805,19980515,19980522
RU9805.SHF,RU9805,SHFE,橡胶9805,19980515,19980522
CU9806.SHF,CU9806,SHFE,沪铜9806,19980615,19980622
AL9806.SHF,AL9806,SHFE,沪铝9806,19980615,19980622
RU9806.SHF,RU9806,SHFE,橡胶9806,19980615,19980622
AL9807.SHF,AL9807,SHFE,沪铝9807,19980715,19980722
CU9807.SHF,CU9807,SHFE,沪铜9807,19980715,19980722
RU9807.SHF,RU9807,SHFE,橡胶9807,19980715,19980722
CU9808.SHF,CU9808,SHFE,沪铜9808,19980814,19980821
AL9808.SHF,AL9808,SHFE,沪铝9808,19980814,19980821
RU9808.SHF,RU9808,SHFE,橡胶9808,19980814,19980821
CU9809.SHF,CU9809,SHFE,沪铜9809,19980915,19980922
AL9809.SHF,AL9809,SHFE,沪铝9809,19980915,19980922
RU9809.SHF,RU9809,SHFE,橡胶9809,19980915,19980922
AL9810.SHF,AL9810,SHFE,沪铝9810,19981015,19981022
CU9810.SHF,CU9810,SHFE,沪铜9810,19981015,19981022
RU9810.SHF,RU9810,SHFE,橡胶9810,19981015,19981022
AL9811.SHF,AL9811,SHFE,沪铝9811,19981113,19981120
CU9811.SHF,CU9811,SHFE,沪铜9811,19981113,19981120
RU9811.SHF,RU9811,SHFE,橡胶9811,19981116,19981123
RU9812.SHF,RU9812,SHFE,橡胶9812,19981215,19981221
AL9812.SHF,AL9812,SHFE,沪铝9812,19981215,19981222
CU9812.SHF,CU9812,SHFE,沪铜9812,19981215,19981222
CU9901.SHF,CU9901,SHFE,沪铜9901,19990115,19990122
A9901.DCE,A9901,DCE,豆一9901,19990115,19990126
RU9901.SHF,RU9901,SHFE,橡胶9901,19990115,19990122
AL9901.SHF,AL9901,SHFE,沪铝9901,19990115,19990122
WT9901.ZCE,WT901,CZCE,硬麦9901,19990121,19990129
AL9902.SHF,AL9902,SHFE,沪铝9902,19990212,19990226
CU9902.SHF,CU9902,SHFE,沪铜9902,19990212,19990301
A9903.DCE,A9903,DCE,豆一9903,19990312,19990323
RU9903.SHF,RU9903,SHFE,橡胶9903,19990315,19990322
AL9903.SHF,AL9903,SHFE,沪铝9903,19990315,19990322
CU9903.SHF,CU9903,SHFE,沪铜9903,19990315,19990322
WT9903.ZCE,WT903,CZCE,硬麦9903,19990323,19990331
RU9904.SHF,RU9904,SHFE,橡胶9904,19990415,19990422
CU9904.SHF,CU9904,SHFE,沪铜9904,19990415,19990422
AL9904.SHF,AL9904,SHFE,沪铝9904,19990415,19990422
AL9905.SHF,AL9905,SHFE,沪铝9905,19990514,19990521
CU9905.SHF,CU9905,SHFE,沪铜9905,19990514,19990521
RU9905.SHF,RU9905,SHFE,橡胶9905,19990517,19990524
A9905.DCE,A9905,DCE,豆一9905,19990517,19990526
WT9905.ZCE,WT905,CZCE,硬麦9905,19990521,19990531
CU9906.SHF,CU9906,SHFE,沪铜9906,19990615,19990622
RU9906.SHF,RU9906,SHFE,橡胶9906,19990615,19990622
AL9906.SHF,AL9906,SHFE,沪铝9906,19990615,19990622
A9907.DCE,A9907,DCE,豆一9907,19990714,19990723
CU9907.SHF,CU9907,SHFE,沪铜9907,19990715,19990722
AL9907.SHF,AL9907,SHFE,沪铝9907,19990715,19990722
RU9907.SHF,RU9907,SHFE,橡胶9907,19990715,19990722
WT9907.ZCE,WT907,CZCE,硬麦9907,19990722,19990730
AL9908.SHF,AL9908,SHFE,沪铝9908,19990813,19990820
CU9908.SHF,CU9908,SHFE,沪铜9908,19990813,19990820
RU9908.SHF,RU9908,SHFE,橡胶9908,19990816,19990823
A9909.DCE,A9909,DCE,豆一9909,19990914,19990923
AL9909.SHF,AL9909,SHFE,沪铝9909,19990915,19990922
RU9909.SHF,RU9909,SHFE,橡胶9909,19990915,19990922
CU9909.SHF,CU9909,SHFE,沪铜9909,19990915,19990922
WT9909.ZCE,WT909,CZCE,硬麦9909,19990922,19990930
AL9910.SHF,AL9910,SHFE,沪铝9910,19991015,19991022
RU9910.SHF,RU9910,SHFE,橡胶9910,19991015,19991022
CU9910.SHF,CU9910,SHFE,沪铜9910,19991015,19991022
A9911.DCE,A9911,DCE,豆一9911,19991112,19991123
RU9911.SHF,RU9911,SHFE,橡胶9911,19991115,19991122
AL9911.SHF,AL9911,SHFE,沪铝9911,19991115,19991122
CU9911.SHF,CU9911,SHFE,沪铜9911,19991115,19991122
WT9911.ZCE,WT911,CZCE,硬麦9911,19991122,19991130
AL9912.SHF,AL9912,SHFE,沪铝9912,19991215,19991223
CU9912.SHF,CU9912,SHFE,沪铜9912,19991215,19991223
CU0001.SHF,CU0001,SHFE,沪铜0001,20000117,20000124
RU0001.SHF,RU0001,SHFE,橡胶0001,20000117,20000124
AL0001.SHF,AL0001,SHFE,沪铝0001,20000117,20000124
A0001.DCE,A0001,DCE,豆一0001,20000118,20000125
WT0001.ZCE,WT001,CZCE,硬麦0001,20000121,20000128
AL0002.SHF,AL0002,SHFE,沪铝0002,20000215,20000222
CU0002.SHF,CU0002,SHFE,沪铜0002,20000215,20000222
A0003.DCE,A0003,DCE,豆一0003,20000314,20000323
CU0003.SHF,CU0003,SHFE,沪铜0003,20000315,20000322
RU0003.SHF,RU0003,SHFE,橡胶0003,20000315,20000322
AL0003.SHF,AL0003,SHFE,沪铝0003,20000315,20000322
WT0003.ZCE,WT003,CZCE,硬麦0003,20000323,20000331
RU0004.SHF,RU0004,SHFE,橡胶0004,20000417,20000424
AL0004.SHF,AL0004,SHFE,沪铝0004,20000417,20000424
CU0004.SHF,CU0004,SHFE,沪铜0004,20000417,20000424
CU0005.SHF,CU0005,SHFE,沪铜0005,20000515,20000522
RU0005.SHF,RU0005,SHFE,橡胶0005,20000515,20000522
AL0005.SHF,AL0005,SHFE,沪铝0005,20000515,20000522
A0005.DCE,A0005,DCE,豆一0005,20000519,20000530
WT0005.ZCE,WT005,CZCE,硬麦0005,20000523,20000531
CU0006.SHF,CU0006,SHFE,沪铜0006,20000615,20000622
RU0006.SHF,RU0006,SHFE,橡胶0006,20000615,20000622
AL0006.SHF,AL0006,SHFE,沪铝0006,20000615,20000622
A0007.DCE,A0007,DCE,豆一0007,20000714,20000725
RU0007.SHF,RU0007,SHFE,橡胶0007,20000717,20000724
AL0007.SHF,AL0007,SHFE,沪铝0007,20000717,20000724
CU0007.SHF,CU0007,SHFE,沪铜0007,20000717,20000724
WT0007.ZCE,WT007,CZCE,硬麦0007,20000721,20000731
AL0008.SHF,AL0008,SHFE,沪铝0008,20000815,20000822
CU0008.SHF,CU0008,SHFE,沪铜0008,20000815,20000822
RU0008.SHF,RU0008,SHFE,橡胶0008,20000815,20000822
A0009.DCE,A0009,DCE,豆一0009,20000914,20000925
CU0009.SHF,CU0009,SHFE,沪铜0009,20000915,20000922
RU0009.SHF,RU0009,SHFE,橡胶0009,20000915,20000922
AL0009.SHF,AL0009,SHFE,沪铝0009,20000915,20000922
WT0009.ZCE,WT009,CZCE,硬麦0009,20000921,20000929
CU0010.SHF,CU0010,SHFE,沪铜0010,20001016,20001023
AL0010.SHF,AL0010,SHFE,沪铝0010,20001016,20001023
RU0010.SHF,RU0010,SHFE,橡胶0010,20001016,20001023
M0011.DCE,M0011,DCE,豆粕0011,20001114,20001120
A0011.DCE,A0011,DCE,豆一0011,20001114,20001123
RU0011.SHF,RU0011,SHFE,橡胶0011,20001115,20001122
CU0011.SHF,CU0011,SHFE,沪铜0011,20001115,20001122
AL0011.SHF,AL0011,SHFE,沪铝0011,20001115,20001122
WT0011.ZCE,WT011,CZCE,硬麦0011,20001122,20001130
CU0012.SHF,CU0012,SHFE,沪铜0012,20001215,20001222
AL0012.SHF,AL0012,SHFE,沪铝0012,20001215,20001222
WT0101.ZCE,WT101,CZCE,硬麦0101,20010111,20010119
A0101.DCE,A0101,DCE,豆一0101,20010115,20010207
RU0101.SHF,RU0101,SHFE,橡胶0101,20010115,20010205
M0101.DCE,M0101,DCE,豆粕0101,20010115,20010119
AL0101.SHF,AL0101,SHFE,沪铝0101,20010115,20010205
CU0101.SHF,CU0101,SHFE,沪铜0101,20010115,20010205
AL0102.SHF,AL0102,SHFE,沪铝0102,20010215,20010222
CU0102.SHF,CU0102,SHFE,沪铜0102,20010215,20010222
M0103.DCE,M0103,DCE,豆粕0103,20010314,20010320
A0103.DCE,A0103,DCE,豆一0103,20010314,20010323
CU0103.SHF,CU0103,SHFE,沪铜0103,20010315,20010322
RU0103.SHF,RU0103,SHFE,橡胶0103,20010315,20010322
AL0103.SHF,AL0103,SHFE,沪铝0103,20010315,20010322
WT0103.ZCE,WT103,CZCE,硬麦0103,20010322,20010330
AL0104.SHF,AL0104,SHFE,沪铝0104,20010416,20010423
RU0104.SHF,RU0104,SHFE,橡胶0104,20010416,20010423
CU0104.SHF,CU0104,SHFE,沪铜0104,20010416,20010423
CU0105.SHF,CU0105,SHFE,沪铜0105,20010515,20010522
RU0105.SHF,RU0105,SHFE,橡胶0105,20010515,20010522
AL0105.SHF,AL0105,SHFE,沪铝0105,20010515,20010522
A0105.DCE,A0105,DCE,豆一0105,20010521,20010530
M0105.DCE,M0105,DCE,豆粕0105,20010521,20010525
WT0105.ZCE,WT105,CZCE,硬麦0105,20010523,20010531
CU0106.SHF,CU0106,SHFE,沪铜0106,20010615,20010622
RU0106.SHF,RU0106,SHFE,橡胶0106,20010615,20010622
AL0106.SHF,AL0106,SHFE,沪铝0106,20010615,20010622
M0107.DCE,M0107,DCE,豆粕0107,20010713,20010719
A0107.DCE,A0107,DCE,豆一0107,20010713,20010724
AL0107.SHF,AL0107,SHFE,沪铝0107,20010716,20010723
CU0107.SHF,CU0107,SHFE,沪铜0107,20010716,20010723
RU0107.SHF,RU0107,SHFE,橡胶0107,20010716,20010723
WT0107.ZCE,WT107,CZCE,硬麦0107,20010723,20010731
CU0108.SHF,CU0108,SHFE,沪铜0108,20010815,20010822
AL0108.SHF,AL0108,SHFE,沪铝0108,20010815,20010822
RU0108.SHF,RU0108,SHFE,橡胶0108,20010815,20010822
M0109.DCE,M0109,DCE,豆粕0109,20010914,20010920
A0109.DCE,A0109,DCE,豆一0109,20010914,20010925
RU0109.SHF,RU0109,SHFE,橡胶0109,20010917,20010924
AL0109.SHF,AL0109,SHFE,沪铝0109,20010917,20010924
CU0109.SHF,CU0109,SHFE,沪铜0109,20010917,20010924
WT0109.ZCE,WT109,CZCE,硬麦0109,20010920,20010928
CU0110.SHF,CU0110,SHFE,沪铜0110,20011015,20011022
AL0110.SHF,AL0110,SHFE,沪铝0110,20011015,20011022
RU0110.SHF,RU0110,SHFE,橡胶0110,20011015,20011022
M0111.DCE,M0111,DCE,豆粕0111,20011114,20011120
A0111.DCE,A0111,DCE,豆一0111,20011114,20011123
RU0111.SHF,RU0111,SHFE,橡胶0111,20011115,20011122
AL0111.SHF,AL0111,SHFE,沪铝0111,20011115,20011122
CU0111.SHF,CU0111,SHFE,沪铜0111,20011115,20011122
WT0111.ZCE,WT111,CZCE,硬麦0111,20011122,20011130
AL0112.SHF,AL0112,SHFE,沪铝0112,20011217,20011224
CU0112.SHF,CU0112,SHFE,沪铜0112,20011217,20011224
RU0201.SHF,RU0201,SHFE,橡胶0201,20020115,20020122
