underlying_symbol,date,from_contract,to_contract,yield,annualized_yield,annualized_yield_trading
CU,2024-01-02,CU2402,CU2403,0.0,0.0,0.0
CU,2024-01-03,CU2402,CU2403,-0.00014570887367038043,-0.0021273495555875544,-0.0018359318082467933
CU,2024-01-04,CU2402,CU2403,-0.0007302468234263726,-0.01066160362202504,-0.009201109975172294
CU,2024-01-05,CU2402,CU2403,-0.0004387247733255162,-0.006405381690552536,-0.005527932143901504
CU,2024-01-08,CU2402,CU2403,-0.0005858230814294041,-0.008553016988869299,-0.007381370826010492
CU,2024-01-09,CU2402,CU2403,-0.0004398826979472581,-0.006422287390029968,-0.005542521994135452
CU,2024-01-10,CU2402,CU2403,0.0001472320376914027,0.0021495877502944794,0.0018551236749116738
CU,2024-01-11,CU2402,CU2403,0.00029407440082351854,0.004293486252023371,0.0037053374503763334
CU,2024-01-12,CU2403,CU2404,0.0002939015429830327,0.003460453651251837,0.003703159441586212
CU,2024-01-15,CU2403,CU2404,0.0005900575306092559,0.006947451570076722,0.007434724885676624
CU,2024-01-16,CU2403,CU2404,0.00029502876530451694,0.003473725785037054,0.0037173624428369135
CU,2024-01-17,CU2403,CU2404,0.0005891883929887154,0.006937218175512294,0.007423773751657814
CU,2024-01-18,CU2403,CU2404,0.00044326241134751143,0.005219057423930376,0.005585106382978644
CU,2024-01-19,CU2403,CU2404,0.0004437869822484508,0.005225233823247888,0.00559171597633048
CU,2024-01-22,CU2403,CU2404,0.00014708045300770856,0.0017317537208972136,0.0018532137078971277
CU,2024-01-23,CU2403,CU2404,0.0,0.0,0.0
CU,2024-01-24,CU2403,CU2404,0.0,0.0,0.0
CU,2024-01-25,CU2403,CU2404,0.00014522218995072222,0.001709874172000439,0.0018297995933791
CU,2024-01-26,CU2403,CU2404,-0.0002897291032883942,-0.0034113265387181895,-0.0036505867014337665
CU,2024-01-29,CU2403,CU2404,-0.00043478260869567187,-0.005119214586255491,-0.005478260869565465
CU,2024-01-30,CU2403,CU2404,-0.0005791226292167773,-0.0068187019246491514,-0.0072969451281313935
CU,2024-01-31,CU2403,CU2404,-0.0008655510675129596,-0.010191165794910653,-0.010905943450663291
