order_book_id,date,open,high,low,close,volume
TF2403,2024-01-15,102.39,102.5,102.34,102.42,57015.0
TF2403,2024-01-16,102.385,102.405,102.325,102.355,53583.0
TF2403,2024-01-17,102.375,102.475,102.355,102.455,50642.0
TF2403,2024-01-18,102.47,102.545,102.41,102.44,42122.0
TF2403,2024-01-19,102.465,102.58,102.465,102.56,44363.0
TF2403,2024-01-22,102.53,102.65,102.51,102.6,46473.0
TF2403,2024-01-23,102.58,102.6,102.49,102.525,48066.0
TF2403,2024-01-24,102.52,102.58,102.49,102.56,44244.0
TF2403,2024-01-25,102.68,102.81,102.66,102.725,80459.0
TF2403,2024-01-26,102.76,102.77,102.67,102.7,41780.0
TF2403,2024-01-29,102.675,102.765,102.645,102.755,38712.0
TF2403,2024-01-30,102.885,102.965,102.865,102.92,43031.0
TF2403,2024-01-31,103.04,103.075,102.85,102.915,52222.0
