order_book_id,date,open,high,low,close,volume
CU2403,2024-01-15,68000.0,68140.0,67600.0,67670.0,52818.0
CU2403,2024-01-16,67700.0,68010.0,67670.0,67810.0,40748.0
CU2403,2024-01-17,68020.0,68160.0,67690.0,67720.0,44842.0
CU2403,2024-01-18,67820.0,67890.0,67500.0,67870.0,52281.0
CU2403,2024-01-19,67580.0,67900.0,67380.0,67770.0,56108.0
CU2403,2024-01-22,68000.0,68160.0,67810.0,67910.0,52809.0
CU2403,2024-01-23,67880.0,68150.0,67720.0,68110.0,50812.0
CU2403,2024-01-24,68010.0,68400.0,68000.0,68380.0,51770.0
CU2403,2024-01-25,68900.0,69000.0,68760.0,68880.0,77862.0
CU2403,2024-01-26,69050.0,69130.0,68830.0,68870.0,53962.0
CU2403,2024-01-29,68910.0,69280.0,68740.0,68780.0,53617.0
CU2403,2024-01-30,68900.0,69210.0,68870.0,68980.0,43685.0
CU2403,2024-01-31,69110.0,69470.0,68960.0,69350.0,67178.0
