underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open
CU,2024-01-02,CU2402,70570.0,70780.0,70870.0,70450.0,0,31322.0,70740.0,70640.0,70790.0,141057.0,74920.0,66650.0,70570.0
CU,2024-01-03,CU2402,70490.0,70430.0,70670.0,70320.0,0,48693.0,70780.0,70440.0,70640.0,135896.0,74760.0,66510.0,70400.0
CU,2024-01-04,CU2402,70170.0,70210.0,70510.0,70040.0,0,55387.0,70430.0,70240.0,70440.0,131273.0,74550.0,66320.0,70490.0
CU,2024-01-05,CU2402,70020.0,70210.0,70390.0,69940.0,0,45301.0,70210.0,70170.0,70240.0,126435.0,74340.0,66130.0,70280.0
CU,2024-01-08,CU2402,70010.0,70100.0,70370.0,69900.0,0,54382.0,70210.0,70060.0,70170.0,123663.0,74270.0,66060.0,69970.0
CU,2024-01-09,CU2402,69910.0,70040.0,70250.0,69750.0,0,47529.0,70100.0,69990.0,70060.0,125217.0,74150.0,65960.0,70040.0
CU,2024-01-10,CU2402,69800.0,69630.0,70000.0,69590.0,0,59701.0,70040.0,69750.0,69990.0,125294.0,74080.0,65890.0,69680.0
CU,2024-01-11,CU2402,69830.0,70010.0,70050.0,69490.0,0,45167.0,69630.0,69850.0,69750.0,118216.0,73820.0,65670.0,69830.0
CU,2024-01-12,CU2403,70120.0,69980.0,70130.0,69600.0,0,41497.0,70010.0,69890.0,69830.0,137936.0,73910.0,65740.0,69760.0
CU,2024-01-15,CU2403,69820.0,69490.0,69960.0,69420.0,0,52818.0,69980.0,69650.0,69890.0,144333.0,73970.0,65800.0,69620.0
CU,2024-01-16,CU2403,69520.0,69630.0,69830.0,69490.0,0,40748.0,69490.0,69630.0,69650.0,147095.0,73710.0,65580.0,69750.0
CU,2024-01-17,CU2403,69840.0,69540.0,69980.0,69510.0,0,44842.0,69630.0,69750.0,69630.0,148567.0,73690.0,65560.0,69820.0
CU,2024-01-18,CU2403,69640.0,69690.0,69710.0,69320.0,0,52281.0,69540.0,69530.0,69750.0,150362.0,73820.0,65670.0,69570.0
CU,2024-01-19,CU2403,69400.0,69590.0,69720.0,69200.0,0,56108.0,69690.0,69450.0,69530.0,150724.0,73590.0,65460.0,69620.0
CU,2024-01-22,CU2403,69820.0,69730.0,69980.0,69630.0,0,52809.0,69590.0,69820.0,69450.0,148520.0,73500.0,65390.0,69850.0
CU,2024-01-23,CU2403,69700.0,69930.0,69970.0,69540.0,0,50812.0,69730.0,69720.0,69820.0,149622.0,73900.0,65740.0,69580.0
CU,2024-01-24,CU2403,69830.0,70200.0,70220.0,69820.0,0,51770.0,69930.0,70010.0,69720.0,151823.0,73790.0,65640.0,70020.0
CU,2024-01-25,CU2403,70720.0,70700.0,70820.0,70580.0,0,77862.0,70200.0,70690.0,70010.0,153366.0,74100.0,65910.0,70750.0
CU,2024-01-26,CU2403,70870.0,70690.0,70950.0,70650.0,0,53962.0,70700.0,70830.0,70690.0,153260.0,74820.0,66550.0,70800.0
CU,2024-01-29,CU2403,70730.0,70600.0,71100.0,70560.0,0,53617.0,70690.0,70790.0,70830.0,151027.0,74970.0,66680.0,70800.0
CU,2024-01-30,CU2403,70720.0,70800.0,71030.0,70690.0,0,43685.0,70600.0,70850.0,70790.0,150596.0,74920.0,66650.0,71020.0
CU,2024-01-31,CU2403,70930.0,71170.0,71290.0,70780.0,0,67178.0,70800.0,71080.0,70850.0,153179.0,74990.0,66700.0,71280.0
