order_book_id,date,open,high,low,close,volume
AU2404,2024-01-15,482.7,484.4,482.04,483.58,183843.0
AU2404,2024-01-16,483.58,484.0,482.92,483.34,79238.0
AU2404,2024-01-17,482.0,483.18,479.42,479.66,194971.0
AU2404,2024-01-18,480.94,480.98,478.06,478.72,154120.0
AU2404,2024-01-19,479.2,480.74,478.46,480.36,102473.0
AU2404,2024-01-22,481.7,482.24,478.64,478.88,152765.0
AU2404,2024-01-23,480.3,480.3,477.22,479.18,119090.0
AU2404,2024-01-24,478.52,478.84,477.74,478.66,89558.0
AU2404,2024-01-25,478.96,479.16,476.32,476.84,158471.0
AU2404,2024-01-26,476.84,478.98,476.4,478.72,135260.0
AU2404,2024-01-29,478.72,480.44,477.96,480.04,125295.0
AU2404,2024-01-30,480.08,481.32,479.12,481.0,121527.0
AU2404,2024-01-31,481.42,482.74,480.58,481.58,145507.0
