order_book_id,date,open,high,low,close,volume
M2405,2024-01-15,3078.0,3092.0,3029.0,3072.0,1208481.0
M2405,2024-01-16,3063.0,3084.0,3050.0,3083.0,934543.0
M2405,2024-01-17,3084.0,3098.0,3050.0,3054.0,948347.0
M2405,2024-01-18,3043.0,3045.0,2988.0,3028.0,1483316.0
M2405,2024-01-19,3032.0,3056.0,3015.0,3037.0,900991.0
M2405,2024-01-22,3041.0,3067.0,3027.0,3039.0,1027285.0
M2405,2024-01-23,3030.0,3065.0,3021.0,3047.0,860859.0
M2405,2024-01-24,3056.0,3080.0,3053.0,3072.0,966427.0
M2405,2024-01-25,3070.0,3085.0,3031.0,3050.0,1152009.0
M2405,2024-01-26,3050.0,3051.0,2996.0,3007.0,1398809.0
M2405,2024-01-29,2985.0,2988.0,2931.0,2952.0,1423920.0
M2405,2024-01-30,2948.0,2975.0,2928.0,2944.0,1103599.0
M2405,2024-01-31,2955.0,3018.0,2953.0,2994.0,1298710.0
