date,underlying_symbol,on_warrant,exchange,effective_forecast,warrant_units,contract_multiplier,deliverable
20240102,RB,17090.0,SHFE,,,,
20240103,RB,17090.0,SHFE,,,,
20240104,RB,17703.0,SHFE,,,,
20240105,RB,18903.0,SHFE,,,,
20240108,RB,33524.0,SHFE,,,,
20240109,RB,47575.0,SHFE,,,,
20240110,RB,49670.0,SHFE,,,,
20240111,RB,55447.0,SHFE,,,,
20240112,RB,62343.0,SHFE,,,,
20240115,RB,110286.0,SHFE,,,,
20240116,RB,110286.0,SHFE,,,,
20240117,RB,113625.0,SHFE,,,,
20240118,RB,109112.0,SHFE,,,,
20240119,RB,109112.0,SHFE,,,,
20240122,RB,107584.0,SHFE,,,,
20240123,RB,107584.0,SHFE,,,,
20240124,RB,106369.0,SHFE,,,,
20240125,RB,106667.0,SHFE,,,,
20240126,RB,106667.0,SHFE,,,,
20240129,RB,108181.0,SHFE,,,,
20240130,RB,110583.0,SHFE,,,,
20240131,RB,110583.0,SHFE,,,,
