date,underlying_symbol,on_warrant,exchange,effective_forecast,warrant_units,contract_multiplier,deliverable
20240102,AU,3078.0,SHFE,,,,
20240103,AU,3078.0,SHFE,,,,
20240104,AU,3078.0,SHFE,,,,
20240105,AU,3078.0,SHFE,,,,3078.0
20240108,AU,3078.0,SHFE,,,,
20240109,AU,3078.0,SHFE,,,,
20240110,AU,3078.0,SHFE,,,,
20240111,AU,3078.0,SHFE,,,,
20240112,AU,3129.0,SHFE,,,,3129.0
20240115,AU,3129.0,SHFE,,,,
20240116,AU,3129.0,SHFE,,,,
20240117,AU,3129.0,SHFE,,,,
20240118,AU,3126.0,SHFE,,,,
20240119,AU,3126.0,SHFE,,,,3126.0
20240122,AU,3126.0,SHFE,,,,
20240123,AU,3126.0,SHFE,,,,
20240124,AU,3126.0,SHFE,,,,
20240125,AU,3126.0,SHFE,,,,
20240126,AU,3126.0,SHFE,,,,3126.0
20240129,AU,3126.0,SHFE,,,,
20240130,AU,3126.0,SHFE,,,,
20240131,AU,3126.0,SHFE,,,,
