factor,info_date,start_date,end_date,value,rice_create_tm
兰格钢铁钢铁流通业采购经理人指数(LGSC-PMI),2022-01-25,2021-12-31,2022-01-31,47.6,2022-06-09 11:16:34
兰格钢铁钢铁流通业采购经理人指数(LGSC-PMI),2022-02-25,2022-01-31,2022-02-28,49.2,2022-06-09 11:16:34
兰格钢铁钢铁流通业采购经理人指数(LGSC-PMI),2022-03-25,2022-02-28,2022-03-31,52.4,2022-06-09 11:16:34
兰格钢铁钢铁流通业采购经理人指数(LGSC-PMI),2022-04-25,2022-03-31,2022-04-30,50.6,2022-06-09 11:16:34
兰格钢铁钢铁流通业采购经理人指数(LGSC-PMI),2022-05-25,2022-04-30,2022-05-31,47.2,2022-06-09 11:16:34
兰格钢铁钢铁流通业采购经理人指数(LGSC-PMI),2022-06-24,2022-05-31,2022-06-30,46.1,2022-06-27 20:26:36
兰格钢铁钢铁流通业采购经理人指数(LGSC-PMI),2022-07-25,2022-06-30,2022-07-31,46.7,2022-07-25 20:25:00
兰格钢铁钢铁流通业采购经理人指数(LGSC-PMI),2022-08-25,2022-07-31,2022-08-31,48.6,2022-08-29 20:30:51
兰格钢铁钢铁流通业采购经理人指数(LGSC-PMI),2022-09-25,2022-08-31,2022-09-30,49.1,2022-09-26 11:25:04
兰格钢铁钢铁流通业采购经理人指数(LGSC-PMI),2022-10-25,2022-09-30,2022-10-31,47.8,2022-10-25 11:25:05
兰格钢铁钢铁流通业采购经理人指数(LGSC-PMI),2022-11-25,2022-10-31,2022-11-30,47.9,2022-11-25 11:25:06
兰格钢铁钢铁流通业采购经理人指数(LGSC-PMI),2022-12-25,2022-11-30,2022-12-31,47.2,2022-12-26 11:28:20
兰格钢铁钢铁流通业采购经理人指数(LGSC-PMI),2023-01-30,2022-12-31,2023-01-31,48.0,2023-01-30 11:25:07
兰格钢铁钢铁流通业采购经理人指数(LGSC-PMI),2023-02-24,2023-01-31,2023-02-28,52.5,2023-02-24 11:25:04
兰格钢铁钢铁流通业采购经理人指数(LGSC-PMI),2023-03-24,2023-02-28,2023-03-31,51.9,2023-03-24 11:25:29
兰格钢铁钢铁流通业采购经理人指数(LGSC-PMI),2023-04-25,2023-03-31,2023-04-30,46.8,2023-04-25 11:25:26
兰格钢铁钢铁流通业采购经理人指数(LGSC-PMI),2023-05-25,2023-04-30,2023-05-31,47.8,2023-05-25 11:25:20
兰格钢铁钢铁流通业采购经理人指数(LGSC-PMI),2023-06-25,2023-05-31,2023-06-30,49.6,2023-06-25 11:25:22
兰格钢铁钢铁流通业采购经理人指数(LGSC-PMI),2023-07-25,2023-06-30,2023-07-31,47.1,2023-07-25 11:25:20
兰格钢铁钢铁流通业采购经理人指数(LGSC-PMI),2023-08-25,2023-07-31,2023-08-31,47.9,2023-08-25 11:25:05
兰格钢铁钢铁流通业采购经理人指数(LGSC-PMI),2023-09-25,2023-08-31,2023-09-30,50.6,2023-09-25 11:25:07
兰格钢铁钢铁流通业采购经理人指数(LGSC-PMI),2023-10-25,2023-09-30,2023-10-31,48.1,2023-10-25 11:25:07
兰格钢铁钢铁流通业采购经理人指数(LGSC-PMI),2023-11-25,2023-10-31,2023-11-30,48.6,2023-11-27 11:25:10
兰格钢铁钢铁流通业采购经理人指数(LGSC-PMI),2023-12-25,2023-11-30,2023-12-31,47.0,2023-12-25 11:25:07
