order_book_id,date,high,prev_close,total_turnover,close,open,volume,low
000905.XSHG,2024-01-02,5439.4778,5429.2288,106839922689.4,5409.4554,5431.4784,9296474700.0,5409.4554
000905.XSHG,2024-01-03,5428.5204,5409.4554,99883598918.1,5401.395,5398.2939,8670522900.0,5373.8317
000905.XSHG,2024-01-04,5395.1428,5401.395,91011406056.3,5355.3216,5395.1428,7884656800.0,5331.892
000905.XSHG,2024-01-05,5373.6788,5355.3216,101084569596.5,5281.8711,5347.0727,8953888400.0,5260.5939
000905.XSHG,2024-01-08,5268.9787,5281.8711,92792791379.5,5167.6997,5268.2339,8378515500.0,5167.6997
000905.XSHG,2024-01-09,5220.4578,5167.6997,90959823751.5,5180.653,5176.1129,7874041800.0,5152.9987
000905.XSHG,2024-01-10,5211.8158,5180.653,84227807644.4,5158.0784,5167.7319,7117394600.0,5118.4332
000905.XSHG,2024-01-11,5243.1387,5158.0784,106151947191.7,5223.8633,5152.359,8504129500.0,5146.8978
000905.XSHG,2024-01-12,5262.6165,5223.8633,93271394880.1,5206.178,5213.1356,7661983100.0,5206.1607
000905.XSHG,2024-01-15,5238.9581,5206.178,88027788849.7,5193.2956,5189.5279,7392509700.0,5171.2399
000905.XSHG,2024-01-16,5210.0834,5193.2956,92337607304.7,5190.3975,5188.3692,8307037100.0,5124.0823
000905.XSHG,2024-01-17,5180.9251,5190.3975,87930639304.5,5061.5395,5180.9251,7874184900.0,5061.5395
000905.XSHG,2024-01-18,5069.2295,5061.5395,123436419725.2,5066.9579,5033.1032,11875105500.0,4924.6815
000905.XSHG,2024-01-19,5084.2902,5066.9579,92039421274.4,5018.4332,5056.4765,7846738300.0,5014.7667
000905.XSHG,2024-01-22,5008.7672,5018.4332,115622857135.0,4780.9748,5008.6804,10970849200.0,4753.6302
000905.XSHG,2024-01-23,4889.4223,4780.9748,107808853142.3,4865.743,4771.4963,9994471800.0,4727.8806
000905.XSHG,2024-01-24,4941.4403,4865.743,112683270494.8,4933.7009,4886.2037,11402580500.0,4766.8035
000905.XSHG,2024-01-25,5074.4943,4933.7009,134822852027.2,5073.1779,4931.6273,13230776600.0,4910.9591
000905.XSHG,2024-01-26,5086.129,5073.1779,119232918977.8,5027.0932,5055.2878,11700983600.0,5009.9729
000905.XSHG,2024-01-29,5050.1092,5027.0932,117835011090.9,4927.9137,5032.1113,11687665700.0,4927.9137
000905.XSHG,2024-01-30,4939.3511,4927.9137,95474113525.6,4814.9908,4898.3613,9967581100.0,4810.099
000905.XSHG,2024-01-31,4832.401,4814.9908,116592536773.1,4696.9796,4786.8128,12109315800.0,4690.9429
