underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open
CF,2024-01-02,CF2405,16195.0,16285.0,16315.0,16165.0,0,188206.0,16140.0,16240.0,16235.0,672453.0,17480.0,14990.0,16195.0
CF,2024-01-03,CF2405,16300.0,16330.0,16355.0,16205.0,0,273981.0,16285.0,16280.0,16240.0,661036.0,17485.0,14995.0,16235.0
CF,2024-01-04,CF2405,16330.0,16355.0,16410.0,16285.0,0,274292.0,16330.0,16350.0,16280.0,661258.0,17530.0,15030.0,16370.0
CF,2024-01-05,CF2405,16385.0,16300.0,16420.0,16225.0,0,245409.0,16355.0,16315.0,16350.0,648974.0,17605.0,15095.0,16330.0
CF,2024-01-08,CF2405,16300.0,16185.0,16395.0,16165.0,0,335132.0,16300.0,16260.0,16315.0,633875.0,17570.0,15060.0,16350.0
CF,2024-01-09,CF2405,16165.0,16185.0,16250.0,16000.0,0,462891.0,16185.0,16115.0,16260.0,604735.0,17510.0,15010.0,16060.0
CF,2024-01-10,CF2405,16185.0,16170.0,16290.0,16140.0,0,280471.0,16185.0,16215.0,16115.0,587784.0,17350.0,14880.0,16240.0
CF,2024-01-11,CF2405,16180.0,16265.0,16315.0,16075.0,0,313686.0,16170.0,16185.0,16215.0,587130.0,17460.0,14970.0,16125.0
CF,2024-01-12,CF2405,16275.0,16205.0,16330.0,16190.0,0,264615.0,16265.0,16270.0,16185.0,586210.0,17425.0,14945.0,16285.0
CF,2024-01-15,CF2405,16255.0,16120.0,16270.0,16090.0,0,276969.0,16205.0,16170.0,16270.0,581060.0,17520.0,15020.0,16240.0
CF,2024-01-16,CF2405,16105.0,16285.0,16285.0,16105.0,0,245035.0,16120.0,16210.0,16170.0,586271.0,17410.0,14930.0,16165.0
CF,2024-01-17,CF2405,16240.0,16225.0,16300.0,16220.0,0,181156.0,16285.0,16255.0,16210.0,583258.0,17455.0,14965.0,16270.0
CF,2024-01-18,CF2405,16240.0,16575.0,16585.0,16230.0,0,577598.0,16225.0,16455.0,16255.0,628405.0,17505.0,15005.0,16435.0
CF,2024-01-19,CF2405,16540.0,16610.0,16635.0,16485.0,0,310875.0,16575.0,16565.0,16455.0,636573.0,17720.0,15190.0,16545.0
CF,2024-01-22,CF2405,16605.0,16595.0,16765.0,16545.0,0,459127.0,16610.0,16660.0,16565.0,617981.0,17840.0,15290.0,16710.0
CF,2024-01-23,CF2405,16655.0,16640.0,16700.0,16605.0,0,201197.0,16595.0,16650.0,16660.0,613732.0,17940.0,15380.0,16660.0
CF,2024-01-24,CF2405,16605.0,16660.0,16695.0,16515.0,0,276741.0,16640.0,16615.0,16650.0,603842.0,17930.0,15370.0,16600.0
CF,2024-01-25,CF2405,16685.0,16675.0,16755.0,16650.0,0,221313.0,16660.0,16705.0,16615.0,609019.0,17890.0,15340.0,16700.0
CF,2024-01-26,CF2405,16645.0,16665.0,16775.0,16605.0,0,250100.0,16675.0,16685.0,16705.0,598750.0,17990.0,15420.0,16715.0
CF,2024-01-29,CF2405,16675.0,16810.0,16855.0,16560.0,0,332043.0,16665.0,16705.0,16685.0,610631.0,17965.0,15405.0,16635.0
CF,2024-01-30,CF2405,16795.0,16765.0,16865.0,16710.0,0,312677.0,16810.0,16785.0,16705.0,596877.0,17990.0,15420.0,16725.0
CF,2024-01-31,CF2405,16760.0,16770.0,16845.0,16615.0,0,305164.0,16765.0,16730.0,16785.0,593778.0,18075.0,15495.0,16715.0
