underlying_symbol,date,exchange,contract_multiplier
CU,2024-01-15,SHFE,5.0
CU,2024-01-16,SHFE,5.0
CU,2024-01-17,SHFE,5.0
CU,2024-01-18,SHFE,5.0
CU,2024-01-19,SHFE,5.0
