underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open
RB,2024-01-02,RB2405,4375.0,4417.0,4428.0,4353.0,0,970394.0,4372.0,4406.0,4370.0,1541082.0,4570.0,4170.0,4375.0
RB,2024-01-03,RB2405,4418.0,4425.0,4442.0,4410.0,0,964192.0,4417.0,4425.0,4406.0,1583796.0,4607.0,4204.0,4420.0
RB,2024-01-04,RB2405,4424.0,4416.0,4430.0,4398.0,0,1012620.0,4425.0,4415.0,4425.0,1565306.0,4627.0,4222.0,4420.0
RB,2024-01-05,RB2405,4417.0,4349.0,4423.0,4341.0,0,1381043.0,4416.0,4381.0,4415.0,1519864.0,4617.0,4212.0,4402.0
RB,2024-01-08,RB2405,4356.0,4320.0,4360.0,4307.0,0,1112685.0,4349.0,4331.0,4381.0,1481551.0,4581.0,4180.0,4340.0
RB,2024-01-09,RB2405,4320.0,4313.0,4333.0,4305.0,0,904309.0,4320.0,4318.0,4331.0,1500557.0,4529.0,4132.0,4329.0
RB,2024-01-10,RB2405,4313.0,4257.0,4316.0,4255.0,0,1306981.0,4313.0,4284.0,4318.0,1555083.0,4515.0,4120.0,4297.0
RB,2024-01-11,RB2405,4252.0,4296.0,4301.0,4252.0,0,1049723.0,4257.0,4277.0,4284.0,1518301.0,4479.0,4088.0,4278.0
RB,2024-01-12,RB2405,4296.0,4272.0,4301.0,4271.0,0,946101.0,4296.0,4285.0,4277.0,1518179.0,4472.0,4081.0,4277.0
RB,2024-01-15,RB2405,4275.0,4266.0,4290.0,4234.0,0,1337484.0,4272.0,4262.0,4285.0,1534526.0,4480.0,4089.0,4263.0
RB,2024-01-16,RB2405,4259.0,4269.0,4277.0,4235.0,0,1241142.0,4266.0,4254.0,4262.0,1577068.0,4456.0,4067.0,4266.0
RB,2024-01-17,RB2405,4283.0,4228.0,4295.0,4225.0,0,1343304.0,4269.0,4264.0,4254.0,1678312.0,4448.0,4059.0,4281.0
RB,2024-01-18,RB2405,4222.0,4283.0,4285.0,4211.0,0,1671022.0,4228.0,4249.0,4264.0,1624177.0,4458.0,4069.0,4255.0
RB,2024-01-19,RB2405,4283.0,4285.0,4290.0,4262.0,0,938865.0,4283.0,4277.0,4249.0,1589085.0,4442.0,4055.0,4272.0
RB,2024-01-22,RB2405,4285.0,4272.0,4300.0,4253.0,0,1351690.0,4285.0,4278.0,4277.0,1547107.0,4472.0,4081.0,4279.0
RB,2024-01-23,RB2405,4274.0,4302.0,4309.0,4263.0,0,1025124.0,4272.0,4292.0,4278.0,1512174.0,4473.0,4082.0,4290.0
RB,2024-01-24,RB2405,4300.0,4325.0,4325.0,4298.0,0,863883.0,4302.0,4310.0,4292.0,1504867.0,4488.0,4095.0,4303.0
RB,2024-01-25,RB2405,4341.0,4337.0,4359.0,4331.0,0,1058613.0,4325.0,4344.0,4310.0,1493572.0,4507.0,4113.0,4345.0
RB,2024-01-26,RB2405,4331.0,4343.0,4357.0,4329.0,0,911318.0,4337.0,4341.0,4344.0,1498486.0,4542.0,4145.0,4334.0
RB,2024-01-29,RB2405,4343.0,4338.0,4362.0,4325.0,0,933122.0,4343.0,4343.0,4341.0,1515490.0,4539.0,4142.0,4351.0
RB,2024-01-30,RB2405,4338.0,4283.0,4344.0,4282.0,0,1177825.0,4338.0,4316.0,4343.0,1548905.0,4541.0,4144.0,4335.0
RB,2024-01-31,RB2405,4280.0,4239.0,4289.0,4237.0,0,1219415.0,4283.0,4265.0,4316.0,1612323.0,4513.0,4118.0,4277.0
