order_book_id,date,open,high,low,close,volume
TA2405,2024-01-15,5810.0,5822.0,5746.0,5764.0,824381.0
TA2405,2024-01-16,5748.0,5846.0,5738.0,5828.0,760638.0
TA2405,2024-01-17,5840.0,5850.0,5800.0,5814.0,687880.0
TA2405,2024-01-18,5796.0,5878.0,5788.0,5844.0,1193122.0
TA2405,2024-01-19,5846.0,5904.0,5836.0,5898.0,775737.0
TA2405,2024-01-22,5888.0,5950.0,5872.0,5928.0,753524.0
TA2405,2024-01-23,5930.0,5986.0,5900.0,5982.0,692857.0
TA2405,2024-01-24,5972.0,6040.0,5962.0,6028.0,811074.0
TA2405,2024-01-25,6052.0,6088.0,6008.0,6014.0,1086504.0
TA2405,2024-01-26,6004.0,6094.0,6004.0,6040.0,865249.0
TA2405,2024-01-29,6030.0,6060.0,5992.0,6028.0,805537.0
TA2405,2024-01-30,6028.0,6032.0,5980.0,6014.0,733612.0
TA2405,2024-01-31,6002.0,6022.0,5946.0,5968.0,860752.0
