order_book_id,date,open,high,low,close,volume
SC2403,2024-01-15,576.3,578.6,557.1,559.2,91930.0
SC2403,2024-01-16,550.1,560.6,548.7,560.0,81213.0
SC2403,2024-01-17,563.5,567.6,553.9,556.3,101238.0
SC2403,2024-01-18,549.2,560.7,547.5,560.3,130995.0
SC2403,2024-01-19,558.1,566.8,551.6,566.3,199105.0
SC2403,2024-01-22,562.8,569.0,557.2,559.9,224449.0
SC2403,2024-01-23,562.2,573.3,562.0,570.9,172861.0
SC2403,2024-01-24,567.5,572.0,562.1,569.6,218987.0
SC2403,2024-01-25,567.0,576.8,566.4,572.4,225172.0
SC2403,2024-01-26,574.4,591.1,573.3,588.4,206661.0
SC2403,2024-01-29,587.5,599.5,583.6,596.5,232063.0
SC2403,2024-01-30,594.5,594.8,585.3,586.1,210833.0
SC2403,2024-01-31,580.5,588.8,575.5,585.3,214978.0
