date,underlying_symbol,on_warrant,exchange,effective_forecast,warrant_units,contract_multiplier,deliverable
20240102,NI,11260.0,SHFE,,,,
20240103,NI,11774.0,SHFE,,,,
20240104,NI,11853.0,SHFE,,,,
20240105,NI,11723.0,SHFE,,,,13464.0
20240108,NI,11628.0,SHFE,,,,
20240109,NI,11574.0,SHFE,,,,
20240110,NI,11556.0,SHFE,,,,
20240111,NI,11556.0,SHFE,,,,
20240112,NI,11580.0,SHFE,,,,14193.0
20240115,NI,11893.0,SHFE,,,,
20240116,NI,11350.0,SHFE,,,,
20240117,NI,11249.0,SHFE,,,,
20240118,NI,11208.0,SHFE,,,,
20240119,NI,11154.0,SHFE,,,,14111.0
20240122,NI,11083.0,SHFE,,,,
20240123,NI,11036.0,SHFE,,,,
20240124,NI,11072.0,SHFE,,,,
20240125,NI,11072.0,SHFE,,,,
20240126,NI,10950.0,SHFE,,,,15120.0
20240129,NI,11438.0,SHFE,,,,
20240130,NI,11598.0,SHFE,,,,
20240131,NI,11532.0,SHFE,,,,
