order_book_id,datetime,open,close,volume
CU2403,2024-01-12 21:05:00,68000.0,68050.0,2155.0
CU2403,2024-01-12 21:10:00,68040.0,68080.0,994.0
CU2403,2024-01-12 21:15:00,68070.0,68040.0,915.0
CU2403,2024-01-12 21:20:00,68030.0,67970.0,1288.0
CU2403,2024-01-12 21:25:00,67970.0,67970.0,475.0
CU2403,2024-01-12 21:30:00,67970.0,67950.0,513.0
CU2403,2024-01-12 21:35:00,67970.0,68010.0,1038.0
CU2403,2024-01-12 21:40:00,68020.0,68070.0,651.0
CU2403,2024-01-12 21:45:00,68060.0,68050.0,251.0
CU2403,2024-01-12 21:50:00,68050.0,68010.0,276.0
CU2403,2024-01-12 21:55:00,68010.0,68000.0,313.0
CU2403,2024-01-12 22:00:00,68010.0,67990.0,451.0
CU2403,2024-01-12 22:05:00,68000.0,67990.0,394.0
CU2403,2024-01-12 22:10:00,67980.0,67940.0,476.0
CU2403,2024-01-12 22:15:00,67940.0,67950.0,608.0
CU2403,2024-01-12 22:20:00,67940.0,67950.0,291.0
CU2403,2024-01-12 22:25:00,67950.0,67980.0,166.0
CU2403,2024-01-12 22:30:00,67970.0,68010.0,334.0
CU2403,2024-01-12 22:35:00,68010.0,68030.0,421.0
CU2403,2024-01-12 22:40:00,68030.0,68050.0,186.0
CU2403,2024-01-12 22:45:00,68050.0,68110.0,483.0
CU2403,2024-01-12 22:50:00,68110.0,68100.0,520.0
CU2403,2024-01-12 22:55:00,68100.0,68090.0,183.0
CU2403,2024-01-12 23:00:00,68090.0,68060.0,375.0
CU2403,2024-01-12 23:05:00,68040.0,68010.0,468.0
CU2403,2024-01-12 23:10:00,68010.0,68020.0,142.0
CU2403,2024-01-12 23:15:00,68010.0,68010.0,99.0
CU2403,2024-01-12 23:20:00,68010.0,67950.0,435.0
CU2403,2024-01-12 23:25:00,67960.0,67940.0,326.0
CU2403,2024-01-12 23:30:00,67950.0,67890.0,1285.0
CU2403,2024-01-12 23:35:00,67900.0,67970.0,172.0
CU2403,2024-01-12 23:40:00,67980.0,67870.0,465.0
CU2403,2024-01-12 23:45:00,67870.0,67880.0,388.0
CU2403,2024-01-12 23:50:00,67890.0,67840.0,487.0
