order_book_id,date,open,high,low,close,volume
CF2405,2024-01-15,15570.0,15585.0,15405.0,15435.0,276969.0
CF2405,2024-01-16,15420.0,15600.0,15420.0,15600.0,245035.0
CF2405,2024-01-17,15555.0,15615.0,15535.0,15540.0,181156.0
CF2405,2024-01-18,15555.0,15900.0,15545.0,15890.0,577598.0
CF2405,2024-01-19,15855.0,15950.0,15800.0,15925.0,310875.0
CF2405,2024-01-22,15920.0,16080.0,15860.0,15910.0,459127.0
CF2405,2024-01-23,15970.0,16015.0,15920.0,15955.0,201197.0
CF2405,2024-01-24,15920.0,16010.0,15830.0,15975.0,276741.0
CF2405,2024-01-25,16000.0,16070.0,15965.0,15990.0,221313.0
CF2405,2024-01-26,15960.0,16090.0,15920.0,15980.0,250100.0
CF2405,2024-01-29,15990.0,16170.0,15875.0,16125.0,332043.0
CF2405,2024-01-30,16110.0,16180.0,16025.0,16080.0,312677.0
CF2405,2024-01-31,16075.0,16160.0,15930.0,16085.0,305164.0
