factor,info_date,start_date,end_date,value,rice_create_tm
PPIRM_化工原料类(全国:当期同比增长率:月),2022-01-12,2021-11-30,2021-12-31,20.5,2023-05-06 20:25:46
PPIRM_化工原料类(全国:当期同比增长率:月),2022-02-16,2021-12-31,2022-01-31,17.8694,2023-05-06 20:25:46
PPIRM_化工原料类(全国:当期同比增长率:月),2022-03-09,2022-01-31,2022-02-28,16.8,2023-05-06 20:25:46
PPIRM_化工原料类(全国:当期同比增长率:月),2022-04-11,2022-02-28,2022-03-31,13.3,2023-05-06 20:25:46
PPIRM_化工原料类(全国:当期同比增长率:月),2022-05-11,2022-03-31,2022-04-30,11.7,2023-05-06 20:25:46
PPIRM_化工原料类(全国:当期同比增长率:月),2022-06-10,2022-04-30,2022-05-31,10.5,2023-05-06 20:25:46
PPIRM_化工原料类(全国:当期同比增长率:月),2022-07-09,2022-05-31,2022-06-30,11.2,2023-05-06 20:25:46
PPIRM_化工原料类(全国:当期同比增长率:月),2022-08-10,2022-06-30,2022-07-31,8.9,2023-05-06 20:25:46
PPIRM_化工原料类(全国:当期同比增长率:月),2022-09-09,2022-07-31,2022-08-31,4.5,2023-05-06 20:25:46
PPIRM_化工原料类(全国:当期同比增长率:月),2022-10-14,2022-08-31,2022-09-30,1.6154,2023-05-06 20:25:46
PPIRM_化工原料类(全国:当期同比增长率:月),2022-11-09,2022-09-30,2022-10-31,-2.8,2023-05-06 20:25:46
PPIRM_化工原料类(全国:当期同比增长率:月),2022-12-09,2022-10-31,2022-11-30,-5.4,2023-05-06 20:25:46
PPIRM_化工原料类(全国:当期同比增长率:月),2023-01-12,2022-11-30,2022-12-31,-4.6,2023-05-06 20:25:46
PPIRM_化工原料类(全国:当期同比增长率:月),2023-02-10,2022-12-31,2023-01-31,-4.7,2023-05-06 20:25:46
PPIRM_化工原料类(全国:当期同比增长率:月),2023-03-09,2023-01-31,2023-02-28,-5.4,2023-05-06 20:25:46
PPIRM_化工原料类(全国:当期同比增长率:月),2023-04-11,2023-02-28,2023-03-31,-7.1,2023-05-06 20:25:46
PPIRM_化工原料类(全国:当期同比增长率:月),2023-05-11,2023-03-31,2023-04-30,-9.2,2023-05-11 11:25:17
PPIRM_化工原料类(全国:当期同比增长率:月),2023-06-09,2023-04-30,2023-05-31,-10.6,2023-06-09 11:25:19
PPIRM_化工原料类(全国:当期同比增长率:月),2023-07-10,2023-05-31,2023-06-30,-13.0,2023-07-10 11:25:21
PPIRM_化工原料类(全国:当期同比增长率:月),2023-08-09,2023-06-30,2023-07-31,-13.3,2023-08-09 11:24:52
PPIRM_化工原料类(全国:当期同比增长率:月),2023-09-09,2023-07-31,2023-08-31,-10.4,2023-09-09 11:25:05
PPIRM_化工原料类(全国:当期同比增长率:月),2023-10-13,2023-08-31,2023-09-30,-7.3,2023-10-13 11:25:16
PPIRM_化工原料类(全国:当期同比增长率:月),2023-11-09,2023-09-30,2023-10-31,-6.3,2023-11-09 11:25:09
PPIRM_化工原料类(全国:当期同比增长率:月),2023-12-09,2023-10-31,2023-11-30,-6.3,2023-12-09 11:25:04
