underlying_symbol,date,from_contract,to_contract,yield,annualized_yield,annualized_yield_trading
CF,2024-01-02,CF2405,CF2409,-0.011753494282083832,-0.03605063372235797,-0.0348456536362956
CF,2024-01-03,CF2405,CF2409,-0.01234958834705513,-0.03787898946785817,-0.03661289721715168
CF,2024-01-04,CF2405,CF2409,-0.012295081967213073,-0.03771180603388884,-0.03645130183220817
CF,2024-01-05,CF2405,CF2409,-0.012010113780025256,-0.03683774394713629,-0.035606454971368995
CF,2024-01-08,CF2405,CF2409,-0.011738578680203005,-0.03600488418717729,-0.034801433263660676
CF,2024-01-09,CF2405,CF2409,-0.012480000000000047,-0.0382789915966388,-0.03699952941176485
CF,2024-01-10,CF2405,CF2409,-0.01145767027371103,-0.0351432743689456,-0.03396862245853152
CF,2024-01-11,CF2405,CF2409,-0.011794708320051028,-0.03617704652788761,-0.03496784113709246
CF,2024-01-12,CF2405,CF2409,-0.010790225325293612,-0.03309606927506024,-0.03198984449381165
CF,2024-01-15,CF2405,CF2409,-0.011490584104691948,-0.035244228556408075,-0.03406620228685142
CF,2024-01-16,CF2405,CF2409,-0.011461318051575908,-0.03515446293130426,-0.033979437047025045
CF,2024-01-17,CF2405,CF2409,-0.011114639568116869,-0.03409112136439208,-0.03295163730782884
CF,2024-01-18,CF2405,CF2409,-0.008799497171590231,-0.026990054349835587,-0.026087921026361628
CF,2024-01-19,CF2405,CF2409,-0.007810059356451071,-0.02395522407650959,-0.023154528915596117
CF,2024-01-22,CF2405,CF2409,-0.009302325581395321,-0.028532343169825985,-0.027578659370724953
CF,2024-01-23,CF2405,CF2409,-0.009615384615384581,-0.02949256625727204,-0.02850678733031664
CF,2024-01-24,CF2405,CF2409,-0.00963630711843333,-0.029556740321245088,-0.028568816398178813
CF,2024-01-25,CF2405,CF2409,-0.00927643784786647,-0.02845293961740556,-0.027501909854851184
CF,2024-01-26,CF2405,CF2409,-0.00990099009900991,-0.030368583076795103,-0.029353523587652912
CF,2024-01-29,CF2405,CF2409,-0.00835654596100277,-0.025631422485428667,-0.024774700966737628
CF,2024-01-30,CF2405,CF2409,-0.007398273736128225,-0.02269218414862859,-0.02193370566475662
CF,2024-01-31,CF2405,CF2409,-0.008343634116192877,-0.02559181892781849,-0.02473642114447771
