,0
0,SC2607
1,SC2608
2,SC2609
3,SC2610
4,SC2611
5,SC2612
6,SC2701
7,SC2702
8,SC2703
9,SC2704
10,SC2705
11,SC2706
12,SC2709
13,SC2712
14,SC2803
15,SC2806
16,SC2809
17,SC2812
18,SC2903
19,SC2906
