order_book_id,date,high,prev_close,total_turnover,close,open,volume,low
000016.XSHG,2024-01-02,2316.735,2326.1732,50622406220.0,2292.2286,2316.4348,3137547700.0,2292.2286
000016.XSHG,2024-01-03,2299.6831,2292.2286,44217105083.0,2294.8357,2287.755,2931437500.0,2283.5939
000016.XSHG,2024-01-04,2296.1151,2294.8357,48905527790.0,2279.0361,2293.4576,3212578800.0,2260.3536
000016.XSHG,2024-01-05,2295.6047,2279.03609,51973252609.0,2268.5377,2272.9358,3558937200.0,2256.598
000016.XSHG,2024-01-08,2272.0351,2268.5377,47632268290.0,2243.8422,2265.2418,3150065600.0,2240.5554
000016.XSHG,2024-01-09,2251.5411,2243.8422,48702067011.0,2245.6219,2243.4096,3026932800.0,2234.9149
000016.XSHG,2024-01-10,2257.8543,2245.6219,41868260247.0,2235.2089,2239.0296,2571329800.0,2233.1811
000016.XSHG,2024-01-11,2251.0754,2235.2089,45573502876.0,2240.1061,2234.8184,3052442500.0,2226.2781
000016.XSHG,2024-01-12,2250.7314,2240.1061,39121731359.0,2237.2073,2231.2855,2589377800.0,2229.5887
000016.XSHG,2024-01-15,2256.8001,2237.2073,39317045005.0,2238.5029,2227.3616,2371509500.0,2225.2362
000016.XSHG,2024-01-16,2249.051,2238.5029,46347948335.0,2248.975,2231.8236,2878223700.0,2223.4372
000016.XSHG,2024-01-17,2242.6104,2248.975,51922838367.0,2199.2587,2241.0157,3062829200.0,2199.2587
000016.XSHG,2024-01-18,2242.3256,2199.2587,83092561704.0,2238.4588,2191.8887,5494474100.0,2163.8682
000016.XSHG,2024-01-19,2250.6113,2238.4588,59477638681.0,2243.5396,2227.7329,3586511400.0,2218.1739
000016.XSHG,2024-01-22,2257.5892,2243.5396,70458296774.0,2230.6094,2237.7734,4478620900.0,2206.7644
000016.XSHG,2024-01-23,2239.6539,2230.60939,54006326826.0,2226.3713,2220.4989,3401531100.0,2204.3685
000016.XSHG,2024-01-24,2264.5205,2226.37129,61986777930.0,2260.5575,2238.3319,4419803300.0,2209.507
000016.XSHG,2024-01-25,2314.4959,2260.5575,79432204287.0,2312.8544,2264.0223,6194537700.0,2261.3723
000016.XSHG,2024-01-26,2323.3507,2312.8544,73311459367.0,2314.3741,2303.3217,5831629900.0,2295.9615
000016.XSHG,2024-01-29,2327.3609,2314.3741,77810107284.0,2304.4364,2312.6973,5954904300.0,2304.4364
000016.XSHG,2024-01-30,2303.7181,2304.4364,61237732360.0,2270.9789,2292.2206,4326759800.0,2270.9789
000016.XSHG,2024-01-31,2273.0952,2270.9789,63009280531.0,2254.2994,2261.1181,4292875700.0,2243.9041
