trading_date,commodity_id,rank,member_name,volume,volume_change
2024-01-02,CU,1,东证期货,23121,-17090
2024-01-02,CU,2,中信期货,13583,-13949
2024-01-02,CU,3,国泰君安,8984,-7683
2024-01-02,CU,4,华泰期货,7580,-4267
2024-01-02,CU,5,金瑞期货,6609,-4516
2024-01-02,CU,6,建信期货,5401,3279
2024-01-02,CU,7,方正中期,3122,-1973
2024-01-02,CU,8,五矿期货,3028,-937
2024-01-02,CU,9,银河期货,2782,-5126
2024-01-02,CU,10,光大期货,2615,-2285
2024-01-02,CU,11,海通期货,2447,-6150
2024-01-02,CU,12,国信期货,2366,-2444
2024-01-02,CU,13,国投安信,2327,-1637
2024-01-02,CU,14,东亚期货,2241,-1107
2024-01-02,CU,15,国贸期货,2103,-1719
2024-01-02,CU,16,紫金天风,2056,589
2024-01-02,CU,17,永安期货,1396,-107
2024-01-02,CU,18,铜冠金源,1244,-368
2024-01-02,CU,19,创元期货,1172,116
2024-01-02,CU,20,广州期货,1068,-294
