underlying_symbol,date,exchange,contract_multiplier
SC,2024-01-15,INE,1000.0
SC,2024-01-16,INE,1000.0
SC,2024-01-17,INE,1000.0
SC,2024-01-18,INE,1000.0
SC,2024-01-19,INE,1000.0
