underlying_symbol,date,exchange,contract_multiplier
TF,2024-01-15,CFFEX,10000.0
TF,2024-01-16,CFFEX,10000.0
TF,2024-01-17,CFFEX,10000.0
TF,2024-01-18,CFFEX,10000.0
TF,2024-01-19,CFFEX,10000.0
