order_book_id,date,open,close,high,low,total_turnover,volume,settlement,prev_settlement,open_interest
CU2403,2024-01-02,68790.0,68940.0,69050.0,68630.0,6608731400.0,19205.0,68820.0,68960.0,112527.0
CU2403,2024-01-03,68670.0,68630.0,68860.0,68500.0,10252408650.0,29874.0,68630.0,68820.0,115446.0
CU2403,2024-01-04,68330.0,68430.0,68750.0,68250.0,11490143700.0,33559.0,68470.0,68630.0,116310.0
CU2403,2024-01-05,68250.0,68410.0,68620.0,68170.0,9934773300.0,29057.0,68380.0,68470.0,116465.0
CU2403,2024-01-08,68280.0,68300.0,68580.0,68100.0,14386313650.0,42134.0,68280.0,68380.0,116030.0
CU2403,2024-01-09,68080.0,68220.0,68450.0,67940.0,11916518650.0,34941.0,68200.0,68280.0,120337.0
CU2403,2024-01-10,68010.0,67750.0,68200.0,67720.0,17315695500.0,50986.0,67920.0,68200.0,128129.0
