order_book_id,date,high,prev_close,total_turnover,close,open,volume,low
801950.INDX,2024-01-02,2888.15,2782.24,13780007859.0,2875.999,2781.758,1687039829.0,2781.758
801950.INDX,2024-01-03,2927.57,2875.999,12283234241.0,2916.134,2868.437,1551497111.0,2867.63
801950.INDX,2024-01-04,2954.59,2916.134,12551185391.0,2944.735,2919.501,1529541750.0,2914.52
801950.INDX,2024-01-05,2970.89,2944.735,11598765488.0,2937.699,2940.366,1359029509.0,2926.85
801950.INDX,2024-01-08,2938.72,2937.699,10169472208.0,2922.74,2928.724,1125585374.0,2907.76
801950.INDX,2024-01-09,2969.11,2922.74,9624162254.0,2954.129,2911.661,1163284334.0,2899.45
801950.INDX,2024-01-10,2973.05,2954.129,8241894543.0,2928.49,2950.477,971988570.0,2924.39
801950.INDX,2024-01-11,2923.38,2928.49,9637329212.0,2886.464,2923.38,1106198995.0,2875.28
801950.INDX,2024-01-12,2912.59,2886.464,7099920610.0,2903.686,2883.982,978913156.0,2883.98
801950.INDX,2024-01-15,2919.76,2903.686,8275491662.0,2917.156,2886.714,870508355.0,2886.71
801950.INDX,2024-01-16,2925.04,2917.156,7568627773.0,2916.978,2908.703,967293922.0,2890.72
801950.INDX,2024-01-17,2930.21,2916.978,7611037529.0,2880.68,2913.534,940905177.0,2880.68
801950.INDX,2024-01-18,2871.39,2880.68,10712044250.0,2866.786,2870.875,1352844823.0,2784.71
801950.INDX,2024-01-19,2858.507,2866.786,8256775071.0,2813.085,2858.507,842259247.0,2799.13
801950.INDX,2024-01-22,2807.893,2813.085,8610328060.0,2740.082,2807.893,1131373270.0,2723.56
801950.INDX,2024-01-23,2810.28,2740.082,7805678127.0,2797.339,2732.321,984137121.0,2727.5
801950.INDX,2024-01-24,2867.83,2797.339,8586613006.0,2862.514,2801.59,1096291487.0,2796.44
801950.INDX,2024-01-25,2955.09,2862.514,11688019969.0,2955.09,2877.42,1381450696.0,2877.42
801950.INDX,2024-01-26,2991.64,2955.09,10084011205.0,2988.108,2941.641,1262092449.0,2941.64
801950.INDX,2024-01-29,3001.31,2988.108,9340548340.0,2975.964,2992.982,1095280606.0,2966.17
801950.INDX,2024-01-30,2989.32,2975.964,7796393926.0,2949.262,2967.783,934733542.0,2935.73
801950.INDX,2024-01-31,3002.68,2949.262,10086301324.0,2967.676,2931.465,1166470281.0,2931.465
