factor,info_date,start_date,end_date,value,rice_create_tm
制造业采购经理指数PMI_当月,2022-01-30,2022-01-01,2022-01-31,50.1,2023-05-06 20:25:46
制造业采购经理指数PMI_当月,2022-03-01,2022-02-01,2022-02-28,50.2,2023-05-06 20:25:46
制造业采购经理指数PMI_当月,2022-03-31,2022-03-01,2022-03-31,49.5,2023-05-06 20:25:46
制造业采购经理指数PMI_当月,2022-04-30,2022-04-01,2022-04-30,47.4,2023-05-06 20:25:46
制造业采购经理指数PMI_当月,2022-05-31,2022-05-01,2022-05-31,49.6,2023-05-06 20:25:46
制造业采购经理指数PMI_当月,2022-06-30,2022-06-01,2022-06-30,50.2,2023-05-06 20:25:46
制造业采购经理指数PMI_当月,2022-07-31,2022-07-01,2022-07-31,49.0,2023-05-06 20:25:46
制造业采购经理指数PMI_当月,2022-08-31,2022-08-01,2022-08-31,49.4,2023-05-06 20:25:46
制造业采购经理指数PMI_当月,2022-09-30,2022-09-01,2022-09-30,50.1,2023-05-06 20:25:46
制造业采购经理指数PMI_当月,2022-10-31,2022-10-01,2022-10-31,49.2,2023-05-06 20:25:46
制造业采购经理指数PMI_当月,2022-11-30,2022-11-01,2022-11-30,48.0,2023-05-06 20:25:46
制造业采购经理指数PMI_当月,2022-12-31,2022-12-01,2022-12-31,47.0,2023-05-06 20:25:46
制造业采购经理指数PMI_当月,2023-01-31,2023-01-01,2023-01-31,50.1,2023-05-06 20:25:46
制造业采购经理指数PMI_当月,2023-03-01,2023-02-01,2023-02-28,52.6,2023-05-06 20:25:46
制造业采购经理指数PMI_当月,2023-03-31,2023-03-01,2023-03-31,51.9,2023-05-06 20:25:46
制造业采购经理指数PMI_当月,2023-04-30,2023-04-01,2023-04-30,49.2,2023-05-06 20:25:46
制造业采购经理指数PMI_当月,2023-05-31,2023-05-01,2023-05-31,48.8,2023-05-31 11:25:21
制造业采购经理指数PMI_当月,2023-06-30,2023-06-01,2023-06-30,49.0,2023-06-30 11:25:20
制造业采购经理指数PMI_当月,2023-07-31,2023-07-01,2023-07-31,49.3,2023-07-31 11:25:28
制造业采购经理指数PMI_当月,2023-08-31,2023-08-01,2023-08-31,49.7,2023-08-31 11:25:18
制造业采购经理指数PMI_当月,2023-09-30,2023-09-01,2023-09-30,50.2,2023-09-30 11:25:03
制造业采购经理指数PMI_当月,2023-10-31,2023-10-01,2023-10-31,49.5,2023-10-31 11:25:07
制造业采购经理指数PMI_当月,2023-11-30,2023-11-01,2023-11-30,49.4,2023-11-30 11:25:11
制造业采购经理指数PMI_当月,2023-12-31,2023-12-01,2023-12-31,49.0,2023-12-31 14:44:04
