underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open
TA,2024-01-02,TA2405,6070.0,6068.0,6172.0,6056.0,0,773272.0,6062.0,6104.0,6056.0,1519497.0,6412.0,5700.0,6070.0
TA,2024-01-03,TA2405,6066.0,6004.0,6108.0,5976.0,0,1040676.0,6068.0,6032.0,6104.0,1505170.0,6464.0,5744.0,6016.0
TA,2024-01-04,TA2405,6016.0,6022.0,6090.0,6004.0,0,872979.0,6004.0,6038.0,6032.0,1488685.0,6388.0,5676.0,6042.0
TA,2024-01-05,TA2405,6024.0,6026.0,6054.0,5964.0,0,803329.0,6022.0,6014.0,6038.0,1462410.0,6394.0,5682.0,5998.0
TA,2024-01-08,TA2405,6016.0,5902.0,6078.0,5892.0,0,1347147.0,6026.0,5976.0,6014.0,1397770.0,6368.0,5660.0,6068.0
TA,2024-01-09,TA2405,5890.0,5840.0,5900.0,5832.0,0,845084.0,5902.0,5866.0,5976.0,1337021.0,6328.0,5624.0,5874.0
TA,2024-01-10,TA2405,5874.0,5870.0,5902.0,5854.0,0,819594.0,5840.0,5874.0,5866.0,1232837.0,6212.0,5520.0,5864.0
TA,2024-01-11,TA2405,5876.0,5860.0,5892.0,5816.0,0,863224.0,5870.0,5854.0,5874.0,1201756.0,6220.0,5528.0,5840.0
TA,2024-01-12,TA2405,5882.0,5904.0,5944.0,5862.0,0,847216.0,5860.0,5900.0,5854.0,1149357.0,6198.0,5510.0,5876.0
TA,2024-01-15,TA2405,5936.0,5890.0,5948.0,5872.0,0,824381.0,5904.0,5912.0,5900.0,1133777.0,6248.0,5552.0,5896.0
TA,2024-01-16,TA2405,5874.0,5954.0,5972.0,5864.0,0,760638.0,5890.0,5932.0,5912.0,1111400.0,6260.0,5564.0,5934.0
TA,2024-01-17,TA2405,5966.0,5940.0,5976.0,5926.0,0,687880.0,5954.0,5950.0,5932.0,1074854.0,6282.0,5582.0,5944.0
TA,2024-01-18,TA2405,5922.0,5970.0,6004.0,5914.0,0,1193122.0,5940.0,5966.0,5950.0,1079688.0,6300.0,5600.0,5986.0
TA,2024-01-19,TA2405,5972.0,6024.0,6030.0,5962.0,0,775737.0,5970.0,5996.0,5966.0,1118264.0,6318.0,5614.0,5986.0
TA,2024-01-22,TA2405,6014.0,6054.0,6076.0,5998.0,0,753524.0,6024.0,6038.0,5996.0,1157104.0,6350.0,5642.0,6004.0
TA,2024-01-23,TA2405,6056.0,6108.0,6112.0,6026.0,0,692857.0,6054.0,6068.0,6038.0,1180427.0,6394.0,5682.0,6054.0
TA,2024-01-24,TA2405,6098.0,6154.0,6166.0,6088.0,0,811074.0,6108.0,6120.0,6068.0,1256411.0,6426.0,5710.0,6098.0
TA,2024-01-25,TA2405,6178.0,6140.0,6214.0,6134.0,0,1086504.0,6154.0,6164.0,6120.0,1292836.0,6480.0,5760.0,6154.0
TA,2024-01-26,TA2405,6130.0,6166.0,6220.0,6130.0,0,865249.0,6140.0,6174.0,6164.0,1323375.0,6528.0,5800.0,6186.0
TA,2024-01-29,TA2405,6156.0,6154.0,6186.0,6118.0,0,805537.0,6166.0,6158.0,6174.0,1316407.0,6538.0,5810.0,6172.0
TA,2024-01-30,TA2405,6154.0,6140.0,6158.0,6106.0,0,733612.0,6154.0,6130.0,6158.0,1333799.0,6520.0,5796.0,6118.0
TA,2024-01-31,TA2405,6128.0,6094.0,6148.0,6072.0,0,860752.0,6140.0,6102.0,6130.0,1304599.0,6492.0,5768.0,6118.0
