date,underlying_symbol,on_warrant,exchange,effective_forecast,warrant_units,contract_multiplier,deliverable
20240102,RU,165720.0,SHFE,,,,
20240103,RU,168420.0,SHFE,,,,
20240104,RU,168420.0,SHFE,,,,
20240105,RU,168420.0,SHFE,,,,191014.0
20240108,RU,169220.0,SHFE,,,,
20240109,RU,171820.0,SHFE,,,,
20240110,RU,175100.0,SHFE,,,,
20240111,RU,177870.0,SHFE,,,,
20240112,RU,178370.0,SHFE,,,,194377.0
20240115,RU,178430.0,SHFE,,,,
20240116,RU,178390.0,SHFE,,,,
20240117,RU,178160.0,SHFE,,,,
20240118,RU,184060.0,SHFE,,,,
20240119,RU,185750.0,SHFE,,,,204024.0
20240122,RU,191570.0,SHFE,,,,
20240123,RU,191550.0,SHFE,,,,
20240124,RU,191160.0,SHFE,,,,
20240125,RU,190940.0,SHFE,,,,
20240126,RU,190760.0,SHFE,,,,207851.0
20240129,RU,190310.0,SHFE,,,,
20240130,RU,193050.0,SHFE,,,,
20240131,RU,196840.0,SHFE,,,,
