date,underlying_symbol,on_warrant,exchange,effective_forecast,warrant_units,contract_multiplier,deliverable
20240102,SN,6075.0,SHFE,,,,
20240103,SN,6029.0,SHFE,,,,
20240104,SN,6113.0,SHFE,,,,
20240105,SN,6098.0,SHFE,,,,6402.0
20240108,SN,6121.0,SHFE,,,,
20240109,SN,5988.0,SHFE,,,,
20240110,SN,5921.0,SHFE,,,,
20240111,SN,5921.0,SHFE,,,,
20240112,SN,6014.0,SHFE,,,,6311.0
20240115,SN,6079.0,SHFE,,,,
20240116,SN,6090.0,SHFE,,,,
20240117,SN,6139.0,SHFE,,,,
20240118,SN,6241.0,SHFE,,,,
20240119,SN,6473.0,SHFE,,,,6584.0
20240122,SN,6732.0,SHFE,,,,
20240123,SN,7080.0,SHFE,,,,
20240124,SN,7339.0,SHFE,,,,
20240125,SN,7575.0,SHFE,,,,
20240126,SN,8010.0,SHFE,,,,8148.0
20240129,SN,8102.0,SHFE,,,,
20240130,SN,8204.0,SHFE,,,,
20240131,SN,8258.0,SHFE,,,,
