underlying_symbol,date,exchange,contract_multiplier
C,2024-01-15,DCE,10.0
C,2024-01-16,DCE,10.0
C,2024-01-17,DCE,10.0
C,2024-01-18,DCE,10.0
C,2024-01-19,DCE,10.0
