order_book_id,datetime,trading_date,open,last,high,low,prev_settlement,prev_close,volume,open_interest,total_turnover,limit_up,limit_down,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5,a1_v,a2_v,a3_v,a4_v,a5_v,b1_v,b2_v,b3_v,b4_v,b5_v,change_rate
CU2403,2024-01-12 20:59:00.500,2024-01-15,68000.0,68000.0,68000.0,68000.0,68070.0,68160.0,260.0,137808.0,88400000.0,72150.0,63980.0,68050.0,68060.0,68070.0,68080.0,68090.0,68000.0,67990.0,67980.0,67970.0,67960.0,13.0,5.0,92.0,3.0,1.0,8.0,21.0,33.0,4.0,3.0,-0.0010283531658586975
CU2403,2024-01-12 21:00:00.500,2024-01-15,68000.0,68050.0,68050.0,68000.0,68070.0,68160.0,282.0,137797.0,95883750.0,72150.0,63980.0,68060.0,68070.0,68080.0,68090.0,68100.0,68010.0,68000.0,67990.0,67980.0,67970.0,5.0,96.0,4.0,1.0,9.0,14.0,43.0,12.0,35.0,3.0,-0.00029381519024529457
CU2403,2024-01-12 21:00:01.000,2024-01-15,68000.0,68010.0,68060.0,68000.0,68070.0,68160.0,322.0,137783.0,109488250.0,72150.0,63980.0,68030.0,68050.0,68060.0,68070.0,68080.0,68010.0,68000.0,67990.0,67980.0,67970.0,10.0,6.0,9.0,96.0,5.0,13.0,53.0,14.0,36.0,3.0,-0.0008814455707359947
CU2403,2024-01-12 21:00:01.500,2024-01-15,68000.0,68010.0,68060.0,68000.0,68070.0,68160.0,344.0,137780.0,116971150.0,72150.0,63980.0,68020.0,68030.0,68040.0,68050.0,68060.0,68010.0,68000.0,67990.0,67980.0,67970.0,1.0,1.0,2.0,6.0,19.0,31.0,62.0,14.0,34.0,3.0,-0.0008814455707359947
CU2403,2024-01-12 21:00:02.000,2024-01-15,68000.0,68010.0,68060.0,68000.0,68070.0,68160.0,352.0,137776.0,119691750.0,72150.0,63980.0,68030.0,68050.0,68060.0,68070.0,68080.0,68010.0,68000.0,67990.0,67980.0,67970.0,1.0,7.0,15.0,96.0,7.0,31.0,65.0,14.0,32.0,3.0,-0.0008814455707359947
CU2403,2024-01-12 21:00:02.500,2024-01-15,68000.0,68030.0,68060.0,68000.0,68070.0,68160.0,361.0,137776.0,122753100.0,72150.0,63980.0,68050.0,68060.0,68070.0,68080.0,68090.0,68040.0,68030.0,68020.0,68010.0,68000.0,5.0,15.0,95.0,6.0,1.0,2.0,7.0,1.0,42.0,66.0,-0.0005876303804907002
CU2403,2024-01-12 21:00:03.000,2024-01-15,68000.0,68040.0,68060.0,68000.0,68070.0,68160.0,369.0,137775.0,125474650.0,72150.0,63980.0,68050.0,68060.0,68070.0,68080.0,68090.0,68030.0,68020.0,68010.0,68000.0,67990.0,7.0,8.0,95.0,8.0,1.0,13.0,5.0,31.0,77.0,13.0,-0.00044072278536799736
CU2403,2024-01-12 21:00:03.500,2024-01-15,68000.0,68050.0,68060.0,68000.0,68070.0,68160.0,390.0,137778.0,132619950.0,72150.0,63980.0,68050.0,68060.0,68070.0,68080.0,68090.0,68030.0,68020.0,68010.0,68000.0,67990.0,4.0,7.0,95.0,8.0,1.0,17.0,5.0,28.0,77.0,14.0,-0.00029381519024529457
CU2403,2024-01-12 21:00:04.000,2024-01-15,68000.0,68040.0,68060.0,68000.0,68070.0,68160.0,397.0,137779.0,135001550.0,72150.0,63980.0,68050.0,68060.0,68070.0,68080.0,68090.0,68030.0,68020.0,68010.0,68000.0,67990.0,1.0,11.0,95.0,9.0,1.0,16.0,5.0,45.0,87.0,14.0,-0.00044072278536799736
CU2403,2024-01-12 21:00:04.500,2024-01-15,68000.0,68030.0,68060.0,68000.0,68070.0,68160.0,404.0,137777.0,137383100.0,72150.0,63980.0,68040.0,68060.0,68070.0,68080.0,68090.0,68030.0,68020.0,68010.0,68000.0,67990.0,1.0,11.0,91.0,9.0,1.0,18.0,2.0,45.0,67.0,14.0,-0.0005876303804907002
CU2403,2024-01-12 21:00:05.000,2024-01-15,68000.0,68040.0,68060.0,68000.0,68070.0,68160.0,411.0,137777.0,139764800.0,72150.0,63980.0,68060.0,68070.0,68080.0,68090.0,68100.0,68030.0,68020.0,68010.0,68000.0,67990.0,9.0,91.0,9.0,1.0,6.0,14.0,5.0,45.0,67.0,14.0,-0.00044072278536799736
CU2403,2024-01-12 21:00:05.500,2024-01-15,68000.0,68050.0,68060.0,68000.0,68070.0,68160.0,414.0,137775.0,140785450.0,72150.0,63980.0,68050.0,68060.0,68070.0,68080.0,68100.0,68040.0,68030.0,68020.0,68010.0,68000.0,6.0,10.0,92.0,9.0,6.0,4.0,14.0,6.0,45.0,67.0,-0.00029381519024529457
CU2403,2024-01-12 21:00:06.000,2024-01-15,68000.0,68050.0,68060.0,68000.0,68070.0,68160.0,431.0,137774.0,146569400.0,72150.0,63980.0,68050.0,68060.0,68070.0,68080.0,68090.0,68040.0,68030.0,68020.0,68010.0,68000.0,1.0,26.0,92.0,9.0,1.0,8.0,15.0,7.0,44.0,67.0,-0.00029381519024529457
CU2403,2024-01-12 21:00:06.500,2024-01-15,68000.0,68030.0,68060.0,68000.0,68070.0,68160.0,453.0,137773.0,154053900.0,72150.0,63980.0,68040.0,68050.0,68060.0,68070.0,68080.0,68030.0,68020.0,68010.0,68000.0,67990.0,7.0,6.0,24.0,92.0,9.0,13.0,7.0,44.0,67.0,14.0,-0.0005876303804907002
CU2403,2024-01-12 21:00:07.000,2024-01-15,68000.0,68030.0,68060.0,68000.0,68070.0,68160.0,460.0,137773.0,156435150.0,72150.0,63980.0,68040.0,68050.0,68060.0,68070.0,68080.0,68030.0,68020.0,68010.0,68000.0,67990.0,12.0,5.0,28.0,92.0,9.0,13.0,4.0,43.0,67.0,14.0,-0.0005876303804907002
CU2403,2024-01-12 21:00:07.500,2024-01-15,68000.0,68030.0,68060.0,68000.0,68070.0,68160.0,467.0,137776.0,158816400.0,72150.0,63980.0,68040.0,68050.0,68060.0,68070.0,68080.0,68030.0,68020.0,68010.0,68000.0,67990.0,15.0,9.0,28.0,92.0,9.0,12.0,2.0,43.0,66.0,14.0,-0.0005876303804907002
CU2403,2024-01-12 21:00:08.000,2024-01-15,68000.0,68030.0,68060.0,68000.0,68070.0,68160.0,487.0,137768.0,165619400.0,72150.0,63980.0,68030.0,68040.0,68050.0,68060.0,68070.0,68020.0,68010.0,68000.0,67990.0,67980.0,27.0,45.0,4.0,14.0,93.0,6.0,42.0,65.0,14.0,33.0,-0.0005876303804907002
CU2403,2024-01-12 21:00:08.500,2024-01-15,68000.0,68030.0,68060.0,68000.0,68070.0,68160.0,510.0,137756.0,173442800.0,72150.0,63980.0,68030.0,68040.0,68050.0,68060.0,68070.0,68020.0,68010.0,68000.0,67990.0,67980.0,5.0,18.0,4.0,15.0,92.0,10.0,44.0,69.0,17.0,33.0,-0.0005876303804907002
CU2403,2024-01-12 21:00:09.000,2024-01-15,68000.0,68040.0,68060.0,68000.0,68070.0,68160.0,517.0,137754.0,175823900.0,72150.0,63980.0,68040.0,68050.0,68060.0,68070.0,68080.0,68020.0,68010.0,68000.0,67990.0,67980.0,16.0,6.0,14.0,92.0,9.0,13.0,44.0,69.0,17.0,33.0,-0.00044072278536799736
CU2403,2024-01-12 21:00:09.500,2024-01-15,68000.0,68030.0,68060.0,68000.0,68070.0,68160.0,518.0,137754.0,176164050.0,72150.0,63980.0,68040.0,68050.0,68060.0,68070.0,68080.0,68020.0,68010.0,68000.0,67990.0,67980.0,10.0,6.0,14.0,92.0,9.0,15.0,43.0,69.0,17.0,33.0,-0.0005876303804907002
CU2403,2024-01-12 21:00:10.000,2024-01-15,68000.0,68040.0,68060.0,68000.0,68070.0,68160.0,521.0,137754.0,177184600.0,72150.0,63980.0,68040.0,68050.0,68060.0,68070.0,68080.0,68020.0,68010.0,68000.0,67990.0,67980.0,8.0,6.0,14.0,92.0,9.0,15.0,43.0,70.0,17.0,33.0,-0.00044072278536799736
CU2403,2024-01-12 21:00:10.500,2024-01-15,68000.0,68040.0,68060.0,68000.0,68070.0,68160.0,528.0,137758.0,179566000.0,72150.0,63980.0,68040.0,68050.0,68060.0,68070.0,68080.0,68030.0,68020.0,68010.0,68000.0,67990.0,1.0,6.0,14.0,92.0,9.0,5.0,18.0,43.0,71.0,17.0,-0.00044072278536799736
CU2403,2024-01-12 21:00:11.000,2024-01-15,68000.0,68030.0,68060.0,68000.0,68070.0,68160.0,531.0,137760.0,180586450.0,72150.0,63980.0,68040.0,68050.0,68060.0,68070.0,68080.0,68030.0,68020.0,68010.0,68000.0,67990.0,34.0,6.0,14.0,93.0,10.0,8.0,18.0,43.0,70.0,17.0,-0.0005876303804907002
CU2403,2024-01-12 21:00:11.500,2024-01-15,68000.0,68030.0,68060.0,68000.0,68070.0,68160.0,534.0,137759.0,181606900.0,72150.0,63980.0,68040.0,68050.0,68060.0,68070.0,68080.0,68030.0,68020.0,68010.0,68000.0,67990.0,40.0,6.0,15.0,93.0,10.0,3.0,18.0,43.0,69.0,17.0,-0.0005876303804907002
CU2403,2024-01-12 21:00:12.000,2024-01-15,68000.0,68040.0,68060.0,68000.0,68070.0,68160.0,550.0,137754.0,187049300.0,72150.0,63980.0,68040.0,68050.0,68060.0,68070.0,68080.0,68020.0,68010.0,68000.0,67990.0,67980.0,37.0,6.0,14.0,93.0,10.0,15.0,43.0,60.0,17.0,33.0,-0.00044072278536799736
CU2403,2024-01-12 21:00:12.500,2024-01-15,68000.0,68020.0,68060.0,68000.0,68070.0,68160.0,554.0,137753.0,188409950.0,72150.0,63980.0,68030.0,68040.0,68050.0,68060.0,68070.0,68020.0,68010.0,68000.0,67990.0,67980.0,1.0,44.0,6.0,14.0,93.0,15.0,43.0,60.0,17.0,33.0,-0.0007345379756132919
CU2403,2024-01-12 21:00:13.000,2024-01-15,68000.0,68020.0,68060.0,68000.0,68070.0,68160.0,554.0,137753.0,188409950.0,72150.0,63980.0,68030.0,68040.0,68050.0,68060.0,68070.0,68020.0,68010.0,68000.0,67990.0,67980.0,1.0,43.0,6.0,14.0,93.0,16.0,93.0,61.0,17.0,33.0,-0.0007345379756132919
