factor,info_date,start_date,end_date,value,rice_create_tm
工业品出厂价格指数PPI_当月同比_(上年同月=100),2023-01-12,2022-12-01,2022-12-31,99.3,2023-05-06 20:25:46
工业品出厂价格指数PPI_当月同比_(上年同月=100),2023-02-10,2023-01-01,2023-01-31,99.2,2023-05-06 20:25:46
工业品出厂价格指数PPI_当月同比_(上年同月=100),2023-03-09,2023-02-01,2023-02-28,98.6,2023-05-06 20:25:46
工业品出厂价格指数PPI_当月同比_(上年同月=100),2023-04-11,2023-03-01,2023-03-31,97.5,2023-05-06 20:25:46
工业品出厂价格指数PPI_当月同比_(上年同月=100),2023-05-11,2023-04-01,2023-04-30,96.4,2023-05-11 11:25:17
工业品出厂价格指数PPI_当月同比_(上年同月=100),2023-06-09,2023-05-01,2023-05-31,95.4,2023-06-09 11:25:19
工业品出厂价格指数PPI_当月同比_(上年同月=100),2023-07-10,2023-06-01,2023-06-30,94.6,2023-07-10 11:25:21
工业品出厂价格指数PPI_当月同比_(上年同月=100),2023-08-09,2023-07-01,2023-07-31,95.6,2023-08-09 11:24:52
工业品出厂价格指数PPI_当月同比_(上年同月=100),2023-09-09,2023-08-01,2023-08-31,97.0,2023-09-09 11:25:05
工业品出厂价格指数PPI_当月同比_(上年同月=100),2023-10-13,2023-09-01,2023-09-30,97.5,2023-10-13 11:25:16
工业品出厂价格指数PPI_当月同比_(上年同月=100),2023-11-09,2023-10-01,2023-10-31,97.4,2023-11-09 11:25:09
工业品出厂价格指数PPI_当月同比_(上年同月=100),2023-12-09,2023-11-01,2023-11-30,97.0,2023-12-09 11:25:04
