date,currency_pair,bid_referrence_rate,ask_referrence_rate,middle_referrence_rate,bid_settlement_rate_sh,ask_settlement_rate_sh,bid_settlement_rate_sz,ask_settlement_rate_sz
2024-01-02,HKDAUD,,,0.1876,,,,
2024-01-02,HKDCAD,,,0.1696,,,,
2024-01-02,HKDCNY,0.8851,0.9399,0.9129,0.91228,0.91272,0.91235,0.91265
2024-01-02,HKDEUR,,,0.116,,,,
2024-01-02,HKDGBP,,,0.1005,,,,
2024-01-02,HKDJPY,,,18.1225,,,,
2024-01-02,HKDMYR,,,0.5884,,,,
2024-01-02,HKDSGD,,,0.1691,,,,
2024-01-02,HKDTHB,,,4.386,,,,
2024-01-02,HKDTWD,,,3.8358,,,,
2024-01-02,HKDUSD,,,0.128,,,,
2024-01-03,HKDAUD,,,0.1891,,,,
2024-01-03,HKDCAD,,,0.1706,,,,
2024-01-03,HKDCNY,0.8862,0.941,0.9144,0.91288,0.91432,0.91307,0.91413
2024-01-03,HKDEUR,,,0.1168,,,,
2024-01-03,HKDGBP,,,0.1013,,,,
2024-01-03,HKDJPY,,,18.1868,,,,
2024-01-03,HKDMYR,,,0.5926,,,,
2024-01-03,HKDSGD,,,0.1697,,,,
2024-01-03,HKDTHB,,,4.3754,,,,
2024-01-03,HKDTWD,,,3.8565,,,,
2024-01-03,HKDUSD,,,0.128,,,,
2024-01-04,HKDAUD,,,0.1896,,,,
2024-01-04,HKDCAD,,,0.1707,,,,
2024-01-04,HKDCNY,0.8882,0.9432,0.9169,0.91546,0.91594,0.91563,0.91577
2024-01-04,HKDEUR,,,0.1171,,,,
2024-01-04,HKDGBP,,,0.101,,,,
2024-01-04,HKDJPY,,,18.3942,,,,
2024-01-04,HKDMYR,,,0.594,,,,
2024-01-04,HKDSGD,,,0.1702,,,,
2024-01-04,HKDTHB,,,4.4092,,,,
2024-01-04,HKDTWD,,,3.8775,,,,
2024-01-04,HKDUSD,,,0.1281,,,,
2024-01-05,HKDAUD,,,0.1912,,,,
2024-01-05,HKDCAD,,,0.1712,,,,
2024-01-05,HKDCNY,0.8896,0.9446,0.9185,0.91699,0.91721,0.91706,0.91714
2024-01-05,HKDEUR,,,0.1172,,,,
2024-01-05,HKDGBP,,,0.1011,,,,
2024-01-05,HKDJPY,,,18.5891,,,,
2024-01-05,HKDMYR,,,0.5955,,,,
2024-01-05,HKDSGD,,,0.1704,,,,
2024-01-05,HKDTHB,,,4.4189,,,,
2024-01-05,HKDTWD,,,3.8775,,,,
2024-01-05,HKDUSD,,,0.128,,,,
2024-01-06,HKDAUD,,,0.1906,,,,
2024-01-06,HKDCAD,,,0.1711,,,,
2024-01-06,HKDCNY,,,0.9171,,,,
2024-01-06,HKDEUR,,,0.117,,,,
2024-01-06,HKDGBP,,,0.1006,,,,
2024-01-06,HKDJPY,,,18.5151,,,,
2024-01-06,HKDMYR,,,0.5958,,,,
2024-01-06,HKDSGD,,,0.1702,,,,
2024-01-06,HKDTHB,,,4.4366,,,,
2024-01-06,HKDTWD,,,3.882,,,,
2024-01-06,HKDUSD,,,0.128,,,,
2024-01-08,HKDAUD,,,0.1909,,,,
2024-01-08,HKDCAD,,,0.1712,,,,
2024-01-08,HKDCNY,0.8903,0.9453,0.9179,0.9178,0.9178,0.91784,0.91776
2024-01-08,HKDEUR,,,0.117,,,,
2024-01-08,HKDGBP,,,0.1007,,,,
2024-01-08,HKDJPY,,,18.4655,,,,
2024-01-08,HKDMYR,,,0.5955,,,,
2024-01-08,HKDSGD,,,0.1703,,,,
2024-01-08,HKDTHB,,,4.4336,,,,
2024-01-08,HKDTWD,,,3.8775,,,,
2024-01-08,HKDUSD,,,0.1281,,,,
2024-01-09,HKDAUD,,,0.1911,,,,
2024-01-09,HKDCAD,,,0.1711,,,,
2024-01-09,HKDCNY,0.8908,0.9458,0.9179,0.91819,0.91841,0.91807,0.91853
2024-01-09,HKDEUR,,,0.1169,,,,
2024-01-09,HKDGBP,,,0.1005,,,,
2024-01-09,HKDJPY,,,18.4485,,,,
2024-01-09,HKDMYR,,,0.5948,,,,
2024-01-09,HKDSGD,,,0.1701,,,,
2024-01-09,HKDTHB,,,4.4307,,,,
2024-01-09,HKDTWD,,,3.864,,,,
2024-01-09,HKDUSD,,,0.128,,,,
2024-01-10,HKDAUD,,,0.1911,,,,
2024-01-10,HKDCAD,,,0.1713,,,,
2024-01-10,HKDCNY,0.8902,0.9452,0.9189,0.91753,0.91787,0.91757,0.91783
2024-01-10,HKDEUR,,,0.117,,,,
2024-01-10,HKDGBP,,,0.1008,,,,
2024-01-10,HKDJPY,,,18.5529,,,,
2024-01-10,HKDMYR,,,0.595,,,,
2024-01-10,HKDSGD,,,0.1704,,,,
2024-01-10,HKDTHB,,,4.4663,,,,
2024-01-10,HKDTWD,,,3.879,,,,
2024-01-10,HKDUSD,,,0.1279,,,,
