factor,info_date,start_date,end_date,value,rice_create_tm
居民消费价格指数CPI_当月同比(上年同月=100),2022-01-12,2021-12-01,2021-12-31,101.5,2023-05-06 20:25:46
居民消费价格指数CPI_当月同比(上年同月=100),2022-02-16,2022-01-01,2022-01-31,100.9,2023-05-06 20:25:46
居民消费价格指数CPI_当月同比(上年同月=100),2022-03-09,2022-02-01,2022-02-28,100.9,2023-05-06 20:25:46
居民消费价格指数CPI_当月同比(上年同月=100),2022-04-11,2022-03-01,2022-03-31,101.5,2023-05-06 20:25:46
居民消费价格指数CPI_当月同比(上年同月=100),2022-05-11,2022-04-01,2022-04-30,102.1,2022-12-22 20:25:01
居民消费价格指数CPI_当月同比(上年同月=100),2022-06-10,2022-05-01,2022-05-31,102.1,2023-05-06 20:25:46
居民消费价格指数CPI_当月同比(上年同月=100),2022-07-09,2022-06-01,2022-06-30,102.5,2023-05-06 20:25:46
居民消费价格指数CPI_当月同比(上年同月=100),2022-08-10,2022-07-01,2022-07-31,102.7,2023-05-06 20:25:46
居民消费价格指数CPI_当月同比(上年同月=100),2022-09-09,2022-08-01,2022-08-31,102.5,2023-05-06 20:25:46
居民消费价格指数CPI_当月同比(上年同月=100),2022-10-14,2022-09-01,2022-09-30,102.8,2023-05-06 20:25:46
居民消费价格指数CPI_当月同比(上年同月=100),2022-11-09,2022-10-01,2022-10-31,102.1,2023-05-06 20:25:46
居民消费价格指数CPI_当月同比(上年同月=100),2022-12-09,2022-11-01,2022-11-30,101.6,2023-05-06 20:25:46
居民消费价格指数CPI_当月同比(上年同月=100),2023-01-12,2022-12-01,2022-12-31,101.8,2023-05-06 20:25:46
居民消费价格指数CPI_当月同比(上年同月=100),2023-02-10,2023-01-01,2023-01-31,102.1,2023-05-06 20:25:46
居民消费价格指数CPI_当月同比(上年同月=100),2023-03-09,2023-02-01,2023-02-28,101.0,2023-05-06 20:25:46
居民消费价格指数CPI_当月同比(上年同月=100),2023-04-11,2023-03-01,2023-03-31,100.7,2023-05-06 20:25:46
居民消费价格指数CPI_当月同比(上年同月=100),2023-05-11,2023-04-01,2023-04-30,100.1,2023-05-11 11:25:17
居民消费价格指数CPI_当月同比(上年同月=100),2023-06-09,2023-05-01,2023-05-31,100.2,2023-06-14 11:27:41
居民消费价格指数CPI_当月同比(上年同月=100),2023-07-10,2023-06-01,2023-06-30,100.0,2023-07-10 11:25:21
居民消费价格指数CPI_当月同比(上年同月=100),2023-08-09,2023-07-01,2023-07-31,99.7,2023-08-09 11:24:52
居民消费价格指数CPI_当月同比(上年同月=100),2023-09-09,2023-08-01,2023-08-31,100.1,2023-09-09 11:25:05
居民消费价格指数CPI_当月同比(上年同月=100),2023-10-13,2023-09-01,2023-09-30,100.0,2023-10-13 11:25:16
居民消费价格指数CPI_当月同比(上年同月=100),2023-11-09,2023-10-01,2023-10-31,99.8,2023-11-09 11:25:09
居民消费价格指数CPI_当月同比(上年同月=100),2023-12-09,2023-11-01,2023-11-30,99.5,2023-12-09 11:25:04
