order_book_id,date,open,close,high,low,total_turnover,volume,settlement,prev_settlement,open_interest
CF2405,2024-01-02,15510.0,15600.0,15630.0,15480.0,14635701100.0,188206.0,15555.0,15550.0,672453.0
CF2405,2024-01-03,15615.0,15645.0,15670.0,15520.0,21366232000.0,273981.0,15595.0,15555.0,661036.0
CF2405,2024-01-04,15645.0,15670.0,15725.0,15600.0,21480839300.0,274292.0,15665.0,15595.0,661258.0
CF2405,2024-01-05,15700.0,15615.0,15735.0,15540.0,19178797500.0,245409.0,15630.0,15665.0,648974.0
CF2405,2024-01-08,15615.0,15500.0,15710.0,15480.0,26099464600.0,335133.0,15575.0,15630.0,633876.0
CF2405,2024-01-09,15480.0,15500.0,15565.0,15315.0,35714379400.0,462891.0,15430.0,15575.0,604735.0
CF2405,2024-01-10,15500.0,15485.0,15605.0,15455.0,21776889900.0,280471.0,15530.0,15430.0,587784.0
