order_book_id,date,high,prev_close,total_turnover,close,open,volume,low
801010.INDX,2024-01-02,2891.51,2862.229,9892681277.0,2876.228,2862.275,1185758909.0,2850.55
801010.INDX,2024-01-03,2892.2,2876.228,8489897334.0,2851.248,2869.673,997756370.0,2839.65
801010.INDX,2024-01-04,2848.111,2851.248,6630947489.0,2830.105,2848.111,774680796.0,2824.23
801010.INDX,2024-01-05,2827.8,2830.105,7472690506.0,2795.17,2826.099,874144683.0,2785.53
801010.INDX,2024-01-08,2793.95,2795.17,8528164718.0,2723.626,2790.612,961512128.0,2723.626
801010.INDX,2024-01-09,2738.63,2723.626,7313727443.0,2726.498,2723.648,959179933.0,2712.24
801010.INDX,2024-01-10,2729.47,2726.498,9945024516.0,2700.899,2719.523,1142195909.0,2664.87
801010.INDX,2024-01-11,2759.09,2700.899,9931544090.0,2743.817,2694.093,1169516390.0,2694.08
801010.INDX,2024-01-12,2787.98,2743.817,8786016622.0,2765.255,2739.734,1018598589.0,2737.97
801010.INDX,2024-01-15,2767.26,2765.255,7773916925.0,2729.468,2764.243,913761729.0,2723.41
801010.INDX,2024-01-16,2751.58,2729.468,7650210274.0,2742.068,2724.539,914983371.0,2716.4
801010.INDX,2024-01-17,2743.73,2742.068,8169526433.0,2680.59,2741.592,1061560234.0,2680.59
801010.INDX,2024-01-18,2671.0,2680.59,11567969158.0,2669.06,2668.717,1554499771.0,2592.86
801010.INDX,2024-01-19,2666.48,2669.06,7391382785.0,2640.74,2663.359,922226278.0,2637.29
801010.INDX,2024-01-22,2636.026,2640.74,10064083779.0,2530.416,2635.954,1340770860.0,2518.76
801010.INDX,2024-01-23,2540.83,2530.416,7949760837.0,2532.907,2525.38,1138357856.0,2500.26
801010.INDX,2024-01-24,2556.91,2532.907,8751672253.0,2555.491,2543.573,1229022274.0,2478.51
801010.INDX,2024-01-25,2605.483,2555.491,9931413103.0,2605.483,2555.795,1381973631.0,2545.97
801010.INDX,2024-01-26,2634.82,2605.483,10447980948.0,2618.38,2595.375,1488213039.0,2568.96
801010.INDX,2024-01-29,2646.42,2618.38,9456476598.0,2587.881,2623.342,1362971584.0,2587.881
801010.INDX,2024-01-30,2605.29,2587.881,8606141129.0,2546.901,2579.931,1286422722.0,2545.75
801010.INDX,2024-01-31,2529.27,2546.901,10463924078.0,2483.717,2524.624,1596647924.0,2483.717
