order_book_id,date,high,prev_close,total_turnover,close,open,volume,low
000300.XSHG,2024-01-02,3426.2684,3431.1099,184096097448.7,3386.3522,3426.2684,11618072600.0,3386.3522
000300.XSHG,2024-01-03,3392.8504,3386.3522,165099018642.5,3378.2971,3379.7501,10561385100.0,3362.6617
000300.XSHG,2024-01-04,3375.0207,3378.2971,165512262698.6,3347.0519,3375.0207,10672101300.0,3323.8647
000300.XSHG,2024-01-05,3372.5444,3347.0519,182251664948.1,3329.1114,3341.3061,12640057400.0,3313.5542
000300.XSHG,2024-01-08,3333.516,3329.1114,170761644873.4,3286.0564,3322.6051,11742948500.0,3283.3421
000300.XSHG,2024-01-09,3304.6008,3286.0564,172276323045.2,3292.4994,3286.7083,10933046500.0,3273.8431
000300.XSHG,2024-01-10,3312.9161,3292.4994,159777649838.1,3277.129,3281.6692,9419936600.0,3268.2471
000300.XSHG,2024-01-11,3311.1137,3277.129,180978533555.5,3295.6717,3275.3086,10878973500.0,3266.7911
000300.XSHG,2024-01-12,3310.4704,3295.6717,156536022291.9,3284.1667,3284.358,9685355500.0,3279.6987
000300.XSHG,2024-01-15,3306.9217,3284.1667,144331722430.6,3280.9195,3270.1029,8885153000.0,3261.2687
000300.XSHG,2024-01-16,3300.8762,3280.9195,175650587488.9,3300.8762,3272.571,11327666500.0,3260.4362
000300.XSHG,2024-01-17,3291.1392,3300.8762,173516385174.7,3229.082,3291.1392,10876972800.0,3229.082
000300.XSHG,2024-01-18,3279.2538,3229.082,256784536828.0,3274.7286,3214.2844,17490916800.0,3171.6329
000300.XSHG,2024-01-19,3286.9415,3274.7286,191261807098.8,3269.7763,3261.2393,11850140800.0,3251.8136
000300.XSHG,2024-01-22,3281.4205,3269.7763,225510031844.3,3218.9016,3262.4685,14870562800.0,3193.1776
000300.XSHG,2024-01-23,3249.5306,3218.9016,193791168624.2,3231.9329,3208.4316,12201200000.0,3188.1259
000300.XSHG,2024-01-24,3281.4892,3231.9329,219036341624.5,3277.1089,3245.9592,15437195400.0,3190.4674
000300.XSHG,2024-01-25,3344.2426,3277.1089,265521114954.3,3342.9189,3274.3391,19683361400.0,3269.7943
000300.XSHG,2024-01-26,3351.9692,3342.9189,238144899501.0,3333.8213,3326.6465,18066400500.0,3315.1265
000300.XSHG,2024-01-29,3351.3715,3333.8213,244698013593.3,3303.9604,3335.3936,18416479500.0,3303.9604
000300.XSHG,2024-01-30,3300.204,3303.9604,199592929911.7,3245.0387,3283.8977,14364935000.0,3244.9719
000300.XSHG,2024-01-31,3252.1475,3245.0387,215333349921.2,3215.3518,3231.5425,15314346900.0,3201.9264
