order_book_id,date,high,limit_up,prev_settlement,prev_close,total_turnover,close,limit_down,open_interest,settlement,open,volume,low
AU9999.SGEX,2024-01-02,483.8,623.46,479.59,479.59,9791216118.4,483.66,335.71,0.0,483.66,480.8,2033094.0,480.0
AU9999.SGEX,2024-01-03,483.5,628.75,483.66,483.66,15212440683.4,481.49,338.56,0.0,481.49,482.0,3154746.0,481.03
AU9999.SGEX,2024-01-04,482.0,625.93,481.49,481.49,11986918083.4,480.4,337.04,0.0,480.4,479.0,2497008.0,477.0
AU9999.SGEX,2024-01-05,482.32,624.52,480.4,480.4,14523104667.0,480.0,336.28,0.0,480.0,480.2,3019130.0,479.2
AU9999.SGEX,2024-01-08,483.0,624.0,480.0,480.0,13245337904.4,479.0,336.0,0.0,479.0,479.5,2758096.0,477.86
AU9999.SGEX,2024-01-09,480.94,622.7,479.0,479.0,10648839541.4,478.66,335.3,0.0,478.66,480.9,2220072.0,476.0
AU9999.SGEX,2024-01-10,480.3,622.25,478.66,478.66,9842328547.2,478.08,335.06,0.0,478.08,479.5,2055850.0,477.9
