order_book_id,date,open,high,low,close,volume
RB2405,2024-01-15,3905.0,3920.0,3864.0,3896.0,1337484.0
RB2405,2024-01-16,3889.0,3907.0,3865.0,3899.0,1241142.0
RB2405,2024-01-17,3913.0,3925.0,3855.0,3858.0,1343304.0
RB2405,2024-01-18,3852.0,3915.0,3841.0,3913.0,1671022.0
RB2405,2024-01-19,3913.0,3920.0,3892.0,3915.0,938865.0
RB2405,2024-01-22,3915.0,3930.0,3883.0,3902.0,1351690.0
RB2405,2024-01-23,3904.0,3939.0,3893.0,3932.0,1025124.0
RB2405,2024-01-24,3930.0,3955.0,3928.0,3955.0,863883.0
RB2405,2024-01-25,3971.0,3989.0,3961.0,3967.0,1058613.0
RB2405,2024-01-26,3961.0,3987.0,3959.0,3973.0,911318.0
RB2405,2024-01-29,3973.0,3992.0,3955.0,3968.0,933122.0
RB2405,2024-01-30,3968.0,3974.0,3912.0,3913.0,1177825.0
RB2405,2024-01-31,3910.0,3919.0,3867.0,3869.0,1219415.0
