underlying_symbol,date,exchange,contract_multiplier
CF,2024-01-15,CZCE,5.0
CF,2024-01-16,CZCE,5.0
CF,2024-01-17,CZCE,5.0
CF,2024-01-18,CZCE,5.0
CF,2024-01-19,CZCE,5.0
