date,underlying_symbol,on_warrant,exchange,effective_forecast,warrant_units,contract_multiplier,deliverable
20240102,CU,4307.0,SHFE,,,,
20240103,CU,4058.0,SHFE,,,,
20240104,CU,3459.0,SHFE,,,,
20240105,CU,3058.0,SHFE,,,,33130.0
20240108,CU,1380.0,SHFE,,,,
20240109,CU,2380.0,SHFE,,,,
20240110,CU,2482.0,SHFE,,,,
20240111,CU,2482.0,SHFE,,,,
20240112,CU,4273.0,SHFE,,,,43085.0
20240115,CU,10097.0,SHFE,,,,
20240116,CU,14086.0,SHFE,,,,
20240117,CU,14836.0,SHFE,,,,
20240118,CU,14559.0,SHFE,,,,
20240119,CU,13557.0,SHFE,,,,47753.0
20240122,CU,12055.0,SHFE,,,,
20240123,CU,11853.0,SHFE,,,,
20240124,CU,11953.0,SHFE,,,,
20240125,CU,11756.0,SHFE,,,,
20240126,CU,12253.0,SHFE,,,,50532.0
20240129,CU,13249.0,SHFE,,,,
20240130,CU,16502.0,SHFE,,,,
20240131,CU,18229.0,SHFE,,,,
