underlying_symbol,date,from_contract,to_contract,yield,annualized_yield,annualized_yield_trading
AU,2024-01-02,AU2404,AU2406,-0.0018184072405670326,-0.010535216552491539,-0.010910443443402196
AU,2024-01-03,AU2404,AU2406,-0.001569534509107573,-0.009093334854353399,-0.009417207054645438
AU,2024-01-04,AU2404,AU2406,-0.001787198669991663,-0.010354404992808841,-0.010723192019949979
AU,2024-01-05,AU2404,AU2406,-0.0016568635572860035,-0.009599288863641132,-0.009941181343716021
AU,2024-01-08,AU2404,AU2406,-0.001366516211851465,-0.007917117735329916,-0.00819909727110879
AU,2024-01-09,AU2404,AU2406,-0.0016621649698732588,-0.009630003396884752,-0.009972989819239553
AU,2024-01-10,AU2404,AU2406,-0.0011211693380948073,-0.006495663625469915,-0.006727016028568844
AU,2024-01-11,AU2404,AU2406,-0.000956579604059149,-0.00554208818224745,-0.005739477624354894
AU,2024-01-12,AU2404,AU2406,-0.0016225661507739408,-0.009400581667182356,-0.009735396904643645
AU,2024-01-15,AU2404,AU2406,-0.0015286729466204019,-0.008856597230419788,-0.009172037679722411
AU,2024-01-16,AU2404,AU2406,-0.001115979168388903,-0.006465593594634121,-0.006695875010333419
AU,2024-01-17,AU2404,AU2406,-0.00045658309812379727,-0.0026452830288124763,-0.0027394985887427836
AU,2024-01-18,AU2404,AU2406,-0.000708658134978446,-0.004105717766144964,-0.004251948809870676
AU,2024-01-19,AU2404,AU2406,-0.0015404471460094271,-0.008924812830054618,-0.009242682876056563
AU,2024-01-22,AU2404,AU2406,-0.0010805868417772535,-0.006260542813471389,-0.006483521050663521
AU,2024-01-23,AU2404,AU2406,-0.0010431444546440405,-0.006043614697540869,-0.006258866727864243
AU,2024-01-24,AU2404,AU2406,-0.0015028177833438239,-0.008706801443182472,-0.009016906700062943
AU,2024-01-25,AU2404,AU2406,-0.0011714991004561082,-0.0067872566931187215,-0.007028994602736649
AU,2024-01-26,AU2404,AU2406,-0.001712901069518824,-0.009923950640863028,-0.010277406417112944
AU,2024-01-29,AU2404,AU2406,-0.002124291902699138,-0.012307405468018815,-0.012745751416194828
AU,2024-01-30,AU2404,AU2406,-0.0017457810291795495,-0.010114445645246595,-0.010474686175077297
AU,2024-01-31,AU2404,AU2406,-0.0015759134077053538,-0.00913029196527705,-0.009455480446232123
