order_book_id,date,high,prev_close,total_turnover,close,open,volume,low
801040.INDX,2024-01-02,2125.95,2099.0,4394757520.0,2115.614,2098.104,1034744698.0,2097.49
801040.INDX,2024-01-03,2134.85,2115.614,4330071246.0,2132.596,2113.14,996083293.0,2113.14
801040.INDX,2024-01-04,2137.3,2132.596,4245869952.0,2132.218,2131.736,1057239289.0,2120.28
801040.INDX,2024-01-05,2146.53,2132.218,4756025190.0,2116.275,2130.693,1153233687.0,2110.85
801040.INDX,2024-01-08,2112.786,2116.275,3973594141.0,2077.067,2112.786,1033939206.0,2077.067
801040.INDX,2024-01-09,2087.7,2077.067,3088647953.0,2080.406,2075.179,757451099.0,2068.23
801040.INDX,2024-01-10,2084.63,2080.406,2902269017.0,2067.297,2076.866,734410373.0,2060.26
801040.INDX,2024-01-11,2077.09,2067.297,3752992014.0,2068.55,2065.347,962971575.0,2054.62
801040.INDX,2024-01-12,2086.87,2068.55,2872342185.0,2066.132,2065.429,778834484.0,2065.41
801040.INDX,2024-01-15,2064.97,2066.132,3438435690.0,2052.431,2062.101,872741646.0,2049.32
801040.INDX,2024-01-16,2053.57,2052.431,4035923431.0,2041.502,2049.617,1039968020.0,2019.9
801040.INDX,2024-01-17,2041.37,2041.502,3579964405.0,2002.302,2040.458,901519546.0,2002.302
801040.INDX,2024-01-18,1993.9,2002.302,5813057550.0,1977.616,1993.9,1595993326.0,1929.99
801040.INDX,2024-01-19,1982.26,1977.616,3242387912.0,1968.141,1972.99,829934022.0,1960.69
801040.INDX,2024-01-22,1966.514,1968.141,4956382416.0,1883.272,1966.514,1427728460.0,1872.78
801040.INDX,2024-01-23,1908.69,1883.272,4208628294.0,1899.25,1878.787,1161699267.0,1858.09
801040.INDX,2024-01-24,1950.784,1899.25,4565513411.0,1950.784,1908.441,1316248873.0,1886.2
801040.INDX,2024-01-25,2021.801,1950.784,5890983991.0,2021.801,1955.859,1671482121.0,1955.859
801040.INDX,2024-01-26,2048.86,2021.801,5090814948.0,2041.269,2021.991,1462160453.0,2021.99
801040.INDX,2024-01-29,2049.75,2041.269,5019062799.0,2025.177,2047.345,1402314593.0,2020.79
801040.INDX,2024-01-30,2030.76,2025.177,4724620655.0,1990.053,2020.848,1303488150.0,1987.36
801040.INDX,2024-01-31,1998.94,1990.053,5239504934.0,1953.728,1978.43,1459807661.0,1949.67
