underlying_symbol,date,exchange,contract_multiplier
AU,2024-01-15,SHFE,1000.0
AU,2024-01-16,SHFE,1000.0
AU,2024-01-17,SHFE,1000.0
AU,2024-01-18,SHFE,1000.0
AU,2024-01-19,SHFE,1000.0
