order_book_id,trade_date,pe_ttm,pe_lyr,pb_ttm,pb_lyr,pb_lf,total_market_value,circulation_market_value,dividend_yield_ttm,free_circulation_market_value
000300.XSHG,2024-01-02,10.87229929,10.8415251,1.12471885,1.15761323,1.09807817,46787079216447.31,34982619267128.15,0.02830214355134656,14507626794306.21
000300.XSHG,2024-01-03,10.88728007,10.85646348,1.12626858,1.15920828,1.09959119,46851546446506.96,35012855545996.16,0.028367621061762445,14460239866702.46
000300.XSHG,2024-01-04,10.83934652,10.80866561,1.12130995,1.15410462,1.09475001,46645272633109.8,34790371021725.332,0.02863428674785519,14321163010229.26
000300.XSHG,2024-01-05,10.78810949,10.75757361,1.11600958,1.14864923,1.08957518,46424782844390.6,34636569729262.676,0.02878737873815161,14241408022572.49
000300.XSHG,2024-01-08,10.67633852,10.64611901,1.10444708,1.13674857,1.07828656,45943795594090.55,34248051340195.22,0.029162276669544546,14053209907938.82
000300.XSHG,2024-01-09,10.68737949,10.65712872,1.10558925,1.13792414,1.07940167,45991308497099.93,34303289757474.688,0.02911021951523579,14081824116402.75
000300.XSHG,2024-01-10,10.61902334,10.58896606,1.09851793,1.13064602,1.07249786,45697149536932.94,34128823541626.35,0.02924595390610744,14018289949462.27
000300.XSHG,2024-01-11,10.61849538,10.58843959,1.09846332,1.1305898,1.07244453,45694877541202.586,34166980300557.906,0.029082834750951796,14104741843507.0
000300.XSHG,2024-01-12,10.60798488,10.57795884,1.09737602,1.12947071,1.071383,45649647393323.46,34121207557803.25,0.029179572401744028,14049698846984.09
000300.XSHG,2024-01-15,10.62820079,10.59811753,1.09946732,1.13162317,1.07342476,45736643090762.56,34143743883111.297,0.029211537944212593,14030603125087.93
000300.XSHG,2024-01-16,10.68892927,10.65867412,1.10574957,1.13808915,1.0795582,45997977744282.7,34350432896720.703,0.02903136471551014,14116204014302.709
000300.XSHG,2024-01-17,10.48926243,10.45957244,1.08509441,1.1168299,1.05939229,45138745671496.05,33665854773489.8,0.02968049449968124,13805409324092.89
000300.XSHG,2024-01-18,10.59783703,10.56783971,1.09632625,1.12839023,1.07035808,45605977853660.49,34035190925713.367,0.029268855044292805,14010487709523.58
000300.XSHG,2024-01-19,10.57580187,10.54586692,1.09404675,1.12604407,1.06813258,45511153316895.125,33982892274778.46,0.029306497479872948,13986200709310.2
000300.XSHG,2024-01-22,10.43981219,10.41026217,1.07997888,1.11156475,1.05439793,44925945011008.766,33514598109479.49,0.029773629694080855,13760950973751.93
000300.XSHG,2024-01-23,10.4667636,10.43713729,1.08276695,1.11443437,1.05711996,45041925804274.71,33619961106928.75,0.029653298228972426,13824267272423.46
000300.XSHG,2024-01-24,10.65502357,10.62486439,1.10224209,1.13447909,1.0761338,45852070361435.69,34193332730940.35,0.02924587007053415,14009412182995.7
000300.XSHG,2024-01-25,10.92587833,10.89495249,1.1302615,1.16331798,1.10348953,47017647443169.37,35020439805412.723,0.02866939966410028,14284638925329.33
000300.XSHG,2024-01-26,10.96546718,10.93442928,1.13435689,1.16753315,1.10748792,47188011276757.15,35103715034563.812,0.028743717260418092,14234016771138.102
000300.XSHG,2024-01-29,10.92627517,10.8953482,1.13030255,1.16336023,1.10352961,47019355182005.484,34927496998265.08,0.029008474382896558,14090039913421.0
000300.XSHG,2024-01-30,10.76241439,10.73195124,1.11335147,1.14591338,1.08698003,46314208366549.94,34388302699849.15,0.02953462856049687,13834273683551.51
000300.XSHG,2024-01-31,10.718109,10.68777125,1.10876816,1.14119603,1.08250529,46123547700552.875,34180792680002.12,0.029806306750534584,13703153618559.33
