date,symbol,factor,factor_level,factor_diff,factor_zscore,fwd_ret_5d,fwd_ret_20d,fwd_ret_H1,fwd_ret_H2,fwd_ret_H3
2023-12-14,Y,社会融资规模_当月值,24554.0,,,0.00904,-0.01017,0.03417,-0.00028,0.06806
2024-01-15,Y,社会融资规模_当月值,19326.0,-5228.0,,0.01172,-0.03288,0.04688,0.01201,0.08119
2024-02-19,Y,社会融资规模_当月值,64734.0,45408.0,,-0.00829,0.08733,0.08407,0.04796,0.1196
2024-03-18,Y,社会融资规模_当月值,14959.0,-49775.0,,-0.00082,-0.04084,-0.00299,-0.03621,0.02968
2024-04-15,Y,社会融资规模_当月值,48335.0,33376.0,,-0.02165,0.01999,-0.01721,0.04997,0.06857
2024-05-13,Y,社会融资规模_当月值,-658.0,-48993.0,,0.03427,0.01672,-0.02961,0.03673,0.0551
2024-06-17,Y,社会融资规模_当月值,20623.0,21281.0,,0.00928,-0.02348,-0.03332,0.03277,0.05106
2024-07-15,Y,社会融资规模_当月值,32985.0,12361.999,,0.02573,-0.01426,-0.01007,0.05761,0.07634
2024-08-14,Y,社会融资规模_当月值,7707.0005,-25278.0,,0.01901,0.05877,0.10585,0.12544,0.18918
2024-09-18,Y,社会融资规模_当月值,30323.0,22616.0,,0.02917,0.09051,0.03108,0.04935,0.10878
2024-10-15,Y,社会融资规模_当月值,37635.0,7312.0,,0.01902,0.06408,-0.01485,0.0026,0.05939
2024-11-12,Y,社会融资规模_当月值,14120.0,-23515.0,,-0.04529,-0.0705,-0.07417,-0.05777,-0.00441
2024-12-16,Y,社会融资规模_当月值,23288.0,9168.0,,-0.04575,-0.01804,0.00627,0.06327,0.0481
2025-01-15,Y,社会融资规模_当月值,28537.0,5249.0,0.20404,-0.00161,0.02815,0.0319,0.09035,0.0748
2025-02-17,Y,社会融资规模_当月值,70546.0,42009.0,2.57882,0.01478,0.02746,0.0161,0.07365,0.05834
2025-03-17,Y,社会融资规模_当月值,22331.0,-48215.0,-0.27947,-0.01567,-0.04856,-0.01105,0.04496,0.03006
2025-04-14,Y,社会融资规模_当月值,58961.0,36630.0,1.78242,0.00323,0.01319,0.09505,0.07943,0.16774
2025-05-15,Y,社会融资规模_当月值,11599.0,-47362.0,-0.85433,-0.00478,-0.00133,0.08079,0.06537,0.15254
2025-06-16,Y,社会融资规模_当月值,22899.998,11301.0,-0.27745,0.02159,0.00442,0.05774,0.04265,0.12796
2025-07-15,Y,社会融资规模_当月值,42251.0,19351.0,0.73273,0.00827,0.06329,0.05063,0.03565,0.12038
2025-08-14,Y,社会融资规模_当月值,11307.0,-30944.0,-1.05091,-0.01522,-0.02223,-0.03117,0.04809,
2025-09-15,Y,社会融资规模_当月值,25660.002,14353.0,-0.22764,-0.00123,-0.01008,-0.01402,0.06665,
2025-10-16,Y,社会融资规模_当月值,35299.0,9639.0,0.27581,-0.00849,0.00749,0.00075,0.08263,
2025-11-14,Y,社会融资规模_当月值,8178.0,-27121.0,-1.2509,-0.00824,-0.00499,0.00075,0.08263,
2025-12-15,Y,社会融资规模_当月值,24926.0,16748.0,-0.24104,-0.02122,0.00758,0.09548,,
2026-01-16,Y,社会融资规模_当月值,22075.0,-2851.0,-0.42748,0.00976,0.00475,0.08506,,
2026-02-24,Y,社会融资规模_当月值,72185.0,50110.0,2.32006,0.02587,0.05593,0.06849,,
2026-03-16,Y,社会融资规模_当月值,23837.0,-48348.0,-0.33312,0.00276,-0.02715,-0.0023,,
2026-04-14,Y,社会融资规模_当月值,52240.0,28403.0,1.37422,0.01525,-0.00272,,,
2026-05-15,Y,社会融资规模_当月值,6244.9995,-45994.996,-1.31836,0.0083,,,,
2021-01-12,P,PPI_全部工业品(全国:当期同比增长率:月),-0.4,1.1,1.31693,-0.55128,-0.25897,0.70769,3.46667,
