symbol,bm_low_return,bm_low_sharpe,bm_low_maxdd,bm_high_return,bm_high_sharpe,bm_high_maxdd,ca_low_return,ca_low_sharpe,ca_low_maxdd,ca_high_return,ca_high_sharpe,ca_high_maxdd
C,0.08226297929861226,0.5990691178570712,-0.13702772571867017,0.06677725384994404,0.46982366490183686,-0.1432377171546479,0.06067107921408921,1.2507841706795257,-0.04442069833785452,-0.031813209473049775,-0.6788420411844922,-0.22950039621423404
M,0.01886582122162439,0.09568223530981695,-0.3324355428184837,0.003234899066521857,0.01334749934142798,-0.3483388877484968,0.06763191249343392,1.1048564274236923,-0.053485413213441614,-0.015077548609864433,-0.22294037268681793,-0.1867288401585375
Y,-0.07567603392665823,-0.3569787265844037,-0.5285774802715172,-0.09909194090755402,-0.47878612805975934,-0.5787674766620147,0.250977045667504,2.4948089581564914,-0.060359515802684324,0.12962986990416536,1.4316861670305872,-0.10600797632912655
P,0.012622840947810854,0.11878827157755567,-0.544665350440553,-0.014499506767364445,0.02156670348262043,-0.5520462130260925,0.29766648547495844,2.6526715996674555,-0.0727005325781605,0.20772942111441317,1.9833649395985276,-0.09533014824544302
V,0.008024528936063646,0.074581868008482,-0.49594770137361627,-0.01751499738417661,-0.0336506511989318,-0.5321490891983066,0.3584757065001192,3.9029487779647396,-0.03345524655580524,0.1923821935228831,2.43204937469669,-0.05101416935190551
J,-0.027544970539633895,0.0614991210414167,-0.5692867050806905,-0.04154424298357906,0.022392839618180903,-0.571325178729047,0.2882503612110272,1.9346358665096286,-0.1496867149287588,0.2048380439921047,1.4628929702345,-0.1945703566641721
JD,0.055820222850795576,0.28923032688077477,-0.29805593031257444,0.04530909577031084,0.234090892335229,-0.3196043476632182,0.020167598164420708,0.3121563265727743,-0.14636336070098405,-0.05040968667453971,-0.6776635075095193,-0.30142741661473604
I,-0.1544864958215042,-0.322656383479442,-0.6126331810466854,-0.18254835423675342,-0.41444260263442123,-0.6741403258646282,0.36159760529097995,2.400117217877775,-0.0638232649106093,0.2614139078530182,1.8605449758598298,-0.06980850188591504
CU,-0.03710776234231716,-0.2212114085983798,-0.3929150305403477,-0.0939175696929222,-0.557363549705979,-0.5453914210283147,0.02299258330524845,1.2805148206547283,-0.03507485285050219,-0.1379278881978152,-5.927066425728524,-0.5374574122201327
AL,-0.1168494310302749,-0.6625562572781478,-0.5529521833624164,-0.16055636638271664,-0.9309082388816949,-0.6489337493811065,0.05823141424516498,2.605222054170113,-0.02491085954627391,-0.06464443205280357,-3.473905464415845,-0.2951515159296609
AU,-0.08379839153410529,-0.5254424755540131,-0.43241526274089964,-0.1375336567697092,-0.8742060646528865,-0.5693787958432583,0.26497691366092213,4.12942571898769,-0.020859703577914654,0.05099835580088219,0.9940919753738091,-0.05792052665288329
AG,-0.19463703622088946,-0.5485804248481699,-0.7601423037710662,-0.24718481925726055,-0.7530247506938111,-0.8253091280437799,0.4921504395199423,6.046702229174323,-0.018437563024521486,0.11806575698497856,2.120476080557831,-0.11802280318235371
RB,0.027438451176824197,0.15179647520696318,-0.3674134040047252,-0.0027324139817469506,0.02015456098585125,-0.415062944870638,0.10191357610515861,1.5472900171354462,-0.08777581097623413,0.018204504974603575,0.3199791097933603,-0.27122092136754716
RU,-0.05550104055746452,-0.2553318637985077,-0.3964416830917836,-0.08148439679171837,-0.38889458960261974,-0.44174721534761024,0.3946017663740289,4.296777796624812,-0.027797491511822515,0.20156784074968792,2.644333687492084,-0.07774862051569363
NI,-0.23866910377492734,-0.6744651406131084,-0.8539580926905215,-0.27947507426602014,-0.8343993572223141,-0.8807308995742928,0.50345878388658,4.835476194133137,-0.06405474381446835,0.233160025084155,2.788119945310754,-0.06525474381446841
SN,-0.2254975190431301,-0.680795004303147,-0.7987806449527466,-0.27328264094234034,-0.875998744487804,-0.8524934882989049,0.6308623060904861,6.149457189733309,-0.025573378910999985,0.20903787956519815,3.051123440697086,-0.08231501097762127
CF,0.015588811993173746,0.07531421402653757,-0.3978695453749386,-0.01570441190890204,-0.0967891330095285,-0.4523952277172451,0.15700042482893584,3.009915148955964,-0.02163161961961782,-0.03695550568191197,-0.8599583827169024,-0.3281517984635988
SR,-0.06102184227909413,-0.6324637040258226,-0.3027321381045259,-0.08032693072774422,-0.8090228870326657,-0.36770320883631114,0.0615639075419383,2.1152894715215944,-0.029242136110773705,-0.05458183067993072,-2.165246467899459,-0.2810864571688599
TA,-0.01693007484644249,0.008655908108480072,-0.538960985556787,-0.04884767966518622,-0.11153264020078883,-0.5720539193653629,0.4676178772155186,4.293216061665068,-0.03066446114837536,0.19323219650365986,2.215268983732776,-0.11370977408686235
MA,-0.07008939601826814,-0.17382541268986845,-0.5899670449216746,-0.08722759327050345,-0.23853937781675977,-0.5981539759313035,0.5601293024952003,3.5584542173833826,-0.03299307219083219,0.4175243936816484,2.8995415772372564,-0.04780428567862283
SA,0.06005675727152271,0.29266032596699504,-0.488401419312538,0.04239165629346742,0.24657262866804436,-0.5060063602550773,0.35974940898985386,3.113363287053252,-0.09523512802799526,0.22642896721876005,2.143439930626192,-0.10291810933942215
