ts_code,symbol,exchange,name,fut_code,trade_unit,per_unit,quote_unit,d_mode_desc,list_date,delist_date,d_month,last_ddate
IF2601.CFX,IF2601,CFFEX,IF2601,IF,张,1.0,指数点,现金交割,20251124,20260116,202601,20260116
IC2601.CFX,IC2601,CFFEX,IC2601,IC,张,1.0,指数点,现金交割,20251124,20260116,202601,20260116
IM2601.CFX,IM2601,CFFEX,IM2601,IM,张,1.0,指数点,现金交割,20251124,20260116,202601,20260116
IH2601.CFX,IH2601,CFFEX,IH2601,IH,张,1.0,指数点,现金交割,20251124,20260116,202601,20260116
IM2606.CFX,IM2606,CFFEX,IM2606,IM,张,1.0,指数点,现金交割,20251020,20260619,202606,20260619
IC2606.CFX,IC2606,CFFEX,IC2606,IC,张,1.0,指数点,现金交割,20251020,20260619,202606,20260619
IF2606.CFX,IF2606,CFFEX,IF2606,IF,张,1.0,指数点,现金交割,20251020,20260619,202606,20260619
IH2606.CFX,IH2606,CFFEX,IH2606,IH,张,1.0,指数点,现金交割,20251020,20260619,202606,20260619
IM2511.CFX,IM2511,CFFEX,IM2511,IM,张,1.0,指数点,现金交割,20250922,20251121,202511,20251121
IC2511.CFX,IC2511,CFFEX,IC2511,IC,张,1.0,指数点,现金交割,20250922,20251121,202511,20251121
IF2511.CFX,IF2511,CFFEX,IF2511,IF,张,1.0,指数点,现金交割,20250922,20251121,202511,20251121
IH2511.CFX,IH2511,CFFEX,IH2511,IH,张,1.0,指数点,现金交割,20250922,20251121,202511,20251121
T2606.CFX,T2606,CFFEX,T2606,T,张,1.0,人民币元,实物交割,20250915,20260612,202606,20260617
TL2606.CFX,TL2606,CFFEX,TL2606,TL,张,1.0,人民币元,实物交割,20250915,20260612,202606,20260617
TS2606.CFX,TS2606,CFFEX,TS2606,TS,张,1.0,人民币元,实物交割,20250915,20260612,202606,20260617
TF2606.CFX,TF2606,CFFEX,TF2606,TF,张,1.0,人民币元,实物交割,20250915,20260612,202606,20260617
IM2510.CFX,IM2510,CFFEX,IM2510,IM,张,1.0,指数点,现金交割,20250818,20251017,202510,20251017
IF2510.CFX,IF2510,CFFEX,IF2510,IF,张,1.0,指数点,现金交割,20250818,20251017,202510,20251017
IC2510.CFX,IC2510,CFFEX,IC2510,IC,张,1.0,指数点,现金交割,20250818,20251017,202510,20251017
IH2510.CFX,IH2510,CFFEX,IH2510,IH,张,1.0,指数点,现金交割,20250818,20251017,202510,20251017
IC2603.CFX,IC2603,CFFEX,IC2603,IC,张,1.0,指数点,现金交割,20250721,20260320,202603,20260320
IH2603.CFX,IH2603,CFFEX,IH2603,IH,张,1.0,指数点,现金交割,20250721,20260320,202603,20260320
IM2603.CFX,IM2603,CFFEX,IM2603,IM,张,1.0,指数点,现金交割,20250721,20260320,202603,20260320
IF2603.CFX,IF2603,CFFEX,IF2603,IF,张,1.0,指数点,现金交割,20250721,20260320,202603,20260320
IF2508.CFX,IF2508,CFFEX,IF2508,IF,张,1.0,指数点,现金交割,20250623,20250815,202508,20250815
IH2508.CFX,IH2508,CFFEX,IH2508,IH,张,1.0,指数点,现金交割,20250623,20250815,202508,20250815
IC2508.CFX,IC2508,CFFEX,IC2508,IC,张,1.0,指数点,现金交割,20250623,20250815,202508,20250815
