ts_code,symbol,exchange,name,fut_code,trade_unit,per_unit,quote_unit,d_mode_desc,list_date,delist_date,d_month,last_ddate
V2606F.DCE,V2606F,DCE,PVC月均价2606F,V_F,吨,5.0,人民币元/吨,现金交割,20251201,20260529,202606,20260529
L2606F.DCE,L2606F,DCE,塑料月均价2606F,L_F,吨,5.0,人民币元/吨,现金交割,20251201,20260529,202606,20260529
PP2606F.DCE,PP2606F,DCE,聚丙烯月均价2606F,PP_F,吨,5.0,人民币元/吨,现金交割,20251201,20260529,202606,20260529
PG2611.DCE,PG2611,DCE,LPG2611,PG,吨,20.0,人民币元/吨,实物交割,20251126,20261125,202611,20261130
BZ2611.DCE,BZ2611,DCE,纯苯2611,BZ,吨,30.0,人民币元/吨,实物交割,20251126,20261125,202611,20261130
EG2611.DCE,EG2611,DCE,乙二醇2611,EG,吨,10.0,人民币元/吨,实物交割,20251126,20261125,202611,20261130
LH2611.DCE,LH2611,DCE,生猪2611,LH,吨,16.0,人民币元/吨,实物交割,20251126,20261125,202611,20261130
LG2611.DCE,LG2611,DCE,原木2611,LG,立方米,90.0,人民币元/立方米,实物交割,20251126,20261125,202611,20261130
JD2611.DCE,JD2611,DCE,鸡蛋2611,JD,吨,5.0,人民币元/500千克,实物交割,20251126,20261125,202611,20261130
EB2611.DCE,EB2611,DCE,苯乙烯2611,EB,吨,5.0,人民币元/吨,实物交割,20251126,20261125,202611,20261130
Y2611.DCE,Y2611,DCE,豆油2611,Y,吨,10.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
V2611.DCE,V2611,DCE,PVC2611,V,吨,5.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
RR2611.DCE,RR2611,DCE,粳米2611,RR,吨,10.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
PP2611.DCE,PP2611,DCE,聚丙烯2611,PP,吨,5.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
FB2611.DCE,FB2611,DCE,纤维板2611,FB,立方米,10.0,人民币元/立方米,实物交割,20251117,20261113,202611,20261118
P2611.DCE,P2611,DCE,棕榈油2611,P,吨,10.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
M2611.DCE,M2611,DCE,豆粕2611,M,吨,10.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
L2611.DCE,L2611,DCE,塑料2611,L,吨,5.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
JM2611.DCE,JM2611,DCE,焦煤2611,JM,吨,60.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
J2611.DCE,J2611,DCE,焦炭2611,J,吨,100.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
I2611.DCE,I2611,DCE,铁矿石2611,I,吨,100.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
CS2611.DCE,CS2611,DCE,玉米淀粉2611,CS,吨,10.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
BB2611.DCE,BB2611,DCE,胶合板2611,BB,张,500.0,人民币元/张,实物交割,20251117,20261113,202611,20261118
B2611.DCE,B2611,DCE,豆二2611,B,吨,10.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
A2611.DCE,A2611,DCE,豆一2611,A,吨,10.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
C2611.DCE,C2611,DCE,玉米2611,C,吨,10.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
V2605F.DCE,V2605F,DCE,PVC月均价2605F,V_F,吨,5.0,人民币元/吨,现金交割,20251103,20260430,202605,20260430
PP2605F.DCE,PP2605F,DCE,聚丙烯月均价2605F,PP_F,吨,5.0,人民币元/吨,现金交割,20251103,20260430,202605,20260430
