ts_code,symbol,exchange,name,fut_code,trade_unit,per_unit,quote_unit,d_mode_desc,list_date,delist_date,d_month,last_ddate
JR2611.ZCE,JR611,CZCE,粳稻2611,JR,吨,20.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
CY2611.ZCE,CY611,CZCE,棉纱2611,CY,吨,5.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
SA2611.ZCE,SA611,CZCE,纯碱2611,SA,吨,20.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
SH2611.ZCE,SH611,CZCE,烧碱2611,SH,吨,30.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
FG2611.ZCE,FG611,CZCE,玻璃2611,FG,吨,20.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
PL2611.ZCE,PL611,CZCE,丙烯2611,PL,吨,20.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
MA2611.ZCE,MA611,CZCE,甲醇2611,MA,吨,10.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
OI2611.ZCE,OI611,CZCE,菜油2611,OI,吨,10.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
RS2611.ZCE,RS611,CZCE,菜籽2611,RS,吨,10.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
SM2611.ZCE,SM611,CZCE,锰硅2611,SM,吨,5.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
RM2611.ZCE,RM611,CZCE,菜粕2611,RM,吨,10.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
PF2611.ZCE,PF611,CZCE,短纤2611,PF,吨,5.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
RI2611.ZCE,RI611,CZCE,早籼稻2611,RI,吨,20.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
PX2611.ZCE,PX611,CZCE,对二甲苯2611,PX,吨,5.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
SR2611.ZCE,SR611,CZCE,白糖2611,SR,吨,10.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
PM2611.ZCE,PM611,CZCE,普麦2611,PM,吨,50.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
UR2611.ZCE,UR611,CZCE,尿素2611,UR,吨,20.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
PR2611.ZCE,PR611,CZCE,瓶片2611,PR,吨,15.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
WH2611.ZCE,WH611,CZCE,强麦2611,WH,吨,20.0,人民币元/吨,实物交割,20251117,20261113,202611,20261220
PK2611.ZCE,PK611,CZCE,花生2611,PK,吨,5.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
SF2611.ZCE,SF611,CZCE,硅铁2611,SF,吨,5.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
TA2611.ZCE,TA611,CZCE,PTA2611,TA,吨,5.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
AP2611.ZCE,AP611,CZCE,苹果2611,AP,吨,10.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
CF2611.ZCE,CF611,CZCE,郑棉2611,CF,吨,5.0,人民币元/吨,实物交割,20251117,20261113,202611,20261118
ZC2611.ZCE,ZC611,CZCE,动力煤2611,ZC,吨,100.0,人民币元/吨,实物交割,20251110,20261106,202611,20261111
PX2610.ZCE,PX610,CZCE,对二甲苯2610,PX,吨,5.0,人民币元/吨,实物交割,20251023,20261014,202610,20261019
FG2610.ZCE,FG610,CZCE,玻璃2610,FG,吨,20.0,人民币元/吨,实物交割,20251023,20261014,202610,20261019
TA2610.ZCE,TA610,CZCE,PTA2610,TA,吨,5.0,人民币元/吨,实物交割,20251023,20261014,202610,20261019
SF2610.ZCE,SF610,CZCE,硅铁2610,SF,吨,5.0,人民币元/吨,实物交割,20251023,20261014,202610,20261019
PR2610.ZCE,PR610,CZCE,瓶片2610,PR,吨,15.0,人民币元/吨,实物交割,20251023,20261014,202610,20261019
SH2610.ZCE,SH610,CZCE,烧碱2610,SH,吨,30.0,人民币元/吨,实物交割,20251023,20261014,202610,20261019
PK2610.ZCE,PK610,CZCE,花生2610,PK,吨,5.0,人民币元/吨,实物交割,20251023,20261014,202610,20261019
PF2610.ZCE,PF610,CZCE,短纤2610,PF,吨,5.0,人民币元/吨,实物交割,20251023,20261014,202610,20261019
MA2610.ZCE,MA610,CZCE,甲醇2610,MA,吨,10.0,人民币元/吨,实物交割,20251023,20261014,202610,20261019
PL2610.ZCE,PL610,CZCE,丙烯2610,PL,吨,20.0,人民币元/吨,实物交割,20251023,20261014,202610,20261019
CY2610.ZCE,CY610,CZCE,棉纱2610,CY,吨,5.0,人民币元/吨,实物交割,20251023,20261014,202610,20261019
AP2610.ZCE,AP610,CZCE,苹果2610,AP,吨,10.0,人民币元/吨,实物交割,20251023,20261014,202610,20261019
SA2610.ZCE,SA610,CZCE,纯碱2610,SA,吨,20.0,人民币元/吨,实物交割,20251023,20261014,202610,20261019
SM2610.ZCE,SM610,CZCE,锰硅2610,SM,吨,5.0,人民币元/吨,实物交割,20251023,20261014,202610,20261019
UR2610.ZCE,UR610,CZCE,尿素2610,UR,吨,20.0,人民币元/吨,实物交割,20251023,20261014,202610,20261019
ZC2610.ZCE,ZC610,CZCE,动力煤2610,ZC,吨,100.0,人民币元/吨,实物交割,20251016,20261007,202610,20261012
PM2609.ZCE,PM609,CZCE,普麦2609,PM,吨,50.0,人民币元/吨,实物交割,20250915,20260914,202609,20260917
TA2609.ZCE,TA609,CZCE,PTA2609,TA,吨,5.0,人民币元/吨,实物交割,20250915,20260914,202609,20260917
SA2609.ZCE,SA609,CZCE,纯碱2609,SA,吨,20.0,人民币元/吨,实物交割,20250915,20260914,202609,20260917
SF2609.ZCE,SF609,CZCE,硅铁2609,SF,吨,5.0,人民币元/吨,实物交割,20250915,20260914,202609,20260917
SH2609.ZCE,SH609,CZCE,烧碱2609,SH,吨,30.0,人民币元/吨,实物交割,20250915,20260914,202609,20260917
CY2609.ZCE,CY609,CZCE,棉纱2609,CY,吨,5.0,人民币元/吨,实物交割,20250915,20260914,202609,20260917
SM2609.ZCE,SM609,CZCE,锰硅2609,SM,吨,5.0,人民币元/吨,实物交割,20250915,20260914,202609,20260917
OI2609.ZCE,OI609,CZCE,菜油2609,OI,吨,10.0,人民币元/吨,实物交割,20250915,20260914,202609,20260917
PX2609.ZCE,PX609,CZCE,对二甲苯2609,PX,吨,5.0,人民币元/吨,实物交割,20250915,20260914,202609,20260917
PL2609.ZCE,PL609,CZCE,丙烯2609,PL,吨,20.0,人民币元/吨,实物交割,20250915,20260914,202609,20260917
UR2609.ZCE,UR609,CZCE,尿素2609,UR,吨,20.0,人民币元/吨,实物交割,20250915,20260914,202609,20260917
RM2609.ZCE,RM609,CZCE,菜粕2609,RM,吨,10.0,人民币元/吨,实物交割,20250915,20260914,202609,20260917
MA2609.ZCE,MA609,CZCE,甲醇2609,MA,吨,10.0,人民币元/吨,实物交割,20250915,20260914,202609,20260917
PR2609.ZCE,PR609,CZCE,瓶片2609,PR,吨,15.0,人民币元/吨,实物交割,20250915,20260914,202609,20260917
RI2609.ZCE,RI609,CZCE,早籼稻2609,RI,吨,20.0,人民币元/吨,实物交割,20250915,20260914,202609,20260917
CF2609.ZCE,CF609,CZCE,郑棉2609,CF,吨,5.0,人民币元/吨,实物交割,20250915,20260914,202609,20260917
CJ2609.ZCE,CJ609,CZCE,红枣2609,CJ,吨,5.0,人民币元/吨,实物交割,20250915,20260914,202609,20260917
FG2609.ZCE,FG609,CZCE,玻璃2609,FG,吨,20.0,人民币元/吨,实物交割,20250915,20260914,202609,20260917
RS2609.ZCE,RS609,CZCE,菜籽2609,RS,吨,10.0,人民币元/吨,实物交割,20250915,20260914,202609,20260917
WH2609.ZCE,WH609,CZCE,强麦2609,WH,吨,20.0,人民币元/吨,实物交割,20250915,20260914,202609,20261020
JR2609.ZCE,JR609,CZCE,粳稻2609,JR,吨,20.0,人民币元/吨,实物交割,20250915,20260914,202609,20260917
PF2609.ZCE,PF609,CZCE,短纤2609,PF,吨,5.0,人民币元/吨,实物交割,20250915,20260914,202609,20260917
SR2609.ZCE,SR609,CZCE,白糖2609,SR,吨,10.0,人民币元/吨,实物交割,20250915,20260914,202609,20260917
ZC2609.ZCE,ZC609,CZCE,动力煤2609,ZC,吨,100.0,人民币元/吨,实物交割,20250908,20260907,202609,20260910
CY2608.ZCE,CY608,CZCE,棉纱2608,CY,吨,5.0,人民币元/吨,实物交割,20250815,20260814,202608,20260819
TA2608.ZCE,TA608,CZCE,PTA2608,TA,吨,5.0,人民币元/吨,实物交割,20250815,20260814,202608,20260819
MA2608.ZCE,MA608,CZCE,甲醇2608,MA,吨,10.0,人民币元/吨,实物交割,20250815,20260814,202608,20260819
RS2608.ZCE,RS608,CZCE,菜籽2608,RS,吨,10.0,人民币元/吨,实物交割,20250815,20260814,202608,20260819
PF2608.ZCE,PF608,CZCE,短纤2608,PF,吨,5.0,人民币元/吨,实物交割,20250815,20260814,202608,20260819
SM2608.ZCE,SM608,CZCE,锰硅2608,SM,吨,5.0,人民币元/吨,实物交割,20250815,20260814,202608,20260819
FG2608.ZCE,FG608,CZCE,玻璃2608,FG,吨,20.0,人民币元/吨,实物交割,20250815,20260814,202608,20260819
SA2608.ZCE,SA608,CZCE,纯碱2608,SA,吨,20.0,人民币元/吨,实物交割,20250815,20260814,202608,20260819
PR2608.ZCE,PR608,CZCE,瓶片2608,PR,吨,15.0,人民币元/吨,实物交割,20250815,20260814,202608,20260819
UR2608.ZCE,UR608,CZCE,尿素2608,UR,吨,20.0,人民币元/吨,实物交割,20250815,20260814,202608,20260819
SH2608.ZCE,SH608,CZCE,烧碱2608,SH,吨,30.0,人民币元/吨,实物交割,20250815,20260814,202608,20260819
SF2608.ZCE,SF608,CZCE,硅铁2608,SF,吨,5.0,人民币元/吨,实物交割,20250815,20260814,202608,20260819
