ts_code,symbol,exchange,name,fut_code,trade_unit,per_unit,quote_unit,d_mode_desc,list_date,delist_date,d_month,last_ddate
SC2812.INE,SC2812,INE,原油2812,SC,桶,1000.0,人民币元/桶,实物交割,20251201,20281130,202812,20281207
LU2612.INE,LU2612,INE,低硫燃料油2612,LU,吨,10.0,人民币元/吨,实物交割,20251201,20261130,202612,20261207
SCTAS2604.INE,SC2604TAS,INE,原油2604TAS,SCTAS,桶,1000.0,人民币元/桶,,20251201,20260319,202604,
BC2611.INE,BC2611,INE,国际铜2611,BC,吨,5.0,人民币元/吨,实物交割,20251118,20261116,202611,20261123
NR2611.INE,NR2611,INE,20号胶2611,NR,吨,10.0,人民币元/吨,实物交割,20251118,20261116,202611,20261123
SC2611.INE,SC2611,INE,原油2611,SC,桶,1000.0,人民币元/桶,实物交割,20251103,20261030,202611,20261106
SCTAS2603.INE,SC2603TAS,INE,原油2603TAS,SCTAS,桶,1000.0,人民币元/桶,,20251103,20260210,202603,
LU2611.INE,LU2611,INE,低硫燃料油2611,LU,吨,10.0,人民币元/吨,实物交割,20251103,20261030,202611,20261106
EC2610.INE,EC2610,INE,集运指数(欧线)2610,EC,张,1.0,指数点,现金交割,20251028,20261026,202610,20261026
NR2610.INE,NR2610,INE,20号胶2610,NR,吨,10.0,人民币元/吨,实物交割,20251016,20261015,202610,20261022
BC2610.INE,BC2610,INE,国际铜2610,BC,吨,5.0,人民币元/吨,实物交割,20251016,20261015,202610,20261022
SC2610.INE,SC2610,INE,原油2610,SC,桶,1000.0,人民币元/桶,实物交割,20251009,20260930,202610,20261014
LU2610.INE,LU2610,INE,低硫燃料油2610,LU,吨,10.0,人民币元/吨,实物交割,20251009,20260930,202610,20261014
SCTAS2602.INE,SC2602TAS,INE,原油2602TAS,SCTAS,桶,1000.0,人民币元/桶,,20251009,20260120,202602,
BC2609.INE,BC2609,INE,国际铜2609,BC,吨,5.0,人民币元/吨,实物交割,20250916,20260915,202609,20260922
NR2609.INE,NR2609,INE,20号胶2609,NR,吨,10.0,人民币元/吨,实物交割,20250916,20260915,202609,20260922
LU2609.INE,LU2609,INE,低硫燃料油2609,LU,吨,10.0,人民币元/吨,实物交割,20250901,20260831,202609,20260907
SCTAS2601.INE,SC2601TAS,INE,原油2601TAS,SCTAS,桶,1000.0,人民币元/桶,,20250901,20251219,202601,
SC2809.INE,SC2809,INE,原油2809,SC,桶,1000.0,人民币元/桶,实物交割,20250901,20280831,202809,20280907
EC2608.INE,EC2608,INE,集运指数(欧线)2608,EC,张,1.0,指数点,现金交割,20250826,20260831,202608,20260831
NR2608.INE,NR2608,INE,20号胶2608,NR,吨,10.0,人民币元/吨,实物交割,20250818,20260817,202608,20260824
BC2608.INE,BC2608,INE,国际铜2608,BC,吨,5.0,人民币元/吨,实物交割,20250818,20260817,202608,20260824
SCTAS2512.INE,SC2512TAS,INE,原油2512TAS,SCTAS,桶,1000.0,人民币元/桶,,20250801,20251118,202512,
SC2608.INE,SC2608,INE,原油2608,SC,桶,1000.0,人民币元/桶,实物交割,20250801,20260731,202608,20260807
LU2608.INE,LU2608,INE,低硫燃料油2608,LU,吨,10.0,人民币元/吨,实物交割,20250801,20260731,202608,20260807
