ts_code,symbol,exchange,name,fut_code,trade_unit,per_unit,quote_unit,d_mode_desc,list_date,delist_date,d_month,last_ddate
FU2612.SHF,FU2612,SHFE,燃油2612,FU,吨,10.0,人民币元/吨,实物交割,20251201,20261130,202612,20261202
SS2611.SHF,SS2611,SHFE,不锈钢2611,SS,吨,5.0,人民币元/吨,实物交割,20251118,20261116,202611,20261118
AU2612.SHF,AU2612,SHFE,沪金2612,AU,克,1000.0,人民币元/克,实物交割,20251118,20261215,202612,20261216
AL2611.SHF,AL2611,SHFE,沪铝2611,AL,吨,5.0,人民币元/吨,实物交割,20251118,20261116,202611,20261118
AD2611.SHF,AD2611,SHFE,铸造铝合金2611,AD,吨,10.0,人民币元/吨,实物交割,20251118,20261116,202611,20261118
PB2611.SHF,PB2611,SHFE,沪铅2611,PB,吨,5.0,人民币元/吨,实物交割,20251118,20261116,202611,20261118
CU2611.SHF,CU2611,SHFE,沪铜2611,CU,吨,5.0,人民币元/吨,实物交割,20251118,20261116,202611,20261118
OP2611.SHF,OP2611,SHFE,双胶纸2611,OP,吨,40.0,人民币元/吨,实物交割,20251118,20261116,202611,20261118
RU2611.SHF,RU2611,SHFE,橡胶2611,RU,吨,10.0,人民币元/吨,实物交割,20251118,20261116,202611,20261118
SP2611.SHF,SP2611,SHFE,纸浆2611,SP,吨,10.0,人民币元/吨,实物交割,20251118,20261116,202611,20261118
BU2611.SHF,BU2611,SHFE,沥青2611,BU,吨,10.0,人民币元/吨,实物交割,20251118,20261116,202611,20261118
BR2611.SHF,BR2611,SHFE,丁二烯橡胶2611,BR,吨,5.0,人民币元/吨,实物交割,20251118,20261116,202611,20261118
ZN2611.SHF,ZN2611,SHFE,沪锌2611,ZN,吨,5.0,人民币元/吨,实物交割,20251118,20261116,202611,20261118
AG2611.SHF,AG2611,SHFE,沪银2611,AG,千克,15.0,人民币元/千克,实物交割,20251118,20261116,202611,20261118
SN2611.SHF,SN2611,SHFE,沪锡2611,SN,吨,1.0,人民币元/吨,实物交割,20251118,20261116,202611,20261118
AO2611.SHF,AO2611,SHFE,氧化铝2611,AO,吨,20.0,人民币元/吨,实物交割,20251118,20261116,202611,20261118
HC2611.SHF,HC2611,SHFE,热轧卷板2611,HC,吨,10.0,人民币元/吨,实物交割,20251118,20261116,202611,20261118
RB2611.SHF,RB2611,SHFE,螺纹钢2611,RB,吨,10.0,人民币元/吨,实物交割,20251118,20261116,202611,20261118
NI2611.SHF,NI2611,SHFE,沪镍2611,NI,吨,1.0,人民币元/吨,实物交割,20251118,20261116,202611,20261118
WR2611.SHF,WR2611,SHFE,线材2611,WR,吨,10.0,人民币元/吨,实物交割,20251118,20261116,202611,20261118
FU2611.SHF,FU2611,SHFE,燃油2611,FU,吨,10.0,人民币元/吨,实物交割,20251103,20261030,202611,20261103
CU2610.SHF,CU2610,SHFE,沪铜2610,CU,吨,5.0,人民币元/吨,实物交割,20251016,20261015,202610,20261019
RB2610.SHF,RB2610,SHFE,螺纹钢2610,RB,吨,10.0,人民币元/吨,实物交割,20251016,20261015,202610,20261019
AD2610.SHF,AD2610,SHFE,铸造铝合金2610,AD,吨,10.0,人民币元/吨,实物交割,20251016,20261015,202610,20261019
WR2610.SHF,WR2610,SHFE,线材2610,WR,吨,10.0,人民币元/吨,实物交割,20251016,20261015,202610,20261019
SN2610.SHF,SN2610,SHFE,沪锡2610,SN,吨,1.0,人民币元/吨,实物交割,20251016,20261015,202610,20261019
SP2610.SHF,SP2610,SHFE,纸浆2610,SP,吨,10.0,人民币元/吨,实物交割,20251016,20261015,202610,20261019
RU2610.SHF,RU2610,SHFE,橡胶2610,RU,吨,10.0,人民币元/吨,实物交割,20251016,20261015,202610,20261019
OP2610.SHF,OP2610,SHFE,双胶纸2610,OP,吨,40.0,人民币元/吨,实物交割,20251016,20261015,202610,20261019
PB2610.SHF,PB2610,SHFE,沪铅2610,PB,吨,5.0,人民币元/吨,实物交割,20251016,20261015,202610,20261019
SS2610.SHF,SS2610,SHFE,不锈钢2610,SS,吨,5.0,人民币元/吨,实物交割,20251016,20261015,202610,20261019
AO2610.SHF,AO2610,SHFE,氧化铝2610,AO,吨,20.0,人民币元/吨,实物交割,20251016,20261015,202610,20261019
AU2601.SHF,AU2601,SHFE,沪金2601,AU,克,1000.0,人民币元/克,实物交割,20251016,20260115,202601,20260116
AG2610.SHF,AG2610,SHFE,沪银2610,AG,千克,15.0,人民币元/千克,实物交割,20251016,20261015,202610,20261019
HC2610.SHF,HC2610,SHFE,热轧卷板2610,HC,吨,10.0,人民币元/吨,实物交割,20251016,20261015,202610,20261019
ZN2610.SHF,ZN2610,SHFE,沪锌2610,ZN,吨,5.0,人民币元/吨,实物交割,20251016,20261015,202610,20261019
NI2610.SHF,NI2610,SHFE,沪镍2610,NI,吨,1.0,人民币元/吨,实物交割,20251016,20261015,202610,20261019
AL2610.SHF,AL2610,SHFE,沪铝2610,AL,吨,5.0,人民币元/吨,实物交割,20251016,20261015,202610,20261019
BU2610.SHF,BU2610,SHFE,沥青2610,BU,吨,10.0,人民币元/吨,实物交割,20251016,20261015,202610,20261019
BR2610.SHF,BR2610,SHFE,丁二烯橡胶2610,BR,吨,5.0,人民币元/吨,实物交割,20251016,20261015,202610,20261019
FU2610.SHF,FU2610,SHFE,燃油2610,FU,吨,10.0,人民币元/吨,实物交割,20251009,20260930,202610,20261009
AO2609.SHF,AO2609,SHFE,氧化铝2609,AO,吨,20.0,人民币元/吨,实物交割,20250916,20260915,202609,20260917
SP2609.SHF,SP2609,SHFE,纸浆2609,SP,吨,10.0,人民币元/吨,实物交割,20250916,20260915,202609,20260917
AL2609.SHF,AL2609,SHFE,沪铝2609,AL,吨,5.0,人民币元/吨,实物交割,20250916,20260915,202609,20260917
WR2609.SHF,WR2609,SHFE,线材2609,WR,吨,10.0,人民币元/吨,实物交割,20250916,20260915,202609,20260917
ZN2609.SHF,ZN2609,SHFE,沪锌2609,ZN,吨,5.0,人民币元/吨,实物交割,20250916,20260915,202609,20260917
NI2609.SHF,NI2609,SHFE,沪镍2609,NI,吨,1.0,人民币元/吨,实物交割,20250916,20260915,202609,20260917
BR2609.SHF,BR2609,SHFE,丁二烯橡胶2609,BR,吨,5.0,人民币元/吨,实物交割,20250916,20260915,202609,20260917
OP2609.SHF,OP2609,SHFE,双胶纸2609,OP,吨,40.0,人民币元/吨,实物交割,20250916,20260915,202609,20260917
CU2609.SHF,CU2609,SHFE,沪铜2609,CU,吨,5.0,人民币元/吨,实物交割,20250916,20260915,202609,20260917
HC2609.SHF,HC2609,SHFE,热轧卷板2609,HC,吨,10.0,人民币元/吨,实物交割,20250916,20260915,202609,20260917
RU2609.SHF,RU2609,SHFE,橡胶2609,RU,吨,10.0,人民币元/吨,实物交割,20250916,20260915,202609,20260917
SS2609.SHF,SS2609,SHFE,不锈钢2609,SS,吨,5.0,人民币元/吨,实物交割,20250916,20260915,202609,20260917
AD2609.SHF,AD2609,SHFE,铸造铝合金2609,AD,吨,10.0,人民币元/吨,实物交割,20250916,20260915,202609,20260917
AU2610.SHF,AU2610,SHFE,沪金2610,AU,克,1000.0,人民币元/克,实物交割,20250916,20261015,202610,20261016
BU2709.SHF,BU2709,SHFE,沥青2709,BU,吨,10.0,人民币元/吨,实物交割,20250916,20270915,202709,20270917
PB2609.SHF,PB2609,SHFE,沪铅2609,PB,吨,5.0,人民币元/吨,实物交割,20250916,20260915,202609,20260917
AG2609.SHF,AG2609,SHFE,沪银2609,AG,千克,15.0,人民币元/千克,实物交割,20250916,20260915,202609,20260917
RB2609.SHF,RB2609,SHFE,螺纹钢2609,RB,吨,10.0,人民币元/吨,实物交割,20250916,20260915,202609,20260917
SN2609.SHF,SN2609,SHFE,沪锡2609,SN,吨,1.0,人民币元/吨,实物交割,20250916,20260915,202609,20260917
