date,open,high,low,close,volume,returns,fac_PPI_All_Industry_YoY_level,fac_PPI_All_Industry_YoY_level_release,fac_PPI_level,fac_PPI_level_release,fac_PMI_Import_diff,fac_PMI_Import_diff_release,fac_PMI_New_Export_Orders_diff,fac_PMI_New_Export_Orders_diff_release,fac_PMI_diff,fac_PMI_diff_release,fac_PMI_Import_zscore,fac_PMI_Import_zscore_release,fac_PMI_Business_Expectation_diff,fac_PMI_Business_Expectation_diff_release,fac_PMI_Business_Expectation_zscore,fac_PMI_Business_Expectation_zscore_release,fac_PPI_zscore,fac_PPI_zscore_release,fac_PPI_Electrical_Machinery_YoY_diff,fac_PPI_Electrical_Machinery_YoY_diff_release,fac_PPIRM_level,fac_PPIRM_level_release,fac_GDP_Cumulative_YoY_zscore,fac_GDP_Cumulative_YoY_zscore_release,fac_PMI_Input_Price_level,fac_PMI_Input_Price_level_release,fac_GDP_Cumulative_YoY_diff,fac_GDP_Cumulative_YoY_diff_release,fac_Social_Financing_Monthly_diff,fac_Social_Financing_Monthly_diff_release,fac_PPIRM_zscore,fac_PPIRM_zscore_release,fac_PMI_zscore,fac_PMI_zscore_release,fac_PMI_Input_Price_diff,fac_PMI_Input_Price_diff_release,fac_PPI_diff,fac_PPI_diff_release,fac_PPIRM_diff,fac_PPIRM_diff_release,fac_Social_Financing_Monthly_level,fac_Social_Financing_Monthly_level_release,any_effective_release
2016-01-04,33412.02476649656,33614.63351645878,32933.13135749497,33043.64522111074,49552.0,0.0,,0,,0,,1,,1,,1,,1,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,1,,1,,0,,0,,0,1
2016-01-05,33071.27368701466,33568.58607328555,32923.92186886033,33550.16709601628,62922.0,0.015328874024526096,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-06,33448.86272103516,33568.58607328555,33237.04448243831,33301.51090288081,76070.0,-0.00741147405984155,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-07,33209.41601653435,33614.63351645878,33034.43573247606,33181.78755063043,84798.0,-0.003595132743361984,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-08,32969.96931203356,33163.368573361106,32380.56203941618,32794.98902797526,145080.0,-0.011656952539551346,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-11,32730.52260753274,32887.08391432172,31938.506584953182,31975.344539491747,93916.0,-0.024992979500140233,-5.9,1,-13.9,1,,0,,0,,0,,0,,0,,0,,1,,0,-12.0,1,,0,,0,,0,,0,,1,,0,,0,,1,,1,,0,1
2016-01-12,32104.277380376796,32288.467153069716,31818.783232702786,31837.202209972074,90558.0,-0.004320276497695175,-5.9,0,-13.9,0,,0,,0,,0,,0,,0,,0,,0,,0,-12.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-13,31892.459141779935,32233.210221261852,31864.830675876005,31993.763516761057,106582.0,0.004917558576800651,-5.9,0,-13.9,0,,0,,0,,0,,0,,0,,0,,0,,0,-12.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-14,31956.925562222463,32205.581755357918,31588.546016836623,32113.486869011438,131476.0,0.0037420840529642785,-5.9,0,-13.9,0,,0,,0,,0,,0,,0,,0,,0,,0,-12.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-15,32039.810959934293,32481.866414397296,31956.925562222463,32012.18249403034,114292.0,-0.003154574132491761,-5.9,0,-13.9,0,,0,,0,,0,,0,,0,,0,,0,,0,-12.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-18,31699.059880452358,32389.77152805082,31689.850391817723,32177.953289453973,166764.0,0.005178365937859697,-5.9,0,-13.9,0,,0,,0,,0,,0,,0,,0,,0,,0,-12.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-19,32150.324823550047,32748.94158480203,32058.229937203567,32537.123346205168,135076.0,0.011161991986261777,-5.9,0,-13.9,0,,0,,0,,0,,0,,0,,0,,0,,0,-12.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-20,32573.961300743773,32638.4277211863,32187.1627780886,32288.467153069716,102922.0,-0.007642230399094396,-5.9,0,-13.9,0,,0,,0,,0,,0,,0,,0,,0,,0,-12.0,0,,1,,0,,1,,0,,0,,0,,0,,0,,0,,0,0
2016-01-21,32214.79124399256,32454.23794849335,32049.020448568914,32085.8584031075,105654.0,-0.006274957216200749,-5.9,0,-13.9,0,,0,,0,,0,,0,,0,,0,,0,,0,-12.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-22,32187.1627780886,32583.17078937842,32131.905846280737,32426.609482589436,125938.0,0.010619977037888306,-5.9,0,-13.9,0,,0,,0,,0,,0,,0,,0,,0,,0,-12.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-25,32583.17078937842,32620.008743916995,32196.37226672326,32288.467153069716,102992.0,-0.00426015336552199,-5.9,0,-13.9,0,,0,,0,,0,,0,,0,,0,,0,,0,-12.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-26,32233.210221261852,32454.23794849335,32141.11533491537,32362.143062146893,121576.0,0.0022818026240731815,-5.9,0,-13.9,0,,0,,0,,0,,0,,0,,0,,0,,0,-12.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-27,32684.47516435951,33062.06419838001,32509.49488030126,33006.80726657213,208722.0,0.019920318725099584,-5.9,0,-13.9,0,,0,,0,,0,,0,,0,,0,,0,,0,-12.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-28,32868.664937052454,33209.41601653435,32822.617493879196,32831.826982513856,149574.0,-0.0053013392857140795,-5.9,0,-13.9,0,,0,,0,,0,,0,,0,,0,,0,,0,-12.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-29,32859.455448417786,33034.43573247606,32758.15107343668,32905.502891591015,196416.0,0.0022440392706868373,-5.9,0,-13.9,0,,0,,0,,0,,0,,0,,0,,0,,0,-12.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-02-01,32868.664937052454,33062.06419838001,32638.4277211863,32730.52260753274,137634.0,-0.005317660229498866,-5.9,0,-13.9,0,,0,,0,,0,,0,,0,,0,,0,,0,-12.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-02-02,32776.57005070596,32988.38828930283,32656.846698455585,32933.13135749497,105406.0,0.006190208216094728,-5.9,0,-13.9,0,-1.199997,1,-0.5999985,1,-0.79999924,1,,1,,0,,0,,0,,0,-12.0,0,,0,45.1,1,,0,,0,,0,,1,2.699997,1,,0,,0,,0,1
2016-02-03,33043.64522111074,33071.27368701466,32693.684652994147,32979.1788006682,167454.0,0.0013982102908278726,-5.9,0,-13.9,0,-1.199997,0,-0.5999985,0,-0.79999924,0,,0,,0,,0,,0,,0,-12.0,0,,0,45.1,0,,0,,0,,0,,0,2.699997,0,,0,,0,,0,0
2016-02-04,32997.59777793751,33679.0999369013,32951.550334764266,33614.63351645878,218918.0,0.019268360793074146,-5.9,0,-13.9,0,-1.199997,0,-0.5999985,0,-0.79999924,0,,0,,0,,0,,0,,0,-12.0,0,,0,45.1,0,,0,,0,,0,,0,2.699997,0,,0,,0,,0,0
2016-02-05,33522.538630112336,33780.40431188241,33384.396300592634,33623.84300509344,144804.0,0.0002739726027400913,-5.9,0,-13.9,0,-1.199997,0,-0.5999985,0,-0.79999924,0,,0,,0,,0,,0,,0,-12.0,0,,0,45.1,0,,0,,0,,0,,0,2.699997,0,,0,,0,,0,0
2016-02-15,32969.96931203356,33098.90215291857,32702.89414162882,32923.92186886033,190342.0,-0.02081621473568873,-5.9,0,-13.9,0,-1.199997,0,-0.5999985,0,-0.79999924,0,,0,,0,,0,,0,,0,-12.0,0,,0,45.1,0,,0,,0,,0,,0,2.699997,0,,0,,0,,0,0
2016-02-16,32850.24595978313,33163.368573361106,32831.826982513856,32923.92186886033,274046.0,0.0,-5.9,0,-13.9,0,-1.199997,0,-0.5999985,0,-0.79999924,0,,0,,0,,0,,0,,0,-12.0,0,,0,45.1,0,,0,,0,,0,,0,2.699997,0,,0,,0,,0,0
2016-02-17,32933.13135749497,33071.27368701466,32666.05618709023,32675.265675724884,343700.0,-0.007552447552447439,-5.9,0,-13.9,0,-1.199997,0,-0.5999985,0,-0.79999924,0,,0,,0,,0,,0,,0,-12.0,0,,0,45.1,0,,0,,0,,0,,0,2.699997,0,,0,,0,,0,0
2016-02-18,32776.57005070596,32988.38828930283,32739.732096167394,32877.874425687085,251418.0,0.0062006764374289425,-5.9,0,-13.9,0,-1.199997,0,-0.5999985,0,-0.79999924,0,,0,,0,,0,,0,,0,-12.0,0,,0,45.1,0,,0,,0,,0,,0,2.699997,0,,0,,0,,0,0
2016-02-19,32877.874425687085,33181.78755063043,32702.89414162882,33080.48317564931,379600.0,0.006162464985994598,-5.3,1,-12.1,1,-1.199997,0,-0.5999985,0,-0.79999924,0,,0,,0,,0,,1,,0,-10.4,1,,0,45.1,0,,0,,0,,1,,0,2.699997,0,-0.20000005,1,1.6000004,1,,0,1
2016-02-22,32951.550334764266,33504.119652843,32877.874425687085,33476.49118693909,398280.0,0.011971046770601124,-5.3,0,-12.1,0,-1.199997,0,-0.5999985,0,-0.79999924,0,,0,,0,,0,,0,,0,-10.4,0,,0,45.1,0,,0,,0,,0,,0,2.699997,0,-0.20000005,0,1.6000004,0,,0,0
2016-02-23,33568.58607328555,33669.89044826666,33237.04448243831,33338.34885741943,313264.0,-0.004126547455294949,-5.3,0,-12.1,0,-1.199997,0,-0.5999985,0,-0.79999924,0,,0,,0,,0,,0,,0,-10.4,0,,0,45.1,0,,0,,0,,0,,0,2.699997,0,-0.20000005,0,1.6000004,0,,0,0
2016-02-24,33412.02476649656,33412.02476649656,32877.874425687085,32979.1788006682,332556.0,-0.010773480662984003,-5.3,0,-12.1,0,-1.199997,0,-0.5999985,0,-0.79999924,0,,0,,0,,0,,0,,0,-10.4,0,,0,45.1,0,,0,,0,,0,,0,2.699997,0,-0.20000005,0,1.6000004,0,,0,0
2016-02-25,32951.550334764266,33421.234255131225,32859.455448417786,33080.48317564931,408926.0,0.0030717676626639268,-5.3,0,-12.1,0,-1.199997,0,-0.5999985,0,-0.79999924,0,,0,,0,,0,,0,,0,-10.4,0,,0,45.1,0,,0,,0,,0,,0,2.699997,0,-0.20000005,0,1.6000004,0,,0,0
2016-02-26,33172.578061995766,33209.41601653435,32739.732096167394,33006.80726657213,399770.0,-0.0022271714922051933,-5.3,0,-12.1,0,-1.199997,0,-0.5999985,0,-0.79999924,0,,0,,0,,0,,0,,0,-10.4,0,,0,45.1,0,,0,,0,,0,,0,2.699997,0,-0.20000005,0,1.6000004,0,,0,0
2016-02-29,33329.13936878475,33679.0999369013,32841.0364711485,33006.80726657213,693032.0,0.0,-5.3,0,-12.1,0,-1.199997,0,-0.5999985,0,-0.79999924,0,,0,,0,,0,,0,,0,-10.4,0,,0,45.1,0,,0,,0,,0,,0,2.699997,0,-0.20000005,0,1.6000004,0,,0,0
2016-03-01,33200.20652789971,33255.46345970759,32721.313118898102,33117.32113018789,420474.0,0.0033482142857146346,-5.3,0,-12.1,0,-1.199997,0,-0.5999985,0,-0.79999924,0,,0,,0,,0,,0,,0,-10.4,0,,0,45.1,0,,0,,0,,0,,0,2.699997,0,-0.20000005,0,1.6000004,0,,0,0
2016-03-02,33255.46345970759,33918.546641402114,33126.53061882255,33909.33715276746,349666.0,0.02391546162402647,-5.3,0,-12.1,0,-0.6000023,1,0.5,1,-1.2000008,1,,1,,0,,0,,0,,0,-10.4,0,,0,50.2,1,,0,,0,,0,,1,5.1000023,1,-0.20000005,0,1.6000004,0,,0,1
2016-03-03,33808.032777786364,34084.31743682574,33780.40431188241,33927.75613003676,220462.0,0.0005431830526889669,-5.3,0,-12.1,0,-0.6000023,0,0.5,0,-1.2000008,0,,0,,0,,0,,0,,0,-10.4,0,,0,50.2,0,,0,,0,,0,,0,5.1000023,0,-0.20000005,0,1.6000004,0,,0,0
2016-03-04,34065.898459556476,34839.49550486673,33964.59408457534,34802.657550328164,187288.0,0.025787187839305448,-5.3,0,-12.1,0,-0.6000023,0,0.5,0,-1.2000008,0,,0,,0,,0,,0,,0,-10.4,0,,0,50.2,0,,0,,0,,0,,0,5.1000023,0,-0.20000005,0,1.6000004,0,,0,0
2016-03-07,34719.77215261636,35917.00567512033,34544.79186855807,34959.21885711714,219208.0,0.004498544588515285,-5.3,0,-12.1,0,-0.6000023,0,0.5,0,-1.2000008,0,,0,,0,,0,,0,,0,-10.4,0,,0,50.2,0,,0,,0,,0,,0,5.1000023,0,-0.20000005,0,1.6000004,0,,0,0
2016-03-08,35115.780163906114,35428.902777484094,34406.64953903838,34655.30573217382,150826.0,-0.008693361433087299,-5.3,0,-12.1,0,-0.6000023,0,0.5,0,-1.2000008,0,,0,,0,,0,,0,,0,-10.4,0,,0,50.2,0,,0,,0,,0,,0,5.1000023,0,-0.20000005,0,1.6000004,0,,0,0
2016-03-09,34655.30573217382,34821.076527597455,33835.66124369029,34231.66925498008,122816.0,-0.012224289131013033,-5.3,0,-12.1,0,-0.6000023,0,0.5,0,-1.2000008,0,,0,,0,,0,,0,,0,-10.4,0,,0,50.2,0,,0,,0,,0,,0,5.1000023,0,-0.20000005,0,1.6000004,0,,0,0
2016-03-10,34314.55465269191,34563.21084582736,34204.040789076134,34240.87874361472,69518.0,0.00026903416733903285,-5.3,0,-12.1,0,-0.6000023,0,0.5,0,-1.2000008,0,,0,,0,,0,,0,,0,-10.4,0,,0,50.2,0,,0,,0,,0,,0,5.1000023,0,-0.20000005,0,1.6000004,0,,0,0
2016-03-11,34342.183118595865,34618.467777635255,34001.432039113926,34609.258289000565,66932.0,0.01075847229693383,-4.9,1,-10.7,1,-0.6000023,0,0.5,0,-1.2000008,0,,0,,0,,0,,1,,0,-9.1,1,,0,50.2,0,,0,,0,,1,,0,5.1000023,0,-0.100000024,1,1.2999992,1,,0,1
2016-03-14,34507.95391401946,34959.21885711714,34406.64953903838,34600.04880036594,64118.0,-0.0002660989888232379,-4.9,0,-10.7,0,-0.6000023,0,0.5,0,-1.2000008,0,,0,,0,,0,,0,,0,-9.1,0,,0,50.2,0,,0,,0,,0,,0,5.1000023,0,-0.100000024,0,1.2999992,0,,0,0
2016-03-15,34581.62982309662,34590.83931173129,34084.31743682574,34194.83130044152,60012.0,-0.01171147191908406,-4.9,0,-10.7,0,-0.6000023,0,0.5,0,-1.2000008,0,,0,,0,,0,,0,,0,-9.1,0,,0,50.2,0,,0,,0,,0,,0,5.1000023,0,-0.100000024,0,1.2999992,0,,0,0
2016-03-16,34139.574368633635,34507.95391401946,34056.68897092182,34434.27800494232,50670.0,0.007002423915970946,-4.9,0,-10.7,0,-0.6000023,0,0.5,0,-1.2000008,0,,0,,0,,0,,0,,0,-9.1,0,,0,50.2,0,,0,,0,,0,,0,5.1000023,0,-0.100000024,0,1.2999992,0,,0,0
2016-03-17,34379.021073134434,34821.076527597455,34296.1356754226,34793.44806169352,46796.0,0.010430596416153737,-4.9,0,-10.7,0,-0.6000023,0,0.5,0,-1.2000008,0,,0,,0,,0,,0,,0,-9.1,0,,0,50.2,0,,0,,0,,0,,0,5.1000023,0,-0.100000024,0,1.2999992,0,,0,0
2016-03-18,34747.40061852029,35484.15970929198,34728.98164125099,35217.084538887226,75160.0,0.01217575436738949,-4.9,0,-10.7,0,-0.6000023,0,0.5,0,-1.2000008,0,,0,,0,,0,,0,,0,-9.1,0,,0,50.2,0,,0,,0,,0,,0,5.1000023,0,-0.100000024,0,1.2999992,0,,0,0
2016-03-21,35161.82760707935,35585.46408427306,34811.86703896281,35042.10425482894,60780.0,-0.004968619246862094,-4.9,0,-10.7,0,-0.6000023,0,0.5,0,-1.2000008,0,,0,,0,,0,,0,,0,-9.1,0,,0,50.2,0,,0,,0,,0,,0,5.1000023,0,-0.100000024,0,1.2999992,0,,0,0
2016-03-22,35060.52323209827,35253.922493425816,34940.799879847866,35023.68527755966,47440.0,-0.0005256241787118254,-4.9,0,-10.7,0,-0.6000023,0,0.5,0,-1.2000008,0,,0,,0,,0,,0,,0,-9.1,0,,0,50.2,0,,0,,0,,0,,0,5.1000023,0,-0.100000024,0,1.2999992,0,,0,0
2016-03-23,35023.68527755966,35235.50351615654,34931.590391213205,35023.68527755966,46436.0,0.0,-4.9,0,-10.7,0,-0.6000023,0,0.5,0,-1.2000008,0,,0,,0,,0,,0,,0,-9.1,0,,0,50.2,0,,0,,0,,0,,0,5.1000023,0,-0.100000024,0,1.2999992,0,,0,0
2016-03-24,34968.42834575177,34968.42834575177,34397.440050403704,34572.420334462004,68334.0,-0.012884564817249311,-4.9,0,-10.7,0,-0.6000023,0,0.5,0,-1.2000008,0,,0,,0,,0,,0,,0,-9.1,0,,0,50.2,0,,0,,0,,0,,0,5.1000023,0,-0.100000024,0,1.2999992,0,,0,0
