date,open,high,low,close,volume,returns,fac_PPI_All_Industry_YoY_level,fac_PPI_All_Industry_YoY_level_release,fac_PMI_Input_Price_level,fac_PMI_Input_Price_level_release,fac_PMI_New_Export_Orders_diff,fac_PMI_New_Export_Orders_diff_release,fac_PMI_diff,fac_PMI_diff_release,fac_PPI_level,fac_PPI_level_release,fac_PPIRM_level,fac_PPIRM_level_release,fac_PPI_Electrical_Machinery_YoY_zscore,fac_PPI_Electrical_Machinery_YoY_zscore_release,fac_PMI_zscore,fac_PMI_zscore_release,fac_PPIRM_zscore,fac_PPIRM_zscore_release,fac_PPI_Electrical_Machinery_YoY_diff,fac_PPI_Electrical_Machinery_YoY_diff_release,fac_Social_Financing_Monthly_level,fac_Social_Financing_Monthly_level_release,fac_PPI_zscore,fac_PPI_zscore_release,fac_CPI_=100_level,fac_CPI_=100_level_release,fac_PPI_、_level,fac_PPI_、_level_release,fac_PPI_Electrical_Machinery_YoY_level,fac_PPI_Electrical_Machinery_YoY_level_release,fac_Social_Financing_Monthly_zscore,fac_Social_Financing_Monthly_zscore_release,fac_CPI_=100_diff,fac_CPI_=100_diff_release,fac_PMI_Input_Price_zscore,fac_PMI_Input_Price_zscore_release,fac_PMI_New_Export_Orders_zscore,fac_PMI_New_Export_Orders_zscore_release,fac_PPI_All_Industry_YoY_zscore,fac_PPI_All_Industry_YoY_zscore_release,fac_PMI_level,fac_PMI_level_release,fac_PPIRM_diff,fac_PPIRM_diff_release,fac_CPI_=100_zscore,fac_CPI_=100_zscore_release,any_effective_release,ag_effective_pmi_release,ag_effective_pmi_signal_composite
2016-01-20,4512.524562627917,4528.4698791036335,4501.894351644107,4505.880680763035,398.0,-0.0002948113207545955,-5.9,0,,0,,0,,0,-10.5,0,-12.0,0,,0,,0,,0,,0,,0,,0,101.63698,0,-1.9,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0.0
2016-01-21,4528.4698791036335,4537.771313714471,4513.853339000893,4528.4698791036335,396.0,0.005013270421704297,-5.9,0,,0,,0,,0,-10.5,0,-12.0,0,,0,,0,,0,,0,,0,,0,101.63698,0,-1.9,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0.0
2016-01-22,4511.195786254942,4520.497220865776,4491.264140660293,4515.182115373869,496.0,-0.002934272300469498,-5.9,0,,0,,0,,0,-10.5,0,-12.0,0,,0,,0,,0,,0,,0,,0,101.63698,0,-1.9,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0.0
2016-01-25,4524.483549984706,4557.7029593091165,4505.880680763035,4512.524562627917,600.0,-0.0005885815185402432,-5.9,0,,0,,0,,0,-10.5,0,-12.0,0,,0,,0,,0,,0,,0,,0,101.63698,0,-1.9,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0.0
2016-01-26,4533.784984595542,4559.031735682092,4520.497220865776,4559.031735682092,526.0,0.01030624263839841,-5.9,0,,0,,0,,0,-10.5,0,-12.0,0,,0,,0,,0,,0,,0,,0,101.63698,0,-1.9,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0.0
2016-01-27,4559.031735682092,4584.278486768643,4547.072748325304,4574.9770521578075,630.0,0.0034975225881663796,-5.9,0,,0,,0,,0,-10.5,0,-12.0,0,,0,,0,,0,,0,,0,,0,101.63698,0,-1.9,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0.0
2016-01-28,4568.333170292926,4581.620934022691,4551.059077444233,4551.059077444233,398.0,-0.005227998838222336,-5.9,0,,0,,0,,0,-10.5,0,-12.0,0,,0,,0,,0,,0,,0,,0,101.63698,0,-1.9,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0.0
2016-01-29,4552.38785381721,4556.37418293614,4528.4698791036335,4532.456208222564,922.0,-0.004087591240875654,-5.9,0,,0,,0,,0,-10.5,0,-12.0,0,,0,,0,,0,,0,,0,,0,101.63698,0,-1.9,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0.0
2016-02-01,4507.209457136011,4551.059077444233,4507.209457136011,4547.072748325304,252.0,0.0032248607446496713,-5.9,0,,0,,0,,0,-10.5,0,-12.0,0,,0,,0,,0,,0,,0,,0,101.63698,0,-1.9,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0.0
2016-02-02,4549.730301071255,4561.689288428044,4531.127431849588,4533.784984595542,258.0,-0.0029222676797190372,-5.9,0,45.1,1,-0.5999985,1,-0.70000076,1,-10.5,0,-12.0,0,,0,,1,,0,,0,,0,,0,101.63698,0,-1.9,0,,0,,0,,0,,1,,1,,0,51.4,1,,0,,0,1,1,-11.799999
2016-02-03,4539.100090087445,4557.7029593091165,4524.483549984706,4539.100090087445,464.0,0.0011723329425552542,-5.9,0,45.1,0,-0.5999985,0,-0.70000076,0,-10.5,0,-12.0,0,,0,,0,,0,,0,,0,,0,101.63698,0,-1.9,0,,0,,0,,0,,0,,0,,0,51.4,0,,0,,0,0,0,-11.799999
2016-02-04,4551.059077444233,4610.854014228173,4541.757642833398,4605.538908736267,860.0,0.014637002341920669,-5.9,0,45.1,0,-0.5999985,0,-0.70000076,0,-10.5,0,-12.0,0,,0,,0,,0,,0,,0,,0,101.63698,0,-1.9,0,,0,,0,,0,,0,,0,,0,51.4,0,,0,,0,0,0,-11.799999
2016-02-05,4624.141777957935,4648.059752671509,4600.22380324436,4608.196461482219,1356.0,0.0005770340450084177,-5.9,0,45.1,0,-0.5999985,0,-0.70000076,0,-10.5,0,-12.0,0,,0,,0,,0,,0,,0,,0,101.63698,0,-1.9,0,,0,,0,,0,,0,,0,,0,51.4,0,,0,,0,0,0,-11.799999
2016-02-15,4738.416546033907,4775.622284477247,4695.895702098663,4718.484900439261,2040.0,0.023933102652825555,-5.9,0,45.1,0,-0.5999985,0,-0.70000076,0,-10.5,0,-12.0,0,,0,,0,,0,,0,,0,,0,101.63698,0,-1.9,0,,0,,0,,0,,0,,0,,0,51.4,0,,0,,0,0,0,-11.799999
2016-02-16,4719.813676812238,4719.813676812238,4682.607938368898,4706.525913082475,1394.0,-0.002534497324696794,-5.9,0,45.1,0,-0.5999985,0,-0.70000076,0,-10.5,0,-12.0,0,,0,,0,,0,,0,,0,,0,101.63698,0,-1.9,0,,0,,0,,0,,0,,0,,0,51.4,0,,0,,0,0,0,-11.799999
2016-02-17,4714.498571320333,4717.156124066285,4690.580596606757,4709.183465828427,1678.0,0.0005646527385656519,-5.9,0,45.1,0,-0.5999985,0,-0.70000076,0,-10.5,0,-12.0,0,,0,,0,,0,,0,,0,,0,101.63698,0,-1.9,0,,0,,0,,0,,0,,0,,0,51.4,0,,0,,0,0,0,-11.799999
2016-02-18,4709.183465828427,4711.8410185743805,4695.895702098663,4695.895702098663,548.0,-0.0028216704288939187,-5.9,0,45.1,0,-0.5999985,0,-0.70000076,0,-10.5,0,-12.0,0,,0,,0,,0,,0,,0,,0,101.63698,0,-1.9,0,,0,,0,,0,,0,,0,,0,51.4,0,,0,,0,0,0,-11.799999
2016-02-19,4685.265491114851,4723.800005931166,4685.265491114851,4721.142453185214,764.0,0.005376344086021501,-5.3,1,45.1,0,-0.5999985,0,-0.70000076,0,-10.1,1,-10.4,1,,0,,0,,1,,0,,0,,1,101.751816,1,-1.7,1,,0,,0,0.11483765,1,,0,,0,,1,51.4,0,1.6000004,1,,1,1,0,-11.799999
2016-02-22,4723.800005931166,4731.772664169028,4685.265491114851,4685.265491114851,1110.0,-0.007599211933577266,-5.3,0,45.1,0,-0.5999985,0,-0.70000076,0,-10.1,0,-10.4,0,,0,,0,,0,,0,,0,,0,101.751816,0,-1.7,0,,0,,0,0.11483765,0,,0,,0,,0,51.4,0,1.6000004,0,,0,0,0,-11.799999
2016-02-23,4657.361187282348,4689.251820233782,4653.374858163417,4685.265491114851,1166.0,0.0,-5.3,0,45.1,0,-0.5999985,0,-0.70000076,0,-10.1,0,-10.4,0,,0,,0,,0,,0,,0,,0,101.751816,0,-1.7,0,,0,,0,0.11483765,0,,0,,0,,0,51.4,0,1.6000004,0,,0,0,0,-11.799999
2016-02-24,4671.977727385088,4694.566925725686,4671.977727385088,4679.950385622947,1058.0,-0.0011344299489504106,-5.3,0,45.1,0,-0.5999985,0,-0.70000076,0,-10.1,0,-10.4,0,,0,,0,,0,,0,,0,,0,101.751816,0,-1.7,0,,0,,0,0.11483765,0,,0,,0,,0,51.4,0,1.6000004,0,,0,0,0,-11.799999
2016-02-25,4690.580596606757,4730.443887796049,4662.676292774251,4664.00506914723,2556.0,-0.0034071550255536653,-5.3,0,45.1,0,-0.5999985,0,-0.70000076,0,-10.1,0,-10.4,0,,0,,0,,0,,0,,0,,0,101.751816,0,-1.7,0,,0,,0,0.11483765,0,,0,,0,,0,51.4,0,1.6000004,0,,0,0,0,-11.799999
2016-02-26,4661.347516401274,4667.99139826616,4617.497896093054,4632.114436195796,1568.0,-0.006837606837606813,-5.3,0,45.1,0,-0.5999985,0,-0.70000076,0,-10.1,0,-10.4,0,,0,,0,,0,,0,,0,,0,101.751816,0,-1.7,0,,0,,0,0.11483765,0,,0,,0,,0,51.4,0,1.6000004,0,,0,0,0,-11.799999
2016-02-29,4634.7719889417485,4637.4295416877,4512.524562627917,4523.15477361173,4064.0,-0.02352266207687881,-5.3,0,45.1,0,-0.5999985,0,-0.70000076,0,-10.1,0,-10.4,0,,0,,0,,0,,0,,0,,0,101.751816,0,-1.7,0,,0,,0,0.11483765,0,,0,,0,,0,51.4,0,1.6000004,0,,0,0,0,-11.799999
2016-03-01,4540.428866460421,4576.305828530786,4517.839668119821,4565.675617546975,2148.0,0.009400705052879044,-5.3,0,45.1,0,-0.5999985,0,-0.70000076,0,-10.1,0,-10.4,0,,0,,0,,0,,0,,0,,0,101.751816,0,-1.7,0,,0,,0,0.11483765,0,,0,,0,,0,51.4,0,1.6000004,0,,0,0,0,-11.799999
2016-03-02,4565.675617546975,4581.620934022691,4515.182115373869,4535.113760968516,9708.0,-0.0066938300349248525,-5.3,0,50.2,1,0.5,1,-0.9000015,1,-10.1,0,-10.4,0,,0,,1,,0,,0,,0,,0,101.751816,0,-1.7,0,,0,,0,0.11483765,0,,1,,1,,0,50.2,1,1.6000004,0,,0,1,1,-12.950001
2016-03-03,4539.100090087445,4576.305828530786,4532.456208222564,4553.716630190187,4042.0,0.0041019630823326825,-5.3,0,50.2,0,0.5,0,-0.9000015,0,-10.1,0,-10.4,0,,0,,0,,0,,0,,0,,0,101.751816,0,-1.7,0,,0,,0,0.11483765,0,,0,,0,,0,50.2,0,1.6000004,0,,0,0,0,-12.950001
2016-03-04,4560.36051205507,4671.977727385088,4544.415195579352,4658.689963655324,7006.0,0.02305223227312525,-5.3,0,50.2,0,0.5,0,-0.9000015,0,-10.1,0,-10.4,0,,0,,0,,0,,0,,0,,0,101.751816,0,-1.7,0,,0,,0,0.11483765,0,,0,,0,,0,50.2,0,1.6000004,0,,0,0,0,-12.950001
2016-03-07,4669.320174639136,4778.279837223201,4608.196461482219,4734.43021691498,25188.0,0.01625784369652017,-5.3,0,50.2,0,0.5,0,-0.9000015,0,-10.1,0,-10.4,0,,0,,0,,0,,0,,0,,0,101.751816,0,-1.7,0,,0,,0,0.11483765,0,,0,,0,,0,50.2,0,1.6000004,0,,0,0,0,-12.950001
2016-03-08,4768.978402612367,4839.403550380117,4674.635280131041,4703.8683603365225,20978.0,-0.006455234353073158,-5.3,0,50.2,0,0.5,0,-0.9000015,0,-10.1,0,-10.4,0,,0,,0,,0,,0,,0,,0,101.751816,0,-1.7,0,,0,,0,0.11483765,0,,0,,0,,0,50.2,0,1.6000004,0,,0,0,0,-12.950001
2016-03-09,4719.813676812238,4723.800005931166,4590.922368633526,4625.470554330915,12868.0,-0.016666666666666496,-5.3,0,50.2,0,0.5,0,-0.9000015,0,-10.1,0,-10.4,0,,0,,0,,0,,0,,0,,0,101.751816,0,-1.7,0,,0,,0,0.11483765,0,,0,,0,,0,50.2,0,1.6000004,0,,0,0,0,-12.950001
2016-03-10,4620.155448839007,4660.0187400283,4609.525237855196,4624.141777957935,8360.0,-0.00028727377190529424,-5.3,0,50.2,0,0.5,0,-0.9000015,0,-10.1,0,-10.4,0,,0,,0,,0,,0,,0,,0,101.751816,0,-1.7,0,,0,,0,0.11483765,0,,0,,0,,0,50.2,0,1.6000004,0,,0,0,0,-12.950001
2016-03-11,4624.141777957935,4725.128782304145,4597.566250498408,4677.292832876995,15760.0,0.011494252873563982,-4.9,1,50.2,0,0.5,0,-0.9000015,0,-8.1,1,-9.1,1,,0,,0,,1,,0,,0,,1,102.284325,1,-1.7,1,,0,,0,0.53250885,1,,0,,0,,1,50.2,0,1.2999992,1,,1,1,0,-12.950001
2016-03-14,4677.292832876995,4691.909372979736,4644.073423552582,4677.292832876995,9810.0,0.0,-4.9,0,50.2,0,0.5,0,-0.9000015,0,-8.1,0,-9.1,0,,0,,0,,0,,0,,0,,0,102.284325,0,-1.7,0,,0,,0,0.53250885,0,,0,,0,,0,50.2,0,1.2999992,0,,0,0,0,-12.950001
2016-03-15,4691.909372979736,4737.087769660932,4610.854014228173,4624.141777957935,14402.0,-0.01136363636363702,-4.9,0,50.2,0,0.5,0,-0.9000015,0,-8.1,0,-9.1,0,,0,,0,,0,,0,,0,,0,102.284325,0,-1.7,0,,0,,0,0.53250885,0,,0,,0,,0,50.2,0,1.2999992,0,,0,0,0,-12.950001
2016-03-16,4624.141777957935,4637.4295416877,4605.538908736267,4632.114436195796,3880.0,0.0017241379310348748,-4.9,0,50.2,0,0.5,0,-0.9000015,0,-8.1,0,-9.1,0,,0,,0,,0,,0,,0,,0,102.284325,0,-1.7,0,,0,,0,0.53250885,0,,0,,0,,0,50.2,0,1.2999992,0,,0,0,0,-12.950001
2016-03-17,4632.114436195796,4697.22447847164,4602.881355990313,4677.292832876995,15228.0,0.0097532989099256,-4.9,0,50.2,0,0.5,0,-0.9000015,0,-8.1,0,-9.1,0,,0,,0,,0,,0,,0,,0,102.284325,0,-1.7,0,,0,,0,0.53250885,0,,0,,0,,0,50.2,0,1.2999992,0,,0,0,0,-12.950001
2016-03-18,4685.265491114851,4815.485575666541,4685.265491114851,4792.89637732594,33488.0,0.024715909090908372,-4.9,0,50.2,0,0.5,0,-0.9000015,0,-8.1,0,-9.1,0,,0,,0,,0,,0,,0,,0,102.284325,0,-1.7,0,,0,,0,0.53250885,0,,0,,0,,0,50.2,0,1.2999992,0,,0,0,0,-12.950001
2016-03-21,4772.964731731295,4772.964731731295,4706.525913082475,4722.47122955819,21036.0,-0.014693651233712135,-4.9,0,50.2,0,0.5,0,-0.9000015,0,-8.1,0,-9.1,0,,0,,0,,0,,0,,0,,0,102.284325,0,-1.7,0,,0,,0,0.53250885,0,,0,,0,,0,50.2,0,1.2999992,0,,0,0,0,-12.950001
2016-03-22,4727.7863350500975,4800.869035563801,4722.47122955819,4794.225153698919,23874.0,0.015194147439505201,-4.9,0,50.2,0,0.5,0,-0.9000015,0,-8.1,0,-9.1,0,,0,,0,,0,,0,,0,,0,102.284325,0,-1.7,0,,0,,0,0.53250885,0,,0,,0,,0,50.2,0,1.2999992,0,,0,0,0,-12.950001
2016-03-23,4807.512917428682,4807.512917428682,4719.813676812238,4723.800005931166,23756.0,-0.014689578713969476,-4.9,0,50.2,0,0.5,0,-0.9000015,0,-8.1,0,-9.1,0,,0,,0,,0,,0,,0,,0,102.284325,0,-1.7,0,,0,,0,0.53250885,0,,0,,0,,0,50.2,0,1.2999992,0,,0,0,0,-12.950001
2016-03-24,4670.64895101211,4679.950385622947,4637.4295416877,4646.730976298533,28512.0,-0.01631504922644178,-4.9,0,50.2,0,0.5,0,-0.9000015,0,-8.1,0,-9.1,0,,0,,0,,0,,0,,0,,0,102.284325,0,-1.7,0,,0,,0,0.53250885,0,,0,,0,,0,50.2,0,1.2999992,0,,0,0,0,-12.950001
2016-03-25,4664.00506914723,4669.320174639136,4634.7719889417485,4646.730976298533,9964.0,0.0,-4.9,0,50.2,0,0.5,0,-0.9000015,0,-8.1,0,-9.1,0,,0,,0,,0,,0,,0,,0,102.284325,0,-1.7,0,,0,,0,0.53250885,0,,0,,0,,0,50.2,0,1.2999992,0,,0,0,0,-12.950001
2016-03-28,4646.730976298533,4658.689963655324,4634.7719889417485,4642.744647179605,9934.0,-0.0008578781812981218,-4.9,0,50.2,0,0.5,0,-0.9000015,0,-8.1,0,-9.1,0,,0,,0,,0,,0,,0,,0,102.284325,0,-1.7,0,,0,,0,0.53250885,0,,0,,0,,0,50.2,0,1.2999992,0,,0,0,0,-12.950001
2016-03-29,4650.717305417462,4669.320174639136,4616.169119720078,4620.155448839007,21374.0,-0.0048654836863192275,-4.9,0,50.2,0,0.5,0,-0.9000015,0,-8.1,0,-9.1,0,,0,,0,,0,,0,,0,,0,102.284325,0,-1.7,0,,0,,0,0.53250885,0,,0,,0,,0,50.2,0,1.2999992,0,,0,0,0,-12.950001
2016-03-30,4624.141777957935,4670.64895101211,4613.511566974126,4662.676292774251,19408.0,0.009203336209375745,-4.9,0,50.2,0,0.5,0,-0.9000015,0,-8.1,0,-9.1,0,,0,,0,,0,,0,,0,,0,102.284325,0,-1.7,0,,0,,0,0.53250885,0,,0,,0,,0,50.2,0,1.2999992,0,,0,0,0,-12.950001
2016-03-31,4653.374858163417,4666.662621893182,4622.813001584959,4634.7719889417485,14642.0,-0.005984611000284468,-4.9,0,50.2,0,0.5,0,-0.9000015,0,-8.1,0,-9.1,0,,0,,0,,0,,0,,0,,0,102.284325,0,-1.7,0,,0,,0,0.53250885,0,,0,,0,,0,50.2,0,1.2999992,0,,0,0,0,-12.950001
2016-04-01,4674.635280131041,4675.964056504017,4638.758318060678,4649.388529044487,19800.0,0.0031536697247700474,-4.9,0,50.2,0,0.5,0,-0.9000015,0,-8.1,0,-9.1,0,,0,,0,,0,,0,,0,,0,102.284325,0,-1.7,0,,0,,0,0.53250885,0,,0,,0,,0,50.2,0,1.2999992,0,,0,0,0,-12.950001
2016-04-05,4576.305828530786,4598.895026871386,4551.059077444233,4582.949710395668,12432.0,-0.014289797084880873,-4.9,0,55.3,1,2.7999992,1,2.800003,1,-8.1,0,-9.1,0,,0,,1,,0,,0,,0,,0,102.284325,0,-1.7,0,,0,,0,0.53250885,0,,1,,1,,0,52.3,1,1.2999992,0,,0,1,1,-11.9
2016-04-06,4592.251145006502,4606.867685109241,4578.96338127674,4584.278486768643,12510.0,0.00028993911278596407,-4.9,0,55.3,0,2.7999992,0,2.800003,0,-8.1,0,-9.1,0,,0,,0,,0,,0,,0,,0,102.284325,0,-1.7,0,,0,,0,0.53250885,0,,0,,0,,0,52.3,0,1.2999992,0,,0,0,0,-11.9
2016-04-07,4570.99072303888,4604.210132363288,4561.689288428044,4592.251145006502,10530.0,0.0017391304347826875,-4.9,0,55.3,0,2.7999992,0,2.800003,0,-8.1,0,-9.1,0,,0,,0,,0,,0,,0,,0,102.284325,0,-1.7,0,,0,,0,0.53250885,0,,0,,0,,0,52.3,0,1.2999992,0,,0,0,0,-11.9
2016-04-08,4609.525237855196,4632.114436195796,4594.908697752454,4594.908697752454,15868.0,0.0005787037037034981,-4.9,0,55.3,0,2.7999992,0,2.800003,0,-8.1,0,-9.1,0,,0,,0,,0,,0,,0,,0,102.284325,0,-1.7,0,,0,,0,0.53250885,0,,0,,0,,0,52.3,0,1.2999992,0,,0,0,0,-11.9
2016-04-11,4602.881355990313,4658.689963655324,4600.22380324436,4648.059752671509,28578.0,0.01156737998843238,-4.9,0,55.3,0,2.7999992,0,2.800003,0,-8.1,0,-9.1,0,,0,,0,,0,,0,,0,,0,102.284325,0,-1.7,0,,0,,0,0.53250885,0,,0,,0,,0,52.3,0,1.2999992,0,,0,0,0,-11.9
2016-04-12,4689.251820233782,4717.156124066285,4679.950385622947,4717.156124066285,40276.0,0.014865637507147422,-4.3,1,55.3,0,2.7999992,0,2.800003,0,-4.3,1,-7.2117,1,,0,,0,,1,,0,,0,,1,102.30139,1,-1.8,1,,0,,0,0.017066956,1,,0,,0,,1,52.3,0,1.8883004,1,,1,1,0,-11.9
2016-04-13,4737.087769660932,4783.594942715105,4725.128782304145,4737.087769660932,105988.0,0.004225352112676273,-4.3,0,55.3,0,2.7999992,0,2.800003,0,-4.3,0,-7.2117,0,,0,,0,,0,,0,,0,,0,102.30139,0,-1.8,0,,0,,0,0.017066956,0,,0,,0,,0,52.3,0,1.8883004,0,,0,0,0,-11.9
2016-04-14,4754.361862509627,4798.211482817848,4719.813676812238,4743.731651525815,75874.0,0.001402524544179773,-4.3,0,55.3,0,2.7999992,0,2.800003,0,-4.3,0,-7.2117,0,,0,,0,,0,,0,,0,,0,102.30139,0,-1.8,0,,0,,0,0.017066956,0,,0,,0,,0,52.3,0,1.8883004,0,,0,0,0,-11.9
2016-04-15,4749.046757017717,4772.964731731295,4731.772664169028,4759.676968001531,58286.0,0.003361344537814892,-4.3,0,55.3,0,2.7999992,0,2.800003,0,-4.3,0,-7.2117,0,,0,,0,,0,,0,,0,,0,102.30139,0,-1.8,0,,0,,0,0.017066956,0,,0,,0,,0,52.3,0,1.8883004,0,,0,0,0,-11.9
2016-04-18,4750.375533390698,4810.170470174637,4727.7863350500975,4739.745322406885,84760.0,-0.0041876046901172526,-4.3,0,55.3,0,2.7999992,0,2.800003,0,-4.3,0,-7.2117,0,,0,,0,,0,,0,,0,,0,102.30139,0,-1.8,0,,0,,0,0.017066956,0,,0,,0,,0,52.3,0,1.8883004,0,,0,0,0,-11.9
2016-04-19,4776.951060850223,4972.2811876777605,4746.389204271769,4960.322200320971,117264.0,0.04653770675637814,-4.3,0,55.3,0,2.7999992,0,2.800003,0,-4.3,0,-7.2117,0,,0,,0,,0,,0,,0,,0,102.30139,0,-1.8,0,,0,,0,0.017066956,0,,0,,0,,0,52.3,0,1.8883004,0,,0,0,0,-11.9
2016-04-20,5029.418571715746,5106.487601348375,4962.979753066923,5002.843044256216,245970.0,0.008572193945887818,-4.3,0,55.3,0,2.7999992,0,2.800003,0,-4.3,0,-7.2117,0,,0,,0,,0,,0,,0,,0,102.30139,0,-1.8,0,,0,,0,0.017066956,0,,0,,0,,0,52.3,0,1.8883004,0,,0,0,0,-11.9
2016-04-21,5036.0624535806255,5228.735027662208,5013.473255240029,5179.570301862077,265194.0,0.03532536520584273,-4.3,0,55.3,0,2.7999992,0,2.800003,0,-4.3,0,-7.2117,0,,0,,0,,0,,0,,0,,0,102.30139,0,-1.8,0,,0,,0,0.017066956,0,,0,,0,,0,52.3,0,1.8883004,0,,0,0,0,-11.9
