date,open,high,low,close,volume,returns,fac_PPI_All_Industry_YoY_level,fac_PPI_All_Industry_YoY_level_release,fac_PMI_Input_Price_level,fac_PMI_Input_Price_level_release,fac_PMI_New_Export_Orders_diff,fac_PMI_New_Export_Orders_diff_release,fac_PMI_diff,fac_PMI_diff_release,fac_PPI_level,fac_PPI_level_release,fac_PPIRM_level,fac_PPIRM_level_release,fac_PPI_Electrical_Machinery_YoY_zscore,fac_PPI_Electrical_Machinery_YoY_zscore_release,fac_PMI_zscore,fac_PMI_zscore_release,fac_PPIRM_zscore,fac_PPIRM_zscore_release,fac_PPI_Electrical_Machinery_YoY_diff,fac_PPI_Electrical_Machinery_YoY_diff_release,fac_Social_Financing_Monthly_level,fac_Social_Financing_Monthly_level_release,fac_PPI_zscore,fac_PPI_zscore_release,fac_CPI_=100_level,fac_CPI_=100_level_release,fac_PPI_、_level,fac_PPI_、_level_release,fac_PPI_Electrical_Machinery_YoY_level,fac_PPI_Electrical_Machinery_YoY_level_release,fac_Social_Financing_Monthly_zscore,fac_Social_Financing_Monthly_zscore_release,fac_CPI_=100_diff,fac_CPI_=100_diff_release,fac_PMI_Input_Price_zscore,fac_PMI_Input_Price_zscore_release,fac_PMI_New_Export_Orders_zscore,fac_PMI_New_Export_Orders_zscore_release,fac_PPI_All_Industry_YoY_zscore,fac_PPI_All_Industry_YoY_zscore_release,fac_PMI_level,fac_PMI_level_release,fac_PPIRM_diff,fac_PPIRM_diff_release,fac_CPI_=100_zscore,fac_CPI_=100_zscore_release,any_effective_release,ag_effective_pmi_release,ag_effective_pmi_signal_composite
2016-01-04,4476.647600557554,4495.250469779224,4431.469203876357,4491.264140660293,442.0,0.0,,0,,1,,1,,1,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,0,,1,,0,,0,1,1,0.0
2016-01-05,4480.633929676483,4517.839668119821,4467.346165946721,4504.5519043900595,950.0,0.002958579881657153,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0.0
2016-01-06,4515.182115373869,4517.839668119821,4479.305153303505,4505.880680763035,636.0,0.00029498525073723414,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0.0
2016-01-07,4509.867009881965,4596.237474125433,4492.59291703327,4560.36051205507,1962.0,0.012090828664111264,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0.0
2016-01-08,4570.99072303888,4600.22380324436,4543.086419206376,4557.7029593091165,504.0,-0.0005827505827507018,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0.0
2016-01-11,4544.415195579352,4553.716630190187,4520.497220865776,4547.072748325304,1060.0,-0.0023323615160352196,-5.9,1,,0,,0,,0,-10.5,1,-12.0,1,,0,,0,,1,,0,,0,,1,101.63698,1,-1.9,1,,0,,0,,1,,0,,0,,1,,0,,1,,1,1,0,0.0
2016-01-12,4547.072748325304,4547.072748325304,4464.688613200766,4466.0173895737435,984.0,-0.01782583284628847,-5.9,0,,0,,0,,0,-10.5,0,-12.0,0,,0,,0,,0,,0,,0,,0,101.63698,0,-1.9,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0.0
2016-01-13,4456.715954962908,4466.0173895737435,4440.770638487192,4446.085743979096,486.0,-0.0044629574531391825,-5.9,0,,0,,0,,0,-10.5,0,-12.0,0,,0,,0,,0,,0,,0,,0,101.63698,0,-1.9,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0.0
2016-01-14,4450.072073098025,4516.510891746846,4450.072073098025,4503.223128017083,544.0,0.012851165570830991,-5.9,0,,0,,0,,0,-10.5,0,-12.0,0,,0,,0,,0,,0,,0,,0,101.63698,0,-1.9,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0.0
2016-01-15,4479.305153303505,4493.921693406247,4467.346165946721,4473.990047811601,328.0,-0.006491590439657968,-5.9,0,,0,,0,,0,-10.5,0,-12.0,0,,0,,0,,0,,0,,0,,0,101.63698,0,-1.9,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0.0
2016-01-18,4484.620258795412,4515.182115373869,4479.305153303505,4479.305153303505,194.0,0.0011880011880009977,-5.9,0,,0,,0,,0,-10.5,0,-12.0,0,,0,,0,,0,,0,,0,,0,101.63698,0,-1.9,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0.0
2016-01-19,4485.949035168388,4511.195786254942,4481.96270604946,4507.209457136011,176.0,0.006229605458321297,-5.9,0,,0,,0,,0,-10.5,0,-12.0,0,,0,,0,,0,,0,,0,,0,101.63698,0,-1.9,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0.0
