date,open,high,low,close,volume,returns,fac_PPIRM_纺织原料类_全国_当期同比增长率_月_zscore,fac_PPIRM_纺织原料类_全国_当期同比增长率_月_zscore_release,fac_Social_Financing_Monthly_diff,fac_Social_Financing_Monthly_diff_release,fac_Social_Financing_Monthly_zscore,fac_Social_Financing_Monthly_zscore_release,fac_PMI_Raw_Material_Inventory_diff,fac_PMI_Raw_Material_Inventory_diff_release,fac_PMI_Raw_Material_Inventory_level,fac_PMI_Raw_Material_Inventory_level_release,fac_PMI_Business_Expectation_diff,fac_PMI_Business_Expectation_diff_release,fac_PPI_纺织业_全国_当期同比增长率_月_zscore,fac_PPI_纺织业_全国_当期同比增长率_月_zscore_release,fac_Social_Financing_Monthly_level,fac_Social_Financing_Monthly_level_release,fac_制造业采购经理指数PMI_生产_zscore,fac_制造业采购经理指数PMI_生产_zscore_release,any_effective_release
2016-01-04,3574.514273890865,3593.2617263763086,3522.958779555901,3529.2079303843816,18820.0,0.0,,0,,0,,0,,1,,1,,0,,0,,0,,1,0
2016-01-05,3526.083354970142,3569.827410769506,3526.083354970142,3569.827410769506,21944.0,0.011509517485613463,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-06,3558.8913968196653,3576.0765615979867,3532.3325057986217,3544.8308074555835,23286.0,-0.0070021881838076006,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-07,3507.335902484702,3541.7062320413424,3501.0867516562193,3512.022765606061,30256.0,-0.009255178492727945,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-08,3508.898190191821,3524.521067263022,3485.463874585019,3508.898190191821,27080.0,-0.000889679715302405,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-11,3508.898190191821,3522.958779555901,3474.5278606351794,3480.777011463659,29520.0,-0.008014247551201947,,1,,0,,0,,0,,0,,0,,1,,0,,0,0
2016-01-12,3476.0901483422986,3493.2753131206196,3365.167721136768,3371.416871965248,39018.0,-0.03141831238779225,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-13,3387.0397490364503,3418.2855031788536,3369.8545842581298,3380.7905982079697,32756.0,0.002780352177942813,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-14,3390.1643244506904,3399.5380506934102,3352.669419479807,3368.2922965510083,60828.0,-0.003696857670979714,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-15,3358.918570308288,3393.288899864931,3358.918570308288,3365.167721136768,44062.0,-0.0009276437847867136,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-18,3327.672816165885,3372.9791596723685,3321.423665337404,3372.9791596723685,60858.0,0.002321262766945331,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-19,3374.5414473794885,3441.7198187856548,3365.167721136768,3429.221517128695,53136.0,0.01667438628994944,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-20,3427.6592294215734,3437.032955664294,3383.9151736222107,3387.0397490364503,43082.0,-0.012300683371298637,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-21,3383.9151736222107,3429.221517128695,3383.9151736222107,3404.2249138147727,40392.0,0.005073800738007561,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-22,3404.2249138147727,3469.840997513818,3402.6626261076503,3458.904983563976,65446.0,0.016062413951353438,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-25,3468.2787098066974,3483.9015868778993,3444.8443941998953,3463.5918466853363,37238.0,0.0013550135501354532,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-26,3452.6558327354956,3457.3426958568566,3426.0969417144543,3441.7198187856548,36528.0,-0.006314839873703071,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-27,3457.3426958568566,3482.3392991707788,3447.968969614136,3482.3392991707788,37918.0,0.011802088061734217,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-28,3483.9015868778993,3485.463874585019,3444.8443941998953,3444.8443941998953,31972.0,-0.010767160161507472,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-29,3458.904983563976,3488.58844999926,3446.4066819070154,3479.2147237565378,52654.0,0.009977324263038323,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-02-01,3480.777011463659,3496.3998885348597,3454.218120442616,3455.7804081497356,34140.0,-0.006735518634934934,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-02-02,3452.6558327354956,3468.2787098066974,3441.7198187856548,3462.029558978216,37928.0,0.0018083182640142859,,0,,0,,0,-0.79999924,1,46.8,1,,0,,0,,0,,1,0
2016-02-03,3462.029558978216,3463.5918466853363,3432.3460925429345,3452.6558327354956,38486.0,-0.0027075812274366395,,0,,0,,0,-0.79999924,0,46.8,0,,0,,0,,0,,0,0
2016-02-04,3446.4066819070154,3515.1473410203016,3446.4066819070154,3513.585053313181,37686.0,0.01764705882352957,,0,,0,,0,-0.79999924,0,46.8,0,,0,,0,,0,,0,0
2016-02-05,3501.0867516562193,3532.3325057986217,3491.7130254134986,3526.083354970142,31810.0,0.0035571365051132453,,0,,0,,0,-0.79999924,0,46.8,0,,0,,0,,0,,0,0
2016-02-15,3521.3964918487827,3551.0799582840646,3504.2113270704594,3537.0193689199828,32778.0,0.003101462117855558,,0,,0,,0,-0.79999924,0,46.8,0,,0,,0,,0,,0,0
2016-02-16,3552.642245991184,3552.642245991184,3526.083354970142,3533.8947935057427,37180.0,-0.0008833922261484162,,0,,0,,0,-0.79999924,0,46.8,0,,0,,0,,0,,0,0
2016-02-17,3529.2079303843816,3530.770218091503,3502.6490393633403,3505.773614777581,34400.0,-0.007957559681697424,,0,,0,,0,-0.79999924,0,46.8,0,,0,,0,,0,,0,0
2016-02-18,3518.2719164345417,3547.955382869823,3515.1473410203016,3521.3964918487827,29758.0,0.004456327985739916,,0,,0,,0,-0.79999924,0,46.8,0,,0,,0,,0,,0,0
2016-02-19,3526.083354970142,3549.517670576945,3508.898190191821,3537.0193689199828,53104.0,0.004436557231587868,,1,,0,,0,-0.79999924,0,46.8,0,,0,,1,,0,,0,0
2016-02-22,3535.4570812128622,3569.827410769506,3519.8342041416618,3546.3930951627053,70076.0,0.0026501766784456926,,0,,0,,0,-0.79999924,0,46.8,0,,0,,0,,0,,0,0
2016-02-23,3560.4536845267853,3577.6388493051077,3530.770218091503,3538.581656627103,78060.0,-0.0022026431718067396,,0,,0,,0,-0.79999924,0,46.8,0,,0,,0,,0,,0,0
2016-02-24,3543.268519748463,3547.955382869823,3513.585053313181,3518.2719164345417,85606.0,-0.005739514348785724,,0,,0,,0,-0.79999924,0,46.8,0,,0,,0,,0,,0,0
2016-02-25,3515.1473410203016,3546.3930951627053,3507.335902484702,3524.521067263022,81786.0,0.001776198934280604,,0,,0,,0,-0.79999924,0,46.8,0,,0,,0,,0,,0,0
2016-02-26,3524.521067263022,3530.770218091503,3446.4066819070154,3471.4032852209366,104434.0,-0.015070921985815833,,0,,0,,0,-0.79999924,0,46.8,0,,0,,0,,0,,0,0
