date,open,high,low,close,volume,returns,fac_PPI_化学原料及化学制品制造业_全国_当期同比增长率_月_level,fac_PPI_化学原料及化学制品制造业_全国_当期同比增长率_月_level_release,fac_PPI_橡胶和塑料制品业_全国_当期同比增长率_月_level,fac_PPI_橡胶和塑料制品业_全国_当期同比增长率_月_level_release,fac_PPI_交通运输设备制造业_全国_当期同比增长率_月_level,fac_PPI_交通运输设备制造业_全国_当期同比增长率_月_level_release,fac_PPIRM_化工原料类_全国_当期同比增长率_月_level,fac_PPIRM_化工原料类_全国_当期同比增长率_月_level_release,fac_PMI_Raw_Material_Inventory_diff,fac_PMI_Raw_Material_Inventory_diff_release,fac_居民交通工具消费价格指数CPI_上年=100_当月_level,fac_居民交通工具消费价格指数CPI_上年=100_当月_level_release,fac_PMI_Business_Expectation_level,fac_PMI_Business_Expectation_level_release,fac_PPI_汽车制造业_全国_当期同比增长率_月_level,fac_PPI_汽车制造业_全国_当期同比增长率_月_level_release,fac_制造业采购经理指数PMI_新出口订单_diff,fac_制造业采购经理指数PMI_新出口订单_diff_release,fac_PMI_Input_Price_diff,fac_PMI_Input_Price_diff_release,fac_制造业采购经理指数PMI_进口_diff,fac_制造业采购经理指数PMI_进口_diff_release,fac_PPI_交通运输设备制造业_全国_当期同比增长率_月_zscore,fac_PPI_交通运输设备制造业_全国_当期同比增长率_月_zscore_release,fac_居民交通工具消费价格指数CPI_上年=100_当月_zscore,fac_居民交通工具消费价格指数CPI_上年=100_当月_zscore_release,fac_PMI_New_Orders_level,fac_PMI_New_Orders_level_release,fac_PMI_Business_Expectation_diff,fac_PMI_Business_Expectation_diff_release,fac_PPI_橡胶和塑料制品业_全国_当期同比增长率_月_diff,fac_PPI_橡胶和塑料制品业_全国_当期同比增长率_月_diff_release,any_effective_release
2016-01-04,33153.835897516416,33250.306807014524,32510.69650086237,32671.48135002588,208.0,0.0,,0,,0,,0,,0,,1,,0,,0,,0,,1,,1,,1,,0,,0,,1,,0,,0,1
2016-01-05,32832.266199189384,32832.266199189384,32349.91165169885,32800.109229356676,132.0,0.003937007874015297,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-06,32639.32438019318,32816.18771427303,32494.618015946016,32735.795289691287,126.0,-0.001960784313725039,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-07,32623.24589527682,32960.89407852019,32382.068621531544,32671.48135002588,122.0,-0.0019646365422397727,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-08,32510.69650086237,32880.50165393845,32382.068621531544,32719.716804774936,74.0,0.001476377952756014,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-11,32848.344684105745,32928.73710868751,32044.42043828818,32044.42043828818,194.0,-0.02063882063882072,-6.9,1,-3.6,1,-0.5,1,-7.0,1,,0,97.7694,1,,0,-1.2,1,,0,,0,,0,,1,,1,,0,,0,,1,1
2016-01-12,31851.478619291953,32124.812862869934,31497.751951132235,31610.30134554669,130.0,-0.013547415955845632,-6.9,0,-3.6,0,-0.5,0,-7.0,0,,0,97.7694,0,,0,-1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-13,32092.655893037227,32333.833166782504,31947.94952879006,32285.59771203345,202.0,0.021363173957273718,-6.9,0,-3.6,0,-0.5,0,-7.0,0,,0,97.7694,0,,0,-1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-14,32173.048317618977,32365.990136615208,31803.2431645429,32365.990136615208,62.0,0.002490039840637559,-6.9,0,-3.6,0,-0.5,0,-7.0,0,,0,97.7694,0,,0,-1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-15,32205.205287451692,32623.24589527682,32012.26346845547,32012.26346845547,294.0,-0.010928961748634225,-6.9,0,-3.6,0,-0.5,0,-7.0,0,,0,97.7694,0,,0,-1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-18,30542.270432706293,32967.6860258918,30542.270432706293,32832.94071515927,2668.0,0.025636339258312324,-6.9,0,-3.6,0,-0.5,0,-7.0,0,,0,97.7694,0,,0,-1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-19,32773.053910389266,33806.10129267197,32728.138806811745,33746.214487901954,3912.0,0.027815777473780168,-6.9,0,-3.6,0,-0.5,0,-7.0,0,,0,97.7694,0,,0,-1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-20,33851.01639624949,33865.98809744199,33252.14834854935,33491.69556762941,1832.0,-0.007542147293699841,-6.9,0,-3.6,0,-0.5,0,-7.0,0,,0,97.7694,0,,0,-1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-21,33282.09175093437,33551.582372399425,33252.14834854935,33297.06345212687,1546.0,-0.0058113544926239324,-6.9,0,-3.6,0,-0.5,0,-7.0,0,,0,97.7694,0,,0,-1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-22,33416.83706166689,33970.7900057895,33312.035153319375,33865.98809744199,1360.0,0.01708633093525158,-6.9,0,-3.6,0,-0.5,0,-7.0,0,,0,97.7694,0,,0,-1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-25,34045.648511752035,34150.45042009956,33611.46917716944,33791.12959147949,1142.0,-0.002210433244915433,-6.9,0,-3.6,0,-0.5,0,-7.0,0,,0,97.7694,0,,0,-1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-26,33611.46917716944,33731.24278670946,33491.69556762941,33491.69556762941,1762.0,-0.008861320336730705,-6.9,0,-3.6,0,-0.5,0,-7.0,0,,0,97.7694,0,,0,-1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-27,33731.24278670946,34150.45042009956,33641.41257955444,34135.47871890705,1986.0,0.019222172552525896,-6.9,0,-3.6,0,-0.5,0,-7.0,0,,0,97.7694,0,,0,-1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-28,34075.59191413703,34180.39382248455,33506.667268821926,33596.49747597694,2250.0,-0.015789473684210464,-6.9,0,-3.6,0,-0.5,0,-7.0,0,,0,97.7694,0,,0,-1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-01-29,33611.46917716944,33910.90320101949,33446.78046405189,33716.27108551696,2112.0,0.0035650623885916666,-6.9,0,-3.6,0,-0.5,0,-7.0,0,,0,97.7694,0,,0,-1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-02-01,33806.10129267197,33985.76170698201,33536.61067120692,33776.15789028697,962.0,0.001776198934280826,-6.9,0,-3.6,0,-0.5,0,-7.0,0,,0,97.7694,0,,0,-1.2,0,,0,,0,,0,,0,,0,,0,,0,,0,0
2016-02-02,33746.214487901954,33791.12959147949,33416.83706166689,33776.15789028697,1082.0,0.0,-6.9,0,-3.6,0,-0.5,0,-7.0,0,-0.79999924,1,97.7694,0,,0,-1.2,0,-0.5999985,1,2.699997,1,-1.199997,1,,0,,0,49.5,1,,0,,0,1
2016-02-03,33776.15789028697,33776.15789028697,33446.78046405189,33671.35598193945,600.0,-0.003102836879432691,-6.9,0,-3.6,0,-0.5,0,-7.0,0,-0.79999924,0,97.7694,0,,0,-1.2,0,-0.5999985,0,2.699997,0,-1.199997,0,,0,,0,49.5,0,,0,,0,0
2016-02-04,33701.299384324455,34360.05423679459,33656.38428074695,34315.139133217075,1672.0,0.019119608714984304,-6.9,0,-3.6,0,-0.5,0,-7.0,0,-0.79999924,0,97.7694,0,,0,-1.2,0,-0.5999985,0,2.699997,0,-1.199997,0,,0,,0,49.5,0,,0,,0,0
2016-02-05,34180.39382248455,34270.22402963956,33940.84660340449,34030.67681055953,646.0,-0.008289703315880859,-6.9,0,-3.6,0,-0.5,0,-7.0,0,-0.79999924,0,97.7694,0,,0,-1.2,0,-0.5999985,0,2.699997,0,-1.199997,0,,0,,0,49.5,0,,0,,0,0
2016-02-15,33895.93149982699,34869.0920773397,33701.299384324455,34869.0920773397,1376.0,0.024637043554773363,-6.9,0,-3.6,0,-0.5,0,-7.0,0,-0.79999924,0,97.7694,0,,0,-1.2,0,-0.5999985,0,2.699997,0,-1.199997,0,,0,,0,49.5,0,,0,,0,0
2016-02-16,34854.120376147184,35108.63929641974,34569.65805348963,34734.34676660716,3642.0,-0.0038643194504083267,-6.9,0,-3.6,0,-0.5,0,-7.0,0,-0.79999924,0,97.7694,0,,0,-1.2,0,-0.5999985,0,2.699997,0,-1.199997,0,,0,,0,49.5,0,,0,,0,0
2016-02-17,34689.43166302966,34749.31846779967,34360.05423679459,34434.91274275711,1100.0,-0.008620689655172153,-6.9,0,-3.6,0,-0.5,0,-7.0,0,-0.79999924,0,97.7694,0,,0,-1.2,0,-0.5999985,0,2.699997,0,-1.199997,0,,0,,0,49.5,0,,0,,0,0
2016-02-18,34434.91274275711,34928.97888210971,34434.91274275711,34704.40336422216,1152.0,0.00782608695652165,-6.9,0,-3.6,0,-0.5,0,-7.0,0,-0.79999924,0,97.7694,0,,0,-1.2,0,-0.5999985,0,2.699997,0,-1.199997,0,,0,,0,49.5,0,,0,,0,0
2016-02-19,34704.40336422216,35318.2431131148,34554.686352297125,35318.2431131148,1712.0,0.017687661777394448,-6.3,1,-3.0,1,-1.0,1,-5.7,1,-0.79999924,0,97.8,1,,0,-1.1,1,-0.5999985,0,2.699997,0,-1.199997,0,,1,,1,49.5,0,,0,0.5999999,1,1
