date,open,high,low,close,volume,returns,fac_Social_Financing_Monthly_zscore,fac_Social_Financing_Monthly_zscore_release,fac_PMI_Raw_Material_Inventory_diff,fac_PMI_Raw_Material_Inventory_diff_release,fac_Social_Financing_Monthly_diff,fac_Social_Financing_Monthly_diff_release,fac_PMI_level,fac_PMI_level_release,fac_Social_Financing_Monthly_level,fac_Social_Financing_Monthly_level_release,fac_PMI_Raw_Material_Inventory_zscore,fac_PMI_Raw_Material_Inventory_zscore_release,fac_PMI_Raw_Material_Inventory_level,fac_PMI_Raw_Material_Inventory_level_release,fac_Non_Mfg_PMI_Constr_Expectation_level,fac_Non_Mfg_PMI_Constr_Expectation_level_release,fac_PPI_level,fac_PPI_level_release,fac_PMI_Business_Expectation_zscore,fac_PMI_Business_Expectation_zscore_release,fac_PMI_diff,fac_PMI_diff_release,fac_Non_Mfg_PMI_Constr_Expectation_diff,fac_Non_Mfg_PMI_Constr_Expectation_diff_release,fac_PPIRM_level,fac_PPIRM_level_release,fac_PMI_Business_Expectation_level,fac_PMI_Business_Expectation_level_release,fac_PPI_diff,fac_PPI_diff_release,fac_PMI_Input_Price_zscore,fac_PMI_Input_Price_zscore_release,fac_PPIRM_diff,fac_PPIRM_diff_release,any_effective_release
2016-01-19,184.81467791677403,185.9715773090543,183.22394125238867,185.53774003694915,158360.0,0.003912363067292368,,0,,0,,0,,0,,0,,0,,0,,0,-20.8,0,,0,,0,,0,-13.6,0,,0,,0,,0,,0,0
2016-01-20,185.53774003694915,185.82696488501927,182.79010398028353,183.22394125238867,159460.0,-0.012470771628994126,,0,,0,,0,,0,,0,,0,,0,,0,-20.8,0,,0,,0,,0,-13.6,0,,0,,0,,0,,0,0
2016-01-21,183.07932882835362,185.2485151888793,181.63320458800328,184.23622822063396,161820.0,0.005524861878453358,,0,,0,,0,,0,,0,,0,,0,,0,-20.8,0,,0,,0,,0,-13.6,0,,0,,0,,0,,0,0
2016-01-22,184.67006549273907,188.71921336571998,183.36855367642366,186.83925185326456,302786.0,0.01412872841444246,,0,,0,,0,,0,,0,,0,,0,,0,-20.8,0,,0,,0,,0,-13.6,0,,0,,0,,0,,0,0
2016-01-25,187.12847670133453,189.2976630618602,186.26080215712443,186.55002700519444,182216.0,-0.0015479876160993111,,0,,0,,0,,0,,0,,0,,0,,0,-20.8,0,,0,,0,,0,-13.6,0,,0,,0,,0,,0,0
2016-01-26,185.82696488501927,187.7069263974747,185.2485151888793,187.27308912536972,146142.0,0.003875968992248735,,0,,0,,0,,0,,0,,0,,0,,0,-20.8,0,,0,,0,,0,-13.6,0,,0,,0,,0,,0,0
2016-01-27,187.7069263974747,189.2976630618602,186.55002700519444,188.86382578975497,160500.0,0.008494208494207678,,0,,0,,0,,0,,0,,0,,0,,0,-20.8,0,,0,,0,,0,-13.6,0,,0,,0,,0,,0,0
2016-01-28,188.71921336571998,189.00843821379,185.82696488501927,186.40541458115948,127382.0,-0.013016845329249072,,0,,0,,0,,0,,0,,0,,0,,0,-20.8,0,,0,,0,,0,-13.6,0,,0,,0,,0,,0,0
2016-01-29,186.40541458115948,187.12847670133453,184.0916157965989,184.9592903408092,144602.0,-0.007757951900697946,,0,,0,,0,,0,,0,,0,,0,,0,-20.8,0,,0,,0,,0,-13.6,0,,0,,0,,0,,0,0
2016-02-01,184.5254530687039,187.99615124554487,184.5254530687039,185.9715773090543,137850.0,0.005473025801406628,,0,,0,,0,,0,,0,,0,,0,,0,-20.8,0,,0,,0,,0,-13.6,0,,0,,0,,0,,0,0
2016-02-02,185.9715773090543,186.55002700519444,185.2485151888793,185.68235246098428,64974.0,-0.0015552099533434616,,0,-0.79999924,1,,0,,0,,0,,1,46.8,1,,0,-20.8,0,,0,-0.70000076,1,,0,-13.6,0,,0,,0,,1,,0,1
2016-02-03,186.11618973308933,186.55002700519444,185.2485151888793,186.40541458115948,56478.0,0.003894080996884819,,0,-0.79999924,0,,0,,0,,0,,0,46.8,0,,0,-20.8,0,,0,-0.70000076,0,,0,-13.6,0,,0,,0,,0,,0,0
2016-02-04,186.26080215712443,188.574600941685,186.11618973308933,187.85153882150973,126700.0,0.007757951900697835,,0,-0.79999924,0,,0,,0,,0,,0,46.8,0,,0,-20.8,0,,0,-0.70000076,0,,0,-13.6,0,,0,,0,,0,,0,0
2016-02-05,187.99615124554487,188.14076366957977,185.1039027648441,185.53774003694915,72672.0,-0.01231716705157837,,0,-0.79999924,0,,0,,0,,0,,0,46.8,0,,0,-20.8,0,,0,-0.70000076,0,,0,-13.6,0,,0,,0,,0,,0,0
2016-02-15,184.81467791677403,187.56231397343967,182.79010398028353,185.68235246098428,93436.0,0.00077942322681257,,0,-0.79999924,0,,0,,0,,0,,0,46.8,0,,0,-20.8,0,,0,-0.70000076,0,,0,-13.6,0,,0,,0,,0,,0,0
2016-02-16,185.82696488501927,190.45456245414033,185.82696488501927,190.0207251820353,238846.0,0.02336448598130847,,0,-0.79999924,0,,0,,0,,0,,0,46.8,0,,0,-20.8,0,,0,-0.70000076,0,,0,-13.6,0,,0,,0,,0,,0,0
2016-02-17,190.0207251820353,191.3222369983506,188.86382578975497,189.15305063782503,193194.0,-0.004566210045662489,,0,-0.79999924,0,,0,,0,,0,,0,46.8,0,,0,-20.8,0,,0,-0.70000076,0,,0,-13.6,0,,0,,0,,0,,0,0
2016-02-18,189.44227548589512,190.45456245414033,188.2853760936148,190.30995003010543,107708.0,0.00611620795107104,,0,-0.79999924,0,,0,,0,,0,,0,46.8,0,,0,-20.8,0,,0,-0.70000076,0,,0,-13.6,0,,0,,0,,0,,0,0
2016-02-19,190.30995003010543,193.92526063098126,189.7315003339653,193.2021985108061,210776.0,0.015197568389057725,,0,-0.79999924,0,,0,,0,,0,,0,46.8,0,,0,-19.0,1,,0,-0.70000076,0,,0,-13.6,1,,0,-1.2999992,1,,0,0.0,1,0
2016-02-22,192.91297366273605,199.5651451683476,192.04529911852592,199.5651451683476,314672.0,0.03293413173652682,,0,-0.79999924,0,,0,,0,,0,,0,46.8,0,,0,-19.0,0,,0,-0.70000076,0,,0,-13.6,0,,0,-1.2999992,0,,0,0.0,0,0
2016-02-23,199.5651451683476,202.7466184971184,197.97440850396234,199.99898244045272,304090.0,0.0021739130434783593,,0,-0.79999924,0,,0,,0,,0,,0,46.8,0,,0,-19.0,0,,0,-0.70000076,0,,0,-13.6,0,,0,-1.2999992,0,,0,0.0,0,0
2016-02-24,200.28820728852278,205.34964212974893,198.84208304817238,204.0481303134336,456038.0,0.020245842371655387,,0,-0.79999924,0,,0,,0,,0,,0,46.8,0,,0,-19.0,0,,0,-0.70000076,0,,0,-13.6,0,,0,-1.2999992,0,,0,0.0,0,0
2016-02-25,204.0481303134336,204.62658000957384,201.4451066808031,202.7466184971184,339488.0,-0.006378454996455951,,0,-0.79999924,0,,0,,0,,0,,0,46.8,0,,0,-19.0,0,,0,-0.70000076,0,,0,-13.6,0,,0,-1.2999992,0,,0,0.0,0,0
2016-02-26,203.03584334518845,203.9035178893987,198.84208304817238,202.89123092115335,369686.0,0.0007132667617686383,,0,-0.79999924,0,,0,,0,,0,,0,46.8,0,,0,-19.0,0,,0,-0.70000076,0,,0,-13.6,0,,0,-1.2999992,0,,0,0.0,0,0
2016-02-29,203.32506819325852,206.07270424992407,200.43281971255774,205.92809182588908,405854.0,0.014967925873129007,,0,-0.79999924,0,,0,,0,,0,,0,46.8,0,,0,-19.0,0,,0,-0.70000076,0,,0,-13.6,0,,0,-1.2999992,0,,0,0.0,0,0
2016-03-01,207.2296036422044,207.3742160662394,203.46968061729362,205.34964212974893,390972.0,-0.002808988764045006,,0,-0.79999924,0,,0,,0,,0,,0,46.8,0,,0,-19.0,0,,0,-0.70000076,0,,0,-13.6,0,,0,-1.2999992,0,,0,0.0,0,0
2016-03-02,205.34964212974893,205.78347940185418,203.46968061729362,205.34964212974893,280908.0,0.0,,0,1.2000008,1,,0,,0,,0,,1,48.0,1,,0,-19.0,0,,0,-0.9000015,1,,0,-13.6,0,,0,-1.2999992,0,,1,0.0,0,1
2016-03-03,205.06041728167892,207.51882849027436,202.89123092115335,203.03584334518845,307740.0,-0.011267605633802469,,0,1.2000008,0,,0,,0,,0,,0,48.0,0,,0,-19.0,0,,0,-0.9000015,0,,0,-13.6,0,,0,-1.2999992,0,,0,0.0,0,0
2016-03-04,203.18045576922339,204.62658000957384,200.43281971255774,204.0481303134336,382976.0,0.004985754985754598,,0,1.2000008,0,,0,,0,,0,,0,48.0,0,,0,-19.0,0,,0,-0.9000015,0,,0,-13.6,0,,0,-1.2999992,0,,0,0.0,0,0
2016-03-07,204.4819675855387,210.84491424308035,204.4819675855387,210.84491424308035,331190.0,0.033309709425939804,,0,1.2000008,0,,0,,0,,0,,0,48.0,0,,0,-19.0,0,,0,-0.9000015,0,,0,-13.6,0,,0,-1.2999992,0,,0,0.0,0,0
2016-03-08,221.25700877360276,221.25700877360276,205.63886697781894,217.49708574869186,921452.0,0.031550068587105295,,0,1.2000008,0,,0,,0,,0,,0,48.0,0,,0,-19.0,0,,0,-0.9000015,0,,0,-13.6,0,,0,-1.2999992,0,,0,0.0,0,0
2016-03-09,212.43565090746569,213.15871302764094,206.94037879413432,208.82034030658969,706954.0,-0.03989361702127703,,0,1.2000008,0,,0,,0,,0,,0,48.0,0,,0,-19.0,0,,0,-0.9000015,0,,0,-13.6,0,,0,-1.2999992,0,,0,0.0,0,0
2016-03-10,209.54340242676483,217.64169817272688,209.10956515465983,210.2664645469401,597090.0,0.006925207756233176,,0,1.2000008,0,,0,,0,,0,,0,48.0,0,,0,-19.0,0,,0,-0.9000015,0,,0,-13.6,0,,0,-1.2999992,0,,0,0.0,0,0
2016-03-11,209.9772396988701,215.03867454009622,208.96495273062487,213.01410060360575,361312.0,0.013067400275103003,,0,1.2000008,0,,0,,0,,0,,0,48.0,0,,0,-16.2,1,,0,-0.9000015,0,,0,-12.9,1,,0,0.5,1,,0,0.70000076,1,0
2016-03-14,212.14642605939557,221.4016211976378,211.27875151518538,215.47251181220133,844846.0,0.011541072640868899,,0,1.2000008,0,,0,,0,,0,,0,48.0,0,,0,-16.2,0,,0,-0.9000015,0,,0,-12.9,0,,0,0.5,0,,0,0.70000076,0,0
2016-03-15,215.90634908430647,220.53394665342768,214.8940621160612,215.18328696413136,610466.0,-0.0013422818791941626,,0,1.2000008,0,,0,,0,,0,,0,48.0,0,,0,-16.2,0,,0,-0.9000015,0,,0,-12.9,0,,0,0.5,0,,0,0.70000076,0,0
2016-03-16,215.76173666027148,218.36476029290208,215.03867454009622,217.93092302079694,320642.0,0.012768817204300786,,0,1.2000008,0,,0,,0,,0,,0,48.0,0,,0,-16.2,0,,0,-0.9000015,0,,0,-12.9,0,,0,0.5,0,,0,0.70000076,0,0
2016-03-17,218.36476029290208,222.70313301395316,216.6294112044816,220.1001093813225,361594.0,0.009953550099535802,,0,1.2000008,0,,0,,0,,0,,0,48.0,0,,0,-16.2,0,,0,-0.9000015,0,,0,-12.9,0,,0,0.5,0,,0,0.70000076,0,0
2016-03-18,219.81088453325242,227.3307305830742,218.5093727169371,223.42619513412833,663158.0,0.015111695137976389,,0,1.2000008,0,,0,,0,,0,,0,48.0,0,,0,-16.2,0,,0,-0.9000015,0,,0,-12.9,0,,0,0.5,0,,0,0.70000076,0,0
2016-03-21,222.70313301395316,228.3430175513193,221.25700877360276,221.54623362167283,493760.0,-0.00841423948220088,,0,1.2000008,0,,0,,0,,0,,0,48.0,0,,0,-16.2,0,,0,-0.9000015,0,,0,-12.9,0,,0,0.5,0,,0,0.70000076,0,0
2016-03-22,221.6908460457079,223.13697028605822,220.1001093813225,222.12468331781292,279614.0,0.0026109660574411553,,0,1.2000008,0,,0,,0,,0,,0,48.0,0,,0,-16.2,0,,0,-0.9000015,0,,0,-12.9,0,,0,0.5,0,,0,0.70000076,0,0
2016-03-23,222.26929574184797,227.4753430071092,220.82317150149774,224.00464483026838,482498.0,0.00846354166666674,,0,1.2000008,0,,0,,0,,0,,0,48.0,0,,0,-16.2,0,,0,-0.9000015,0,,0,-12.9,0,,0,0.5,0,,0,0.70000076,0,0
2016-03-24,224.4384821023735,225.30615664658373,216.48479878044668,218.65398514097217,417848.0,-0.023886378308585865,,0,1.2000008,0,,0,,0,,0,,0,48.0,0,,0,-16.2,0,,0,-0.9000015,0,,0,-12.9,0,,0,0.5,0,,0,0.70000076,0,0
2016-03-25,218.36476029290208,222.12468331781292,217.78631059676192,221.83545846974286,214296.0,0.014550264550264203,,0,1.2000008,0,,0,,0,,0,,0,48.0,0,,0,-16.2,0,,0,-0.9000015,0,,0,-12.9,0,,0,0.5,0,,0,0.70000076,0,0
2016-03-28,221.54623362167283,228.05379270324931,221.54623362167283,222.12468331781292,302004.0,0.0013037809647979959,,0,1.2000008,0,,0,,0,,0,,0,48.0,0,,0,-16.2,0,,0,-0.9000015,0,,0,-12.9,0,,0,0.5,0,,0,0.70000076,0,0
2016-03-29,222.99235786202314,226.17383119079398,222.55852058991806,225.45076907061875,155128.0,0.014973958333333481,,0,1.2000008,0,,0,,0,,0,,0,48.0,0,,0,-16.2,0,,0,-0.9000015,0,,0,-12.9,0,,0,0.5,0,,0,0.70000076,0,0
2016-03-30,225.59538149465374,226.60766846289906,219.2324348371123,220.82317150149774,136406.0,-0.020525978191147765,,0,1.2000008,0,,0,,0,,0,,0,48.0,0,,0,-16.2,0,,0,-0.9000015,0,,0,-12.9,0,,0,0.5,0,,0,0.70000076,0,0
2016-03-31,221.4016211976378,222.84774543798818,218.36476029290208,222.55852058991806,98830.0,0.007858546168958425,,0,1.2000008,0,,0,,0,,0,,0,48.0,0,,0,-16.2,0,,0,-0.9000015,0,,0,-12.9,0,,0,0.5,0,,0,0.70000076,0,0
2016-04-01,222.99235786202314,227.3307305830742,221.6908460457079,227.04150573500416,99170.0,0.020142949967511425,,0,1.2000008,0,,0,,0,,0,,0,48.0,0,,0,-16.2,0,,0,-0.9000015,0,,0,-12.9,0,,0,0.5,0,,0,0.70000076,0,0
2016-04-05,226.7522808869341,228.92146724745956,223.71541998219837,225.0169317985137,41542.0,-0.008917197452229186,,0,0.20000076,1,,0,,0,,0,,1,48.2,1,,0,-16.2,0,,0,2.800003,1,,0,-12.9,0,,0,0.5,0,,1,0.70000076,0,1
2016-04-06,225.59538149465374,225.59538149465374,222.70313301395316,223.42619513412833,31402.0,-0.007069408740359773,,0,0.20000076,0,,0,,0,,0,,0,48.2,0,,0,-16.2,0,,0,2.800003,0,,0,-12.9,0,,0,0.5,0,,0,0.70000076,0,0
2016-04-07,223.42619513412833,230.94604118395011,223.42619513412833,229.0660796714946,52780.0,0.02524271844660153,,0,0.20000076,0,,0,,0,,0,,0,48.2,0,,0,-16.2,0,,0,2.800003,0,,0,-12.9,0,,0,0.5,0,,0,0.70000076,0,0
2016-04-08,228.1984051272845,229.93375421570477,227.90918027921433,229.93375421570477,26566.0,0.0037878787878786735,,0,0.20000076,0,,0,,0,,0,,0,48.2,0,,0,-16.2,0,,0,2.800003,0,,0,-12.9,0,,0,0.5,0,,0,0.70000076,0,0
2016-04-11,230.65681633588,235.13980148096604,229.4999169435998,234.995189056931,37586.0,0.022012578616352307,,0,0.20000076,0,,0,,0,,0,,0,48.2,0,,0,-16.2,0,,0,2.800003,0,,0,-12.9,0,,0,0.5,0,,0,0.70000076,0,0
2016-04-12,235.42902632903622,242.37042268271787,234.41673936079093,242.37042268271787,35860.0,0.03138461538461579,,0,0.20000076,0,,0,,0,,0,,0,48.2,0,,0,-10.9,1,,0,2.800003,0,,0,-10.2106,1,,0,5.299999,1,,0,2.6893997,1,0
2016-04-13,242.94887237885789,246.85340782780384,241.50274813850754,245.26267116341842,47222.0,0.011933174224343146,,0,0.20000076,0,,0,,0,,0,,0,48.2,0,,0,-10.9,0,,0,2.800003,0,,0,-10.2106,0,,0,5.299999,0,,0,2.6893997,0,0
2016-04-14,244.39499661920829,245.84112085955854,240.05662389815728,242.08119783464772,15186.0,-0.012971698113207308,,0,0.20000076,0,,0,,0,,0,,0,48.2,0,,0,-10.9,0,,0,2.800003,0,,0,-10.2106,0,,0,5.299999,0,,0,2.6893997,0,0
2016-04-15,253.65019175745041,253.65019175745041,234.41673936079093,234.705964208861,14538.0,-0.03046594982078843,,0,0.20000076,0,,0,,0,,0,,0,48.2,0,,0,-10.9,0,,0,2.800003,0,,0,-10.2106,0,,0,5.299999,0,,0,2.6893997,0,0
2016-04-18,235.86286360114127,249.74565630850446,234.2721269367558,249.60104388446965,16152.0,0.06346272335181813,,0,0.20000076,0,,0,,0,,0,,0,48.2,0,,0,-10.9,0,,0,2.800003,0,,0,-10.2106,0,,0,5.299999,0,,0,2.6893997,0,0
2016-04-19,251.6256178209599,257.55472720639636,249.74565630850446,257.55472720639636,15812.0,0.03186558516801785,,0,0.20000076,0,,0,,0,,0,,0,48.2,0,,0,-10.9,0,,0,2.800003,0,,0,-10.2106,0,,0,5.299999,0,,0,2.6893997,0,0
2016-04-20,260.3023632630621,271.1482950656896,260.3023632630621,271.1482950656896,12776.0,0.05277933745087027,,0,0.20000076,0,,0,,0,,0,,0,48.2,0,,0,-10.9,0,,0,2.800003,0,,0,-10.2106,0,,0,5.299999,0,,0,2.6893997,0,0
2016-04-21,275.6312802107757,289.0802356460338,272.3051944579699,284.886475349018,9788.0,0.05066666666666708,,0,0.20000076,0,,0,,0,,0,,0,48.2,0,,0,-10.9,0,,0,2.800003,0,,0,-10.2106,0,,0,5.299999,0,,0,2.6893997,0,0
2016-04-22,284.30802565287775,294.14167048726017,277.0774044511262,291.39403443059444,4694.0,0.02284263959390831,,0,0.20000076,0,,0,,0,,0,,0,48.2,0,,0,-10.9,0,,0,2.800003,0,,0,-10.2106,0,,0,5.299999,0,,0,2.6893997,0,0
2016-04-25,275.3420553627055,302.6738035053272,275.3420553627055,302.6738035053272,4284.0,0.03870967741935516,,0,0.20000076,0,,0,,0,,0,,0,48.2,0,,0,-10.9,0,,0,2.800003,0,,0,-10.2106,0,,0,5.299999,0,,0,2.6893997,0,0
2016-04-26,303.1076407774323,306.5783389542731,292.40632139883974,296.4554692718207,3466.0,-0.020544672718585955,,0,0.20000076,0,,0,,0,,0,,0,48.2,0,,0,-10.9,0,,0,2.800003,0,,0,-10.2106,0,,0,5.299999,0,,0,2.6893997,0,0
2016-04-27,297.90159351217085,298.91388048041637,281.84961444428217,287.6341114056836,4894.0,-0.029756097560975525,,0,0.20000076,0,,0,,0,,0,,0,48.2,0,,0,-10.9,0,,0,2.800003,0,,0,-10.2106,0,,0,5.299999,0,,0,2.6893997,0,0
2016-04-28,287.4894989816484,289.803297766209,279.3912032356866,283.4403511086675,1722.0,-0.014580191050779567,,0,0.20000076,0,,0,,0,,0,,0,48.2,0,,0,-10.9,0,,0,2.800003,0,,0,-10.2106,0,,0,5.299999,0,,0,2.6893997,0,0
2016-04-29,301.407405766549,305.63002159612853,297.476004821768,297.476004821768,6.0,0.04951889756769101,,0,0.20000076,0,,0,,0,,0,,0,48.2,0,,0,-10.9,0,,0,2.800003,0,,0,-10.2106,0,,0,5.299999,0,,0,2.6893997,0,0
2016-05-03,307.6685257897189,307.6685257897189,307.6685257897189,307.6685257897189,2.0,0.034263338228095686,,0,-0.79999924,1,,0,,0,,0,,1,47.4,1,,0,-10.9,0,,0,-0.40000153,1,,0,-10.2106,0,,0,5.299999,0,,1,2.6893997,0,1
2016-05-04,297.03918249457007,297.03918249457007,286.26423175702183,293.83581876178533,48.0,-0.044959772834832545,,0,-0.79999924,0,,0,,0,,0,,0,47.4,0,,0,-10.9,0,,0,-0.40000153,0,,0,-10.2106,0,,0,5.299999,0,,0,2.6893997,0,0
2016-05-05,291.50609968339654,291.50609968339654,291.50609968339654,291.50609968339654,0.0,-0.007928642220019877,,0,-0.79999924,0,,0,,0,,0,,0,47.4,0,,0,-10.9,0,,0,-0.40000153,0,,0,-10.2106,0,,0,5.299999,0,,0,2.6893997,0,0
2016-05-06,282.18722336984155,282.18722336984155,282.18722336984155,282.18722336984155,0.0,-0.03196803196803144,,0,-0.79999924,0,,0,,0,,0,,0,47.4,0,,0,-10.9,0,,0,-0.40000153,0,,0,-10.2106,0,,0,5.299999,0,,0,2.6893997,0,0
2016-05-09,282.4784382546399,283.93451267863304,262.5302186459361,262.6758260883354,18.0,-0.06914344685242546,,0,-0.79999924,0,,0,,0,,0,,0,47.4,0,,0,-10.9,0,,0,-0.40000153,0,,0,-10.2106,0,,0,5.299999,0,,0,2.6893997,0,0
2016-05-10,258.01638793155774,262.2390037611377,255.39545396837048,256.2690986227663,22.0,-0.024390243902438713,,0,-0.79999924,0,,0,,0,,0,,0,47.4,0,,0,-10.9,0,,0,-0.40000153,0,,0,-10.2106,0,,0,5.299999,0,,0,2.6893997,0,0
2016-05-11,260.9285367795437,260.9285367795437,253.6481646595789,253.6481646595789,6.0,-0.010227272727272863,,0,-0.79999924,0,,0,,0,,0,,0,47.4,0,,0,-2.4,1,,0,-0.40000153,0,,0,-6.3875,1,,0,5.6000004,1,,0,3.8231,1,0
2016-05-12,249.1343339452007,254.81302419877326,249.1343339452007,253.35694977478025,18.0,-0.0011481056257177658,,0,-0.79999924,0,,0,,0,,0,,0,47.4,0,,0,-2.4,0,,0,-0.40000153,0,,0,-6.3875,0,,0,5.6000004,0,,0,3.8231,0,0
2016-05-13,248.69751161800275,248.69751161800275,247.96947440600616,247.96947440600616,4.0,-0.02126436781609209,,0,-0.79999924,0,,0,,0,,0,,0,47.4,0,,0,-2.4,0,,0,-0.40000153,0,,0,-6.3875,0,,0,5.6000004,0,,0,3.8231,0,0
2016-05-16,248.26068929080478,248.26068929080478,248.26068929080478,248.26068929080478,0.0,0.0011743981209630938,,0,-0.79999924,0,,0,,0,,0,,0,47.4,0,,0,-2.4,0,,0,-0.40000153,0,,0,-6.3875,0,,0,5.6000004,0,,0,3.8231,0,0
2016-05-17,245.3485404428189,255.10423908357183,245.3485404428189,255.10423908357183,14.0,0.027565982404692102,,0,-0.79999924,0,,0,,0,,0,,0,47.4,0,,0,-2.4,0,,0,-0.40000153,0,,0,-6.3875,0,,0,5.6000004,0,,0,3.8231,0,0
2016-05-18,255.686668853169,256.2690986227663,255.686668853169,256.2690986227663,4.0,0.004566210045662489,,0,-0.79999924,0,,0,,0,,0,,0,47.4,0,,0,-2.4,0,,0,-0.40000153,0,,0,-6.3875,0,,0,5.6000004,0,,0,3.8231,0,0
2016-05-19,255.97788373796766,255.97788373796766,255.97788373796766,255.97788373796766,0.0,-0.001136363636363824,,0,-0.79999924,0,,0,,0,,0,,0,47.4,0,,0,-2.4,0,,0,-0.40000153,0,,0,-6.3875,0,,0,5.6000004,0,,0,3.8231,0,0
2016-05-20,255.97788373796766,255.97788373796766,255.97788373796766,255.97788373796766,0.0,0.0,,0,-0.79999924,0,,0,,0,,0,,0,47.4,0,,0,-2.4,0,,0,-0.40000153,0,,0,-6.3875,0,,0,5.6000004,0,,0,3.8231,0,0
2016-05-23,238.06816832285398,238.06816832285398,238.06816832285398,238.06816832285398,8.0,-0.06996587030716683,,0,-0.79999924,0,,0,,0,,0,,0,47.4,0,,0,-2.4,0,,0,-0.40000153,0,,0,-6.3875,0,,0,5.6000004,0,,0,3.8231,0,0
2016-05-24,231.80704829968406,232.24387062688206,228.7492920092987,232.24387062688206,12.0,-0.024464831804281162,,0,-0.79999924,0,,0,,0,,0,,0,47.4,0,,0,-2.4,0,,0,-0.40000153,0,,0,-6.3875,0,,0,5.6000004,0,,0,3.8231,0,0
2016-05-25,230.9334036452882,230.9334036452882,230.9334036452882,230.9334036452882,0.0,-0.005642633228840843,,0,-0.79999924,0,,0,,0,,0,,0,47.4,0,,0,-2.4,0,,0,-0.40000153,0,,0,-6.3875,0,,0,5.6000004,0,,0,3.8231,0,0
2016-05-26,227.21304573162936,232.0113336539122,226.50741515482304,231.16457696174461,6160.0,0.0010010388831036554,,0,-0.79999924,0,,0,,0,,0,,0,47.4,0,,0,-2.4,0,,0,-0.40000153,0,,0,-6.3875,0,,0,5.6000004,0,,0,3.8231,0,0
